"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned",Standards,Standards
7893399569,"Chapter 17",2156449279,,1,"Multiple Choice"," Jane asked her friends what they like to do for fun. She made this table to show their answers. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781721_62c44e79ccd55.gif> How many more friends like drawing than painting? ",n/a,n/a,"a. 2",1,0.05,"c. 5",0.85,1,0,0.85,MA.2.DP.1.2
7893399569,"Chapter 17",2156449279,,1,"Multiple Choice"," Jane asked her friends what they like to do for fun. She made this table to show their answers. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781721_62c44e79ccd55.gif> How many more friends like drawing than painting? ",n/a,n/a,"b. 3",2,0.1,"c. 5",0.85,1,0,0.85,MA.2.DP.1.2
7893399569,"Chapter 17",2156449279,,1,"Multiple Choice"," Jane asked her friends what they like to do for fun. She made this table to show their answers. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781721_62c44e79ccd55.gif> How many more friends like drawing than painting? ",n/a,n/a,"c. 5",17,0.85,"c. 5",0.85,1,0,0.85,MA.2.DP.1.2
7893399569,"Chapter 17",2156449280,,1,"Multiple Choice"," The pictograph shows the number of basketball games that Dani plays each month. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781732_62c44e79e397e.gif> How many basketball games does Dani play in December and January? ",n/a,n/a,"a. 2",1,0.05,"c. 6",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893399569,"Chapter 17",2156449280,,1,"Multiple Choice"," The pictograph shows the number of basketball games that Dani plays each month. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781732_62c44e79e397e.gif> How many basketball games does Dani play in December and January? ",n/a,n/a,"b. 4",0,0,"c. 6",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893399569,"Chapter 17",2156449280,,1,"Multiple Choice"," The pictograph shows the number of basketball games that Dani plays each month. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781732_62c44e79e397e.gif> How many basketball games does Dani play in December and January? ",n/a,n/a,"c. 6",19,0.95,"c. 6",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893399569,"Chapter 17",2156449281,,1,"Multiple Choice"," Grace is making a graph to show the pizza toppings some children like best. She knows that the number of children who like cheese best is the same as the total number who like ham or sausage. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781775_62c44e7a120cf.gif> How should Grace show on the graph the number of children who like cheese best? ",n/a,n/a,"a. Add 2 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781697_62c44e7a23ed4.gif>",2,0.1,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",0.7,1,0,0.7,MA.2.DP.1.2,MA.2.DP.1.1
7893399569,"Chapter 17",2156449281,,1,"Multiple Choice"," Grace is making a graph to show the pizza toppings some children like best. She knows that the number of children who like cheese best is the same as the total number who like ham or sausage. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781775_62c44e7a120cf.gif> How should Grace show on the graph the number of children who like cheese best? ",n/a,n/a,"b. Add 3 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781698_62c44e7a3180e.gif>",4,0.2,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",0.7,1,0,0.7,MA.2.DP.1.2,MA.2.DP.1.1
7893399569,"Chapter 17",2156449281,,1,"Multiple Choice"," Grace is making a graph to show the pizza toppings some children like best. She knows that the number of children who like cheese best is the same as the total number who like ham or sausage. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781775_62c44e7a120cf.gif> How should Grace show on the graph the number of children who like cheese best? ",n/a,n/a,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",14,0.7,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",0.7,1,0,0.7,MA.2.DP.1.2,MA.2.DP.1.1
7893399569,"Chapter 17",2156449282,,1,"Fill in the Blank"," Max made this graph to show some children’s favorite kinds of movies. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/793184_62c44e7a55e8c.gif> How many children like cartoons best? Enter the answer in the box.  _  ",1,n/a,6,17,0.85,6,0.85,1,0,0.85,MA.2.DP.1.2
