"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned"
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718192,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.20.25_PM_69dc37101a518.png>",n/a,n/a,"a. a",1,0.05,"b. b",0.95,1,0,0.95
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718192,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.20.25_PM_69dc37101a518.png>",n/a,n/a,"b. b",18,0.95,"b. b",0.95,1,0,0.95
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718193,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.22.11_PM_69dc377177d13.png>",n/a,n/a,"a. a",16,0.84,"a. a",0.84,1,0,0.84
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718193,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.22.11_PM_69dc377177d13.png>",n/a,n/a,"b. b",3,0.16,"a. a",0.84,1,0,0.84
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718194,,2,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.24.50_PM_69dc3834b51c2.png>   (_,_)",1,n/a,5,19,1,5,1,2,2,2
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718194,,2,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.24.50_PM_69dc3834b51c2.png>   (_,_)",2,n/a,6,19,1,6,1,2,2,2
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718195,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.27.06_PM_69dc38a5c370c.png>",n/a,n/a,"a. a",0,0,"c. c",1,1,1,1
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718195,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.27.06_PM_69dc38a5c370c.png>",n/a,n/a,"b. b",0,0,"c. c",1,1,1,1
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718195,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.27.06_PM_69dc38a5c370c.png>",n/a,n/a,"c. c",19,1,"c. c",1,1,1,1
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718195,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.27.06_PM_69dc38a5c370c.png>",n/a,n/a,"d. d",0,0,"c. c",1,1,1,1
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718196,,2,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.30.37_PM_69dc396c17147.png> (_,_)",1,n/a,2,19,1,2,1,2,2,2
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",2265718196,,2,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.30.37_PM_69dc396c17147.png> (_,_)",2,n/a,3,19,1,3,1,2,2,2
