"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned"
8368737293,"Science Quiz Week 3 FSSA Review",2271509827,,1,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.43.24_PM_69e6ba581a000.png> <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.43.31_PM_69e6ba66cf841.png>   Write the letter only. _ ",1,n/a,b,18,0.95,b,0.95,1,0,0.95
8368737293,"Science Quiz Week 3 FSSA Review",2271509827,,1,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.43.24_PM_69e6ba581a000.png> <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.43.31_PM_69e6ba66cf841.png>   Write the letter only. _ ",1,n/a,a,1,0.05,b,0.95,1,0,0.95
8368737293,"Science Quiz Week 3 FSSA Review",2271509828,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.45.29_PM_69e6babf433b0.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.45.34_PM_69e6bac9363f5.png> Write the letter only. _",1,n/a,c,18,0.95,c,0.95,1,0,0.95
8368737293,"Science Quiz Week 3 FSSA Review",2271509828,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.45.29_PM_69e6babf433b0.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.45.34_PM_69e6bac9363f5.png> Write the letter only. _",1,n/a,a,1,0.05,c,0.95,1,0,0.95
8368737293,"Science Quiz Week 3 FSSA Review",2271509829,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.46.58_PM_69e6bb0664a1a.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.47.03_PM_69e6bb12c1281.png> Write the letter only. _ ",1,n/a,c,18,0.95,c,0.95,1,1,1
8368737293,"Science Quiz Week 3 FSSA Review",2271509829,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.46.58_PM_69e6bb0664a1a.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.47.03_PM_69e6bb12c1281.png> Write the letter only. _ ",1,n/a,"c ",1,0.05,c,0.95,1,1,1
8368737293,"Science Quiz Week 3 FSSA Review",2271509830,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.48.34_PM_69e6bb65768e8.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.48.39_PM_69e6bb6f3cd4f.png> Write the letter only. _ ",1,n/a,b,14,0.74,b,0.74,1,0,0.74
8368737293,"Science Quiz Week 3 FSSA Review",2271509830,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.48.34_PM_69e6bb65768e8.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.48.39_PM_69e6bb6f3cd4f.png> Write the letter only. _ ",1,n/a,a,5,0.26,b,0.74,1,0,0.74
8368737293,"Science Quiz Week 3 FSSA Review",2271509831,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.49.38_PM_69e6bba6be75c.png>     <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.49.43_PM_69e6bbda9e05a.png> Write the letter only. _ ",1,n/a,c,19,1,c,1,1,1,1
8368737293,"Science Quiz Week 3 FSSA Review",2271509832,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.51.45_PM_69e6bc242f92b.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.51.50_PM_69e6bc2eb77a0.png> Write the letter only. _ ",1,n/a,b,16,0.84,b,0.84,1,0,0.84
8368737293,"Science Quiz Week 3 FSSA Review",2271509832,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.51.45_PM_69e6bc242f92b.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.51.50_PM_69e6bc2eb77a0.png> Write the letter only. _ ",1,n/a,c,3,0.16,b,0.84,1,0,0.84
8368737293,"Science Quiz Week 3 FSSA Review",2271509833,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.46_PM_69e6bc705116c.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.51_PM_69e6bc7cb3116.png> Write the letter only. _ ",1,n/a,c,13,0.68,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509833,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.46_PM_69e6bc705116c.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.51_PM_69e6bc7cb3116.png> Write the letter only. _ ",1,n/a,b,4,0.21,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509833,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.46_PM_69e6bc705116c.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.51_PM_69e6bc7cb3116.png> Write the letter only. _ ",1,n/a,d,1,0.05,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509833,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.46_PM_69e6bc705116c.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.52.51_PM_69e6bc7cb3116.png> Write the letter only. _ ",1,n/a,a,1,0.05,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509834,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.54.25_PM_69e6bcc468d9f.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.54.30_PM_69e6bcd02145a.png> Write the letter only. _ ",1,n/a,c,18,0.95,c,0.95,1,0,0.95
8368737293,"Science Quiz Week 3 FSSA Review",2271509834,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.54.25_PM_69e6bcc468d9f.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.54.30_PM_69e6bcd02145a.png> Write the letter only. _ ",1,n/a,b,1,0.05,c,0.95,1,0,0.95
8368737293,"Science Quiz Week 3 FSSA Review",2271509835,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.42_PM_69e6bd102aede.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.48_PM_69e6bd1980964.png> Write the letter only. _ ",1,n/a,c,13,0.68,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509835,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.42_PM_69e6bd102aede.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.48_PM_69e6bd1980964.png> Write the letter only. _ ",1,n/a,d,3,0.16,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509835,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.42_PM_69e6bd102aede.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.48_PM_69e6bd1980964.png> Write the letter only. _ ",1,n/a,a,2,0.11,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509835,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.42_PM_69e6bd102aede.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.55.48_PM_69e6bd1980964.png> Write the letter only. _ ",1,n/a,b,1,0.05,c,0.68,1,0,0.68
8368737293,"Science Quiz Week 3 FSSA Review",2271509836,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.56.53_PM_69e6bd57ee4bd.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.56.58_PM_69e6bd6232347.png>   Write the letter only. _ ",1,n/a,b,14,0.74,b,0.74,1,0,0.74
8368737293,"Science Quiz Week 3 FSSA Review",2271509836,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.56.53_PM_69e6bd57ee4bd.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.56.58_PM_69e6bd6232347.png>   Write the letter only. _ ",1,n/a,c,1,0.05,b,0.74,1,0,0.74
8368737293,"Science Quiz Week 3 FSSA Review",2271509836,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.56.53_PM_69e6bd57ee4bd.png>   <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-20_at_7.56.58_PM_69e6bd6232347.png>   Write the letter only. _ ",1,n/a,a,4,0.21,b,0.74,1,0,0.74
