"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned"
8344783376,"SC Quiz Week #2 FSA Review",2265723540,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.50.10_PM_69dc3df0bfd47.png> Which letter did you choose? Write the letter only. _  ",1,n/a,c,15,0.79,c,0.79,1,1,1
8344783376,"SC Quiz Week #2 FSA Review",2265723540,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.50.10_PM_69dc3df0bfd47.png> Which letter did you choose? Write the letter only. _  ",1,n/a,C,4,0.21,c,0.79,1,1,1
8344783376,"SC Quiz Week #2 FSA Review",2265723541,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.51.43_PM_69dc3e302714f.png> Which letter did you choose? Write the letter only. _  ",1,n/a,b,15,0.79,b,0.79,1,1,1
8344783376,"SC Quiz Week #2 FSA Review",2265723541,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.51.43_PM_69dc3e302714f.png> Which letter did you choose? Write the letter only. _  ",1,n/a,B,4,0.21,b,0.79,1,1,1
8344783376,"SC Quiz Week #2 FSA Review",2265723542,,1,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.52.29_PM_69dc3e5f2e081.png> Which letter did you choose? Write the letter only. _  ",1,n/a,b,14,0.74,b,0.74,1,0,0.95
8344783376,"SC Quiz Week #2 FSA Review",2265723542,,1,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.52.29_PM_69dc3e5f2e081.png> Which letter did you choose? Write the letter only. _  ",1,n/a,B,4,0.21,b,0.74,1,0,0.95
8344783376,"SC Quiz Week #2 FSA Review",2265723542,,1,"Fill in the Blank","    <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.52.29_PM_69dc3e5f2e081.png> Which letter did you choose? Write the letter only. _  ",1,n/a,c,1,0.05,b,0.74,1,0,0.95
8344783376,"SC Quiz Week #2 FSA Review",2265723543,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.53.20_PM_69dc3ead34e6e.png>   Which letter did you choose? Write the letter only. _  ",1,n/a,c,14,0.74,c,0.74,1,0,0.89
8344783376,"SC Quiz Week #2 FSA Review",2265723543,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.53.20_PM_69dc3ead34e6e.png>   Which letter did you choose? Write the letter only. _  ",1,n/a,C,3,0.16,c,0.74,1,0,0.89
8344783376,"SC Quiz Week #2 FSA Review",2265723543,,1,"Fill in the Blank","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2026-04/Screenshot_2026-04-12_at_8.53.20_PM_69dc3ead34e6e.png>   Which letter did you choose? Write the letter only. _  ",1,n/a,B,1,0.05,c,0.74,1,0,0.89
