"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned"
8359929652,"Civics Supreme Court Cases Quiz",2269502249,,1,"Multiple Choice","Which Supreme Court Case decided that Separate but Equal was Constitutional?",n/a,n/a,"a. Plessy V Ferguson",24,0.96,"a. Plessy V Ferguson",0.96,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269502249,,1,"Multiple Choice","Which Supreme Court Case decided that Separate but Equal was Constitutional?",n/a,n/a,"b. Tinker V Des Moines",1,0.04,"a. Plessy V Ferguson",0.96,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269502249,,1,"Multiple Choice","Which Supreme Court Case decided that Separate but Equal was Constitutional?",n/a,n/a,"c. Marbury V Madison",0,0,"a. Plessy V Ferguson",0.96,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269502249,,1,"Multiple Choice","Which Supreme Court Case decided that Separate but Equal was Constitutional?",n/a,n/a,"d. In Re Galt",0,0,"a. Plessy V Ferguson",0.96,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504608,,1,"Multiple Choice","Which Supreme Court Case gives juveniles certain rights in trial",n/a,n/a,"a. Marbury V Madison",24,0.96,"b. In Re Galt",0,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504608,,1,"Multiple Choice","Which Supreme Court Case gives juveniles certain rights in trial",n/a,n/a,"b. In Re Galt",0,0,"b. In Re Galt",0,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504608,,1,"Multiple Choice","Which Supreme Court Case gives juveniles certain rights in trial",n/a,n/a,"c. Nixon V US",0,0,"b. In Re Galt",0,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504608,,1,"Multiple Choice","Which Supreme Court Case gives juveniles certain rights in trial",n/a,n/a,"d. Bush V Gore",1,0.04,"b. In Re Galt",0,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504658,,1,"Multiple Choice","What does TInker V Des Moines do?",n/a,n/a,"a. Give Juveniles certain rights in Trial",1,0.04,"d. Gives Juveniles certain first amendment rights at school",0.92,1,0,0.92
8359929652,"Civics Supreme Court Cases Quiz",2269504658,,1,"Multiple Choice","What does TInker V Des Moines do?",n/a,n/a,"b. States that nobody, not even the president, is above the law",1,0.04,"d. Gives Juveniles certain first amendment rights at school",0.92,1,0,0.92
8359929652,"Civics Supreme Court Cases Quiz",2269504658,,1,"Multiple Choice","What does TInker V Des Moines do?",n/a,n/a,"c. Establishes Judicial Review",0,0,"d. Gives Juveniles certain first amendment rights at school",0.92,1,0,0.92
8359929652,"Civics Supreme Court Cases Quiz",2269504658,,1,"Multiple Choice","What does TInker V Des Moines do?",n/a,n/a,"d. Gives Juveniles certain first amendment rights at school",23,0.92,"d. Gives Juveniles certain first amendment rights at school",0.92,1,0,0.92
8359929652,"Civics Supreme Court Cases Quiz",2269504754,,1,"Multiple Choice","Which of the following limits first amendment rights at schools?",n/a,n/a,"a. Tinker V Des Moines",3,0.12,"d. Hazelwood V Kuhlmeier",0.8,1,0,0.8
8359929652,"Civics Supreme Court Cases Quiz",2269504754,,1,"Multiple Choice","Which of the following limits first amendment rights at schools?",n/a,n/a,"b. Marbury V Madison",0,0,"d. Hazelwood V Kuhlmeier",0.8,1,0,0.8
8359929652,"Civics Supreme Court Cases Quiz",2269504754,,1,"Multiple Choice","Which of the following limits first amendment rights at schools?",n/a,n/a,"c. In Re Galt",2,0.08,"d. Hazelwood V Kuhlmeier",0.8,1,0,0.8
8359929652,"Civics Supreme Court Cases Quiz",2269504754,,1,"Multiple Choice","Which of the following limits first amendment rights at schools?",n/a,n/a,"d. Hazelwood V Kuhlmeier",20,0.8,"d. Hazelwood V Kuhlmeier",0.8,1,0,0.8
8359929652,"Civics Supreme Court Cases Quiz",2269504758,,1,True/False,"Marbury V Madison establishes Judicial Review",n/a,n/a,True,24,0.96,True,0.96,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504758,,1,True/False,"Marbury V Madison establishes Judicial Review",n/a,n/a,False,1,0.04,True,0.96,1,0,0.96
8359929652,"Civics Supreme Court Cases Quiz",2269504852,,1,"Multiple Choice","Which of the following has the most to do with the rule of law?",n/a,n/a,"a. Marbury V Madison",1,0.04,"c. US V. Nixon",0,1,0,0.92
