TableName,ColumnName,PandasDataType
Drill Through Report,Page,string
Drill Through Report,Report Name,string
Drill Through Report,Report Catergory,string
Drill Through Report,Report,string
Drill Through Report,Sort,string
Drill Through Report,Type,string
Drill Through Report,Report Short Name,string
Drill Through Report,Sort 2,string
Measure,Measure,string
Report Short Name,Page,string
Report Short Name,Report Name,string
Report Short Name,Report Category,string
Report Short Name,Report,string
Report Short Name,Sort,string
Report Short Name,Type,string
Report Short Name,Report Short Name,string
Report Short Name,Sort 2,string
SchoolLogo_Parameter,SchoolLogo_Parameter,string
SchoolName_Parameter,SchoolName_Parameter,string
Titles,Titles,string
cube_grade_summary,School_ID,string
cube_grade_summary,Subject_ID,string
cube_grade_summary,Item_ID,string
cube_grade_summary,Grade_Average,Float64
cube_grade_summary,Percentage_InCorrect_Answers,Float64
cube_grade_summary,Grade_Min,Float64
cube_grade_summary,Grade_Max,Float64
cube_grade_summary,ID,string
cube_question_summary,Question_ID,string
cube_question_summary,Total_Possible_Point,Float64
cube_question_summary,Total_Score,Float64
cube_question_summary,Grade_Average,Float64
cube_question_summary,Percentage_InCorrect_Answers,Float64
cube_question_summary,ID,string
cube_question_summary,Item_ID,string
cube_question_summary,Incorrect_Choice_Details,string
cube_question_summary,Incorrect_Details_Name,string
cube_question_summary,Question,string
cube_question_summary,Position_Number,string
cube_question_summary,Item_Name,string
cube_question_summary,School_ID,string
cube_question_summary,Standard,string
cube_question_summary,Question_No,string
cube_question_summary,Least_Points_Earned,string
cube_question_summary,Correct_Answer,string
cube_question_summary,Question_Type,string
cube_question_summary,Average_Points_Earned,string
cube_question_summary,Associated_Question_ID,string
cube_question_summary,Total_Points,string
cube_question_summary,Most_Points_Earned,string
cube_question_summary,Correctly_Answered,string
cube_question_summary,Sub-Question,string
cube_question_summary,Session,string
cube_question_summary,Assessment_type,string
cube_question_summary,Subject,string
cube_question_summary,Grade,string
cube_question_summary,Section,string
cube_question_summary,Identifier,string
cube_question_summary,Standards,string
cube_question_summary,Qkey,string
cube_question_summary,Ukey,string
cube_question_summary,Subject_ID,string
cube_question_summary,assessment_date,string
cube_question_summary,Section_Name,string
cube_question_summary,Section_Instructors,string
cube_question_summary,Item_Type,string
cube_question_summary,Question_no_url,string
cube_question_summary,Incorrect_Choice_Details_Hash,string
cube_question_summary,Incorrect_Details_Name_Hash,string
cube_question_summary,TeacherName_Hash,string
cube_question_summary_overall,Question_No,string
cube_question_summary_overall,Question,string
cube_question_summary_overall,Correct_Answer,string
cube_question_summary_overall,Total_Possible_Point,Float64
cube_question_summary_overall,Total_Score,Float64
cube_question_summary_overall,Grade_Average,Float64
cube_question_summary_overall,Percentage_InCorrect_Answers,Float64
cube_question_summary_overall,Incorrect_Choice_Details,string
cube_question_summary_overall,Incorrect_Details_Name,string
cube_question_summary_overall,ID,string
cube_question_summary_overall,Subject_ID,string
cube_question_summary_overall,Standards,string
cube_question_summary_overall,uKey,string
cube_question_summary_overall,Question_no_url,string
cube_question_summary_overall,Sorting Question_No,object
cube_question_summary_overall,Position_Number,string
cube_question_summary_overall,Description,string
cube_question_summary_overall,Trimmed_Standard,object
cube_question_summary_overall,Section_Instructors,string
cube_question_summary_overall,Incorrect_Choice_Details_Hash,string
cube_question_summary_overall,Incorrect_Details_Name_Hash,string
cube_question_summary_overall,TeacherName_Hash,string
cube_questionincorrectchoice_summary,Question_ID,string
cube_questionincorrectchoice_summary,Answer_Submission,string
cube_questionincorrectchoice_summary,Total_Student,Int64
cube_questionincorrectchoice_summary,Total_Possible_Point,Float64
cube_questionincorrectchoice_summary,Total_Score,Float64
cube_questionincorrectchoice_summary,Grade_Average,Float64
cube_questionincorrectchoice_summary,Percentage_InCorrect_Answers,Float64
cube_questionincorrectchoice_summary,ID,string
cube_questionincorrectchoice_summary,UKey,string
cube_school_summary,School_ID,string
cube_school_summary,Subject_ID,string
cube_school_summary,Item_ID,string
cube_school_summary,Total_Questions,Int64
cube_school_summary,Total_Standards,Int64
cube_school_summary,Total_Students,Int64
cube_school_summary,Total_Possible_Point,Float64
cube_school_summary,Total_Score,Float64
cube_school_summary,Grade_Average,Float64
cube_school_summary,Percentage_InCorrect_Answers,Float64
cube_school_summary,ID,string
cube_standard_summary,Strand_ID,string
cube_standard_summary,Identifier,string
cube_standard_summary,Total_Questions,Int64
cube_standard_summary,Total_Standards,Int64
cube_standard_summary,Total_Possible_Point,Float64
cube_standard_summary,Total_Score,Float64
cube_standard_summary,Grade_Average,Float64
cube_standard_summary,Percentage_InCorrect_Answers,Float64
cube_standard_summary,ID,string
cube_standard_summary,Item_ID,string
dim_item,Item_ID,string
dim_item,Subject_ID,string
dim_item,Item_Type,string
dim_item,Item_Name,string
dim_item,School_ID,string
dim_item,Section_Name,string
dim_item,Section_Instructors,string
dim_item,assessment_date,datetime64[ns]
dim_question_data,Question,string
dim_question_data,Position_Number,string
dim_question_data,Item_ID,string
dim_question_data,Item_Name,string
dim_question_data,School_ID,string
dim_question_data,Standards,string
dim_question_data,Question_ID,string
dim_question_data,Question_No,string
dim_question_data,Least_Points_Earned,string
dim_question_data,Correct_Answer,string
dim_question_data,Question_Type,string
dim_question_data,Average_Points_Earned,string
dim_question_data,Associated_Question_ID,string
dim_question_data,Total_Points,string
dim_question_data,Most_Points_Earned,string
dim_question_data,Correctly_Answered,string
dim_question_data,Sub-Question,string
dim_question_data,Session,string
dim_question_data,Assessment_type,string
dim_question_data,Subject,string
dim_question_data,Grade,string
dim_question_data,Section,string
dim_question_data,Qkey,string
dim_question_data,Ukey,string
dim_question_data,Standard,string
dim_question_data,Identifier,string
dim_standard,Cognitive_Complexity_Rating,string
dim_standard,Direct_Link,string
dim_standard,Grader,string
dim_standard,Identifier,string
dim_standard,Language,string
dim_standard,Schoology_Standard,string
dim_standard,Standard_New,string
dim_standard,Strand,string
dim_standard,Subject,string
dim_standard,cPalms_Standard,string
dim_standard,cluster,string
dim_standard,description,string
dim_standard,lastChangeDateTime,string
dim_standard,rundate,datetime64[ns]
dim_standard,Custom.CleanedDescription,string
dim_standard,uniquesID,string
dim_strand,Identifier,string
dim_strand,Strand,string
dim_strand,strand_ID,string
dim_strand,ID,Int64
dim_subject,Subject_ID,string
dim_subject,School_ID,string
dim_subject,Subject,string
dim_subject,Assessment_type,string
dim_subject,Grade,string
dim_subject,Session,string
dim_subject,Item_Name,string
dim_subject,GradeSort,string
dim_subject,ShowHistorySubject,object
dim_subject,Grade_no,object
fact_student_submission,Identifier,string
fact_student_submission,Question_ID,string
fact_student_submission,User_UID,string
fact_student_submission,User_Role_ID,string
fact_student_submission,School_ID,string
fact_student_submission,Course_NID,string
fact_student_submission,Section_NID,string
fact_student_submission,Section_Code,string
fact_student_submission,Item_ID,string
fact_student_submission,Item_Name,string
fact_student_submission,First_Access,string
fact_student_submission,Latest_Attempt,string
fact_student_submission,Total_Time,string
fact_student_submission,Submission_Grade,string
fact_student_submission,Submission,string
fact_student_submission,Session,string
fact_student_submission,Assessment_type,string
fact_student_submission,Subject,string
fact_student_submission,Grade,string
fact_student_submission,Section,string
fact_student_submission,File_Name,string
