TableName,Name,Expression,DisplayFolder,Description
Measure,Performance Color,"
VAR High = 0.8
VAR Low = 0.7

VAR Selectedattribute = Round('Measure'[Grade_Average_Standard_Measure],4)

VAR Result = 
        SWITCH(TRUE(),
        Selectedattribute>=High, ""#00FF06"", //longitudinal green
        AND(Selectedattribute<Low,Selectedattribute>0), ""#FFCCFF"",
     //   Selectedattribute<Low, ""Red"",
        ANd(Selectedattribute>=Low,Selectedattribute<High), ""Yellow""
        )

Return
Result",,
Measure,Grade_Average_Measure,"
    VAR AvgGrade = AVERAGE('cube_standard_summary'[Grade_Average])
    RETURN AvgGrade",,
Measure,_Data Bar - Grade Average,"
VAR MaxValue = 1
VAR CurrentValue = 'Measure'[Grade_Average_Standard_Measure]
VAR BarWidth = 250 * CurrentValue / MaxValue
VAR AvgValue = AVERAGEX(ALLSELECTED('cube_school_summary'), [Grade_Average])
VAR MarkerPosition = 250 * AvgValue / MaxValue
VAR Percentage = FORMAT(CurrentValue * 100, ""0.0"") & ""%""
VAR color = [Performance Color]

RETURN
IF(
    ISINSCOPE('dim_item'[Item_Name]), 
    ""data:image/svg+xml;utf8,<svg width='500' height='25' xmlns='http://www.w3.org/2000/svg'>
        <rect width='"" & FORMAT(BarWidth, ""0"") & ""' height='25' fill='"" & color & ""' />
        <line x1='"" & FORMAT(MarkerPosition, ""0"") & ""' y1='0' x2='"" & FORMAT(MarkerPosition, ""0"") & ""' y2='25' stroke='blue' stroke-width='2' stroke-dasharray='3'/>
        <text x='"" & (BarWidth + 5) & ""' y='18' font-family='Segoe UI' font-size='13' fill='black'>"" & Percentage & ""</text>
    </svg>"", 
    BLANK()

)",,
Measure,Grade Min,"
    // VAR AvgGrade = 
    //     CALCULATE(
    //         MIN('cube_question_summary_overall'[Grade_Average]),
    //         NOT(ISBLANK('cube_grade_summary'[Item_Id]))
    //     )
    // RETURN 
    

     MINX(
    VALUES('cube_question_summary_overall'[Question_No]),
    CALCULATE(AVERAGE('cube_question_summary_overall'[Grade_Average]))
)

// VAR AvgPerQuestion =
//     ADDCOLUMNS(
//         SUMMARIZE(
//             'cube_question_summary_overall',
//             'cube_question_summary_overall'[Question_No]
//         ),
//         ""AvgGrade"", 
//         AVERAGEX(
//             FILTER(
//                 'cube_question_summary_overall',
//                 'cube_question_summary_overall'[Question_No] = EARLIER('cube_question_summary_overall'[Question_No])
//             ),
//             'cube_question_summary_overall'[Grade_Average]
//         )
//     )
// RETURN
//     MINX(AvgPerQuestion, [AvgGrade])

// VAR MaxPerQuestion =
//     ADDCOLUMNS(
//         SUMMARIZE(
//             'cube_question_summary_overall',
//             'cube_question_summary_overall'[Question_No]
//         ),
//         ""MaxGrade"",
//         CALCULATE(
//             MAX('cube_question_summary_overall'[Grade_Average])
//         )
//     )
// RETURN
//     MINX(MaxPerQuestion, [MaxGrade])




",,
Measure,Grade Max,"
//  VAR AvgGrade = 
//         CALCULATE(
//             MAX('cube_question_summary_overall'[Grade_Average]),
//             NOT(ISBLANK('cube_grade_summary'[Item_Id]))
//         )
//     RETURN AvgGrade

MAXX(
    VALUES('cube_question_summary_overall'[Question_No]),
    CALCULATE(AVERAGE('cube_question_summary_overall'[Grade_Average]))
)",,
Measure,Total Student,"SUMX(
    SUMMARIZE(
        'cube_school_summary',
        'cube_school_summary'[Item_ID],
        ""UniqueTotalQuestions"", MAX('cube_school_summary'[Total_Students])
    ),
    [UniqueTotalQuestions]
)",,
Measure,Total Question,"

// MAX('cube_standard_summary'[Total_Questions])

DISTINCTCOUNT('cube_question_summary_overall'[Question_No])",,
Measure,Total Standard,"
// MAX('cube_standard_summary'[Total_Standards])
DISTINCTCOUNT('cube_question_summary_overall'[Standards])",,
Measure,Grade Average,"
//     VAR AvgGrade = AVERAGE('cube_standard_summary'[Grade_Average])
//     RETURN FORMAT(AvgGrade,""Percent"")


    // AVERAGE('cube_standard_summary'[Grade_Average])
AVERAGE('cube_question_summary_overall'[Grade_Average])",,
Measure,Performance Color Strand,"
VAR High = 0.8
VAR Low = 0.7

VAR Selectedattribute = 'Measure'[Grade_Average_Standard_Measure]

VAR Result = 
        SWITCH(TRUE(),
        Selectedattribute>=High, ""#00FF06"", //longitudinal green
        AND(Selectedattribute<Low,Selectedattribute>0), ""#FFCCFF"",
     //   Selectedattribute<Low, ""Red"",
        ANd(Selectedattribute>Low,Selectedattribute<High), ""Yellow""
        )

Return
Result",,
Measure,Grade_Average_Strand_Measure,"
    VAR AvgGrade = 
        CALCULATE(
            AVERAGE('cube_question_summary_overall'[Grade_Average])
        )
    RETURN AvgGrade",,
Measure,Grade_Average_Standard_Measure,"
    // VAR AvgGrade = 
    //     CALCULATE(
    //         AVERAGE('cube_standard_summary'[Grade_Average]),
    //         NOT(ISBLANK('cube_standard_summary'[Identifier]))
    //     )
    // RETURN AvgGrade

    //    VAR AvgGrade = 
    //     CALCULATE(
    //         AVERAGE('cube_question_summary_overall'[Grade_Average])
    //     )
    // RETURN AvgGrade

//     AVERAGEX(
//     SUMMARIZE(
//         FILTER(
//             'cube_question_summary_overall',
//             NOT ISBLANK('cube_question_summary_overall'[Standards])
//         ),
//         'cube_question_summary_overall'[Standards],
//         'cube_question_summary_overall'[Question_No],
//         ""GradeAvg"", AVERAGE('cube_question_summary_overall'[Grade_Average])
//     ),
//     [GradeAvg]
// )

AVERAGE('cube_question_summary_overall'[Grade_Average])
",,
Measure,Performance Color Standard,"
VAR High = 0.8
VAR Low = 0.7

VAR Selectedattribute = AVERAGE('cube_question_summary_overall'[Grade_Average])

VAR Result = 
        SWITCH(TRUE(),
        Selectedattribute>=High, ""#00FF06"", //longitudinal green
        AND(Selectedattribute<Low,Selectedattribute>=0), ""#FFCCFF"",
     //   Selectedattribute<Low, ""Red"",
        ANd(Selectedattribute>=Low,Selectedattribute<High), ""Yellow""
        )

Return
Result",,
Titles,H3 - Total Students,"""Total Students: ""&'Measure'[Total Student]",,
Titles,Instructor(s):,"
 CONCATENATEX(
    DISTINCT('dim_Item'[Section_Instructors]),
    'dim_Item'[Section_Instructors],
    UNICHAR(10)
)

",,
Titles,H3 - # of  questions,"
""Number of Questions: ""&
CALCULATE('Measure'[Total Question])",,
Titles,H3 - # of standards,"
""Number of Standards: ""&
CALCULATE('Measure'[Total Standard])",,
Titles,H3 - Grade Average,"
""Grade Average: ""&
FORMAT([Grade Average2],""Percent"")",,
Titles,H2 - Assessment Type,"
VAR _fieldValue = VALUES(dim_subject[Assessment_type])
VAR _trimmedValues = 
    SELECTCOLUMNS(
        _fieldValue,
        ""TrimmedAssessment"", TRIM(SUBSTITUTE(dim_subject[Assessment_type], ""  "", "" ""))
    )
RETURN
CONCATENATEX(
    DISTINCT(_trimmedValues),
    [TrimmedAssessment],
    "", ""
)
",,
Titles,H2 - Course and Unit,"
var _Title = ""Course: ""
var _fieldValue = VALUES('dim_subject'[Grade])
var _fieldValue2 = VALUES('dim_item'[Item_Name])
var _field = MIN('dim_subject'[Grade])
Return

CONCATENATEX (
_fieldValue,
'dim_subject'[Grade],
"", ""
)&
"": ""&
CONCATENATEX (
_fieldValue2,
'dim_item'[Item_Name],
"", ""
)",,
Titles,__Title,"""Assessments Dashboard""",,
