TableName,ColumnName,Cardinality,Dictionary,HashIndex,DataSize,ModifiedTime,StructureModifiedTime
Drill Through Report,Page,12,1089,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Report Name,10,871,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Report Catergory,4,337,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Report,10,457,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Sort,12,277,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Type,2,185,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Report Short Name,12,543,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Drill Through Report,Sort 2,4,171,0,152,2024-09-18 09:38:02,2024-09-18 09:38:02
Measure,Measure,1,199,0,152,2024-08-30 08:18:25,2024-08-30 08:18:25
Report Short Name,Page,2,281,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Report Name,2,233,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Report Category,2,233,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Report,1,133,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Sort,2,151,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Type,1,155,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Report Short Name,2,233,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
Report Short Name,Sort 2,2,147,0,152,2024-08-29 11:05:58,2024-08-29 11:05:58
SchoolLogo_Parameter,SchoolLogo_Parameter,1,333,0,152,2024-09-19 13:35:50,2024-09-19 13:35:50
SchoolName_Parameter,SchoolName_Parameter,1,211,0,152,2024-09-19 13:35:50,2024-09-19 13:35:50
Titles,Titles,1,133,0,152,2024-09-02 10:19:34,2024-09-02 10:19:34
cube_grade_summary,School_ID,5,269,0,424,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,Subject_ID,4599,184218,0,33640,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,Item_ID,5492,66930,0,25792,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,Grade_Average,9021,72208,0,33512,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,Percentage_InCorrect_Answers,9001,72048,0,33512,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,Grade_Min,1387,11136,0,22224,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,Grade_Max,533,4304,0,6256,2024-09-03 06:25:17,2024-09-03 06:25:17
cube_grade_summary,ID,16747,670524,0,33640,2025-02-21 15:26:50,2024-09-03 06:25:17
cube_question_summary,Question_ID,89406,1082017,0,331040,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_question_summary,Total_Possible_Point,349,2832,0,119712,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_question_summary,Total_Score,1386,11128,0,192224,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_question_summary,Grade_Average,1975,15840,0,165728,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_question_summary,Percentage_InCorrect_Answers,1974,15832,0,165728,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_question_summary,ID,125775,5034153,0,335552,2025-02-21 15:26:50,2024-08-28 11:59:53
cube_question_summary,Item_ID,5201,63384,0,248344,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_question_summary,Incorrect_Choice_Details,80989,9122868,0,292928,2024-09-19 09:56:42,2024-09-19 09:56:42
cube_question_summary,Incorrect_Details_Name,85477,13017876,0,292928,2024-09-19 09:56:42,2024-09-19 09:56:42
cube_question_summary,Question,21754,5504640,0,240696,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Position_Number,21,401,0,11960,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Item_Name,933,27786,0,164648,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,School_ID,5,269,0,3480,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Standard,1691,25912,0,197232,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Question_No,64,1001,0,98664,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Least_Points_Earned,46,979,0,7080,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Correct_Answer,16473,735691,0,245128,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Question_Type,6,353,0,2608,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Average_Points_Earned,538,9669,0,138392,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Associated_Question_ID,1,0,0,152,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Total_Points,14,299,0,3880,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Most_Points_Earned,23,465,0,5344,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Correctly_Answered,100,1891,0,92664,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Sub-Question,1848,96224,0,19696,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Session,4,219,0,17968,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Assessment_type,13,541,0,5600,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Subject,33,1199,0,11152,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Grade,24,795,0,45632,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Section,137,10427,0,18672,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Identifier,1376,35180,0,196152,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Standards,1481,21586,0,196160,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Qkey,125657,9832469,0,335552,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Ukey,53613,2145936,0,251696,2024-09-19 10:36:03,2024-09-19 10:36:03
cube_question_summary,Subject_ID,2640,105858,0,198240,2024-09-19 12:10:09,2024-09-19 12:10:09
cube_question_summary,assessment_date,551,16653,0,165192,2024-09-19 12:10:09,2024-09-19 12:10:09
cube_question_summary,Section_Name,138,4633,0,79136,2024-09-19 12:10:09,2024-09-19 12:10:09
cube_question_summary,Section_Instructors,160,10293,0,76048,2024-09-19 12:10:09,2024-09-19 12:10:09
cube_question_summary,Item_Type,1,151,0,1112,2024-09-19 12:10:09,2024-09-19 12:10:09
cube_question_summary,Question_no_url,18395,4899795,0,239928,2024-12-25 14:27:17,2024-12-25 14:27:17
cube_question_summary,Incorrect_Choice_Details_Hash,80989,9122868,0,292928,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_question_summary,Incorrect_Details_Name_Hash,85579,13362407,0,292928,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_question_summary,TeacherName_Hash,154,6555,0,76080,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_question_summary_overall,Question_No,64,1001,0,44784,2024-09-15 11:03:55,2024-09-15 11:03:55
cube_question_summary_overall,Question,21413,5626263,0,137088,2024-09-15 11:03:55,2024-09-15 11:03:55
cube_question_summary_overall,Correct_Answer,16474,737001,0,139480,2024-09-15 11:03:55,2024-09-15 11:03:55
cube_question_summary_overall,Total_Possible_Point,263,2144,0,69336,2024-09-15 12:13:36,2024-09-15 11:03:55
cube_question_summary_overall,Total_Score,1464,11752,0,112704,2024-09-15 12:13:36,2024-09-15 11:03:55
cube_question_summary_overall,Grade_Average,2866,22968,0,106120,2025-04-17 06:49:59,2024-09-15 11:03:55
cube_question_summary_overall,Percentage_InCorrect_Answers,2858,22904,0,106120,2024-09-15 12:13:36,2024-09-15 11:03:55
cube_question_summary_overall,Incorrect_Choice_Details,60866,9444546,0,137272,2024-09-15 11:03:55,2024-09-15 11:03:55
cube_question_summary_overall,Incorrect_Details_Name,65296,15225425,0,137272,2024-09-15 11:03:55,2024-09-15 11:03:55
cube_question_summary_overall,ID,72968,2920715,0,194728,2025-03-17 06:14:37,2025-03-17 06:14:37
cube_question_summary_overall,Subject_ID,2819,113018,0,113824,2024-09-15 11:40:24,2024-09-15 11:40:24
cube_question_summary_overall,Standards,1691,25912,0,98088,2024-09-15 11:55:53,2024-09-15 11:55:53
cube_question_summary_overall,uKey,53901,2157456,0,146088,2024-09-16 05:50:50,2024-09-16 05:50:50
cube_question_summary_overall,Question_no_url,18155,5071720,0,136304,2024-12-25 14:27:17,2024-12-25 14:27:17
cube_question_summary_overall,Sorting Question_No,64,296,0,44784,2026-03-05 10:46:11,2025-03-17 06:18:19
