schoology_standard,n_ids,n_families,fams,is_junk,fact_rows,fact_items
0.11,2,1,11,t,0,0
0.1,2,2,"1,15",t,0,0
0.2,2,2,"2a,2b",t,0,0
0.3,2,1,3,t,0,0
0.4,2,1,4,t,0,0
0.5,2,1,5,t,0,0
0.8,2,1,8,t,0,0
MA.1.GR.1,2,2,"3,4",f,1940,12
SOC.6.SS.6.W.3.14,2,2,"1,14",f,1837,6
SOC.6.SS.6.W.3.12,2,2,"1,12",f,1832,6
SOC.6.SS.6.W.3.13,2,2,"1,13",f,1770,4
MA.6.AR.2,2,2,"1,4",f,1530,8
MA.912.AR.3.1,2,2,"1,10",f,1515,7
SOC.6.SS.6.W.3.10,2,2,"1,10",f,1430,4
MA.5.GR.1,2,2,"1,2",f,1192,4
MA.6.DP.1,2,2,"1,4",f,1139,3
MA.1.NSO.2,2,2,"4,5",f,1110,17
MA.912.AR.9.1,2,2,"1,10",f,1003,4
MA.7.GR.1,2,2,"2,4",f,893,4
MA.912.AR.1.1,2,2,"1,10",f,883,7
SOC.8.SS.8.A.3.15,2,2,"1,15",f,742,3
SOC.8.SS.8.A.3.12,2,2,"1,12",f,622,5
SS.7.CG.3.10,2,2,"1,10",f,617,4
MA.5.NSO.2,2,2,"2,3",f,607,8
MA.2.NSO.2,2,2,"2,3",f,599,16
MA.4.NSO.2,2,2,"3,4",f,572,7
SCI.8.SC.8.E.5.10,2,2,"1,10",f,540,2
MA.7.DP.2,2,2,"1,4",f,540,2
SS.7.CG.2.10,2,2,"1,10",f,477,5
SS.7.CG.3.1,2,2,"1,13",f,469,13
MA.3.AR.3,2,2,"1,2",f,356,9
SOC.8.SS.8.A.4.10,2,2,"1,10",f,320,5
MA.5.GR.3,2,2,"2,3",f,244,5
SOC.8.SS.8.A.3.10,2,2,"1,10",f,227,4
SS.7.CG.3.15,2,2,"1,15",f,223,2
MA.4.GR.1,2,2,"1,2",f,195,5
MA.5.NSO.1,2,2,"3,4",f,154,4
SS.7.CG.1.10,2,2,"1,10",f,128,2
MA.7.AR.4,2,2,"2,4",f,116,2
SS.912.FL.1.3,2,2,"3,3  (Discontinued after 2023-2024)",f,18,1
SS.912.FL.2.4,2,2,"4,4  (Discontinued after 2023-2024)",f,9,1
SS.912.FL.2.1,2,2,"1,1  (Discontinued after 2023-2024)",f,9,1
MA.912.AR.9.10,2,2,"1,10",f,0,0
MA.912.AR.1,2,1,3,f,0,0
