schoology_standard,code_last_seg,standard_new,matches_last_seg,id8,fact_rows,id_fact_rows
0.1,1,1,t,6181b207,0,650
0.1,1,15,f,6a41b207,0,0
0.11,11,11,t,21052b67,0,0
0.11,11,11,t,7821b207,0,0
0.2,2,2a,f,1b162b67,0,0
0.2,2,2b,f,1b182b67,0,0
0.3,3,3,t,20b82b67,0,0
0.3,3,3,t,6c71b207,0,1058
0.4,4,4,t,6941b207,0,978
0.4,4,4,t,6711b207,0,822
0.5,5,5,t,20ba2b67,0,0
0.5,5,5,t,7491b207,0,0
0.8,8,8,t,7801b207,0,0
0.8,8,8,t,20622b67,0,0
MA.1.GR.1,1,3,f,3bac2b67,1940,5290
MA.1.GR.1,1,4,f,3bad2b67,1940,1037
MA.1.NSO.2,2,4,f,3b9d2b67,1110,1244
MA.1.NSO.2,2,5,f,3b9e2b67,1110,506
MA.2.NSO.2,2,2,t,3bb52b67,599,1400
MA.2.NSO.2,2,3,f,3bb62b67,599,15026
MA.3.AR.3,3,1,f,3bdd2b67,356,1926
MA.3.AR.3,3,2,f,3bde2b67,356,717
MA.4.GR.1,1,1,t,3c0c2b67,195,1272
MA.4.GR.1,1,2,f,3c0d2b67,195,1115
MA.4.NSO.2,2,3,f,3bf42b67,572,1087
MA.4.NSO.2,2,4,f,3bf52b67,572,5588
MA.5.GR.1,1,1,t,3c2e2b67,1192,3870
MA.5.GR.1,1,2,f,3c2f2b67,1192,1307
MA.5.GR.3,3,2,f,3c322b67,244,2419
MA.5.GR.3,3,3,t,3c332b67,244,1913
MA.5.NSO.1,1,3,f,3c162b67,154,509
MA.5.NSO.1,1,4,f,3c172b67,154,906
MA.5.NSO.2,2,2,t,3c1a2b67,607,3780
MA.5.NSO.2,2,3,f,3c1b2b67,607,2775
MA.6.AR.2,2,1,f,3c4a2b67,1530,2943
MA.6.AR.2,2,4,f,3c4d2b67,1530,426
MA.6.DP.1,1,1,t,3c592b67,1139,1690
MA.6.DP.1,1,4,f,3c5c2b67,1139,1216
MA.7.AR.4,4,2,f,3c6c2b67,116,1939
MA.7.AR.4,4,4,t,3c6e2b67,116,1102
MA.7.DP.2,2,1,f,3c7d2b67,540,968
MA.7.DP.2,2,4,f,3c802b67,540,1066
MA.7.GR.1,1,2,f,3c712b67,893,1687
MA.7.GR.1,1,4,f,3c732b67,893,584
MA.912.AR.1,1,3,f,3cc52b67,0,1155
MA.912.AR.1,1,3,f,3d012b67,0,0
MA.912.AR.1.1,1,1,t,3cc32b67,883,1352
MA.912.AR.1.1,1,10,f,3ccb2b67,883,0
MA.912.AR.3.1,1,1,t,3cd52b67,1515,2464
MA.912.AR.3.1,1,10,f,3cdd2b67,1515,25
MA.912.AR.9.1,1,1,t,3cf62b67,1003,1288
MA.912.AR.9.1,1,10,f,3cfe2b67,1003,0
MA.912.AR.9.10,10,1,f,3cf62b67,0,1288
MA.912.AR.9.10,10,10,t,3cfe2b67,0,0
SCI.8.SC.8.E.5.10,10,1,f,7231b207,540,1180
SCI.8.SC.8.E.5.10,10,10,t,72c1b207,540,0
SOC.6.SS.6.W.3.10,10,1,f,c2a1b207,1430,13281
SOC.6.SS.6.W.3.10,10,10,t,c331b207,1430,0
SOC.6.SS.6.W.3.12,12,1,f,c2a1b207,1832,13281
SOC.6.SS.6.W.3.12,12,12,t,c351b207,1832,0
SOC.6.SS.6.W.3.13,13,1,f,c2a1b207,1770,13281
SOC.6.SS.6.W.3.13,13,13,t,c361b207,1770,0
SOC.6.SS.6.W.3.14,14,1,f,c2a1b207,1837,13281
SOC.6.SS.6.W.3.14,14,14,t,c371b207,1837,0
SOC.8.SS.8.A.3.10,10,1,f,cbd1b207,227,3055
SOC.8.SS.8.A.3.10,10,10,t,cc61b207,227,0
SOC.8.SS.8.A.3.12,12,1,f,cbd1b207,622,3055
SOC.8.SS.8.A.3.12,12,12,t,cc81b207,622,0
SOC.8.SS.8.A.3.15,15,1,f,cbd1b207,742,3055
SOC.8.SS.8.A.3.15,15,15,t,ccb1b207,742,0
SOC.8.SS.8.A.4.10,10,1,f,ccd1b207,320,1436
SOC.8.SS.8.A.4.10,10,10,t,cd61b207,320,0
SS.7.CG.1.10,10,1,f,3ed82b67,128,345
SS.7.CG.1.10,10,10,t,3ee12b67,128,0
SS.7.CG.2.10,10,1,f,3ee32b67,477,1741
SS.7.CG.2.10,10,10,t,3eec2b67,477,0
SS.7.CG.3.1,1,1,t,3eed2b67,469,1309
SS.7.CG.3.1,1,13,f,3ef92b67,469,125
SS.7.CG.3.10,10,1,f,3eed2b67,617,1309
SS.7.CG.3.10,10,10,t,3ef62b67,617,0
SS.7.CG.3.15,15,1,f,3eed2b67,223,1309
SS.7.CG.3.15,15,15,t,3efb2b67,223,0
SS.912.FL.1.3,3,3,t,1596c457,18,18
SS.912.FL.1.3,3,3  (Discontinued after 2023-2024),f,216a2b67,18,0
SS.912.FL.2.1,1,1,t,159a4457,9,18
SS.912.FL.2.1,1,1  (Discontinued after 2023-2024),f,216f2b67,9,0
SS.912.FL.2.4,4,4,t,159cb457,9,9
SS.912.FL.2.4,4,4  (Discontinued after 2023-2024),f,21722b67,9,0
