school_id,item_id,subject,grade,assessment_type,session,item_name
019eb11c-410a-7ffb-86e6-a0294c669670,7334632137,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334632189,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334632245,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334632266,ELA,Grade 1,Unit-Chap  Assessments,2024-25,Module Assessment: Nice to Meet You!
019eb11c-410a-7ffb-86e6-a0294c669670,7334632340,ELA,Grade 1,Lesson  Assessments,2024-25,"My Family, My Community: Weekly Assessment: Week 2"
019eb11c-410a-7ffb-86e6-a0294c669670,7334632395,ELA,Grade 1,Unit-Chap  Assessments,2024-25,"Module Assessment: My Family, My Community"
019eb11c-410a-7ffb-86e6-a0294c669670,7334632445,ELA,Grade 1,Lesson  Assessments,2024-25,Amazing Animals: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334632515,ELA,Grade 1,Lesson  Assessments,2024-25,Amazing Animals: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334632560,ELA,Grade 1,Unit-Chap  Assessments,2024-25,Module Assessment: Amazing Animals
019eb11c-410a-7ffb-86e6-a0294c669670,7334632604,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334632637,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334632673,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334632708,ELA,Grade 1,Assessments,2024-25,Module Assessment: Better Together
019eb11c-410a-7ffb-86e6-a0294c669670,7334632768,ELA,Grade 1,Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 1"
019eb11c-410a-7ffb-86e6-a0294c669670,7334632803,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 2"
019eb11c-410a-7ffb-86e6-a0294c669670,7334632852,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 3"
