grantee,table_name,privilege_type
anon,audit_logs,DELETE
anon,audit_logs,INSERT
anon,audit_logs,REFERENCES
anon,audit_logs,SELECT
anon,audit_logs,TRIGGER
anon,audit_logs,TRUNCATE
anon,audit_logs,UPDATE
authenticated,audit_logs,DELETE
authenticated,audit_logs,INSERT
authenticated,audit_logs,REFERENCES
authenticated,audit_logs,SELECT
authenticated,audit_logs,TRIGGER
authenticated,audit_logs,TRUNCATE
authenticated,audit_logs,UPDATE
anon,clean_bak_dim_item,DELETE
anon,clean_bak_dim_item,INSERT
anon,clean_bak_dim_item,REFERENCES
anon,clean_bak_dim_item,SELECT
anon,clean_bak_dim_item,TRIGGER
anon,clean_bak_dim_item,TRUNCATE
anon,clean_bak_dim_item,UPDATE
authenticated,clean_bak_dim_item,DELETE
authenticated,clean_bak_dim_item,INSERT
authenticated,clean_bak_dim_item,REFERENCES
authenticated,clean_bak_dim_item,SELECT
authenticated,clean_bak_dim_item,TRIGGER
authenticated,clean_bak_dim_item,TRUNCATE
authenticated,clean_bak_dim_item,UPDATE
anon,clean_bak_dim_subject,DELETE
anon,clean_bak_dim_subject,INSERT
anon,clean_bak_dim_subject,REFERENCES
anon,clean_bak_dim_subject,SELECT
anon,clean_bak_dim_subject,TRIGGER
anon,clean_bak_dim_subject,TRUNCATE
anon,clean_bak_dim_subject,UPDATE
authenticated,clean_bak_dim_subject,DELETE
authenticated,clean_bak_dim_subject,INSERT
authenticated,clean_bak_dim_subject,REFERENCES
authenticated,clean_bak_dim_subject,SELECT
authenticated,clean_bak_dim_subject,TRIGGER
authenticated,clean_bak_dim_subject,TRUNCATE
authenticated,clean_bak_dim_subject,UPDATE
anon,cube_grade_summary,DELETE
anon,cube_grade_summary,INSERT
anon,cube_grade_summary,REFERENCES
anon,cube_grade_summary,SELECT
anon,cube_grade_summary,TRIGGER
anon,cube_grade_summary,TRUNCATE
anon,cube_grade_summary,UPDATE
authenticated,cube_grade_summary,DELETE
authenticated,cube_grade_summary,INSERT
authenticated,cube_grade_summary,REFERENCES
authenticated,cube_grade_summary,SELECT
authenticated,cube_grade_summary,TRIGGER
authenticated,cube_grade_summary,TRUNCATE
authenticated,cube_grade_summary,UPDATE
anon,cube_overallperformance_summary,DELETE
anon,cube_overallperformance_summary,INSERT
anon,cube_overallperformance_summary,REFERENCES
anon,cube_overallperformance_summary,SELECT
anon,cube_overallperformance_summary,TRIGGER
anon,cube_overallperformance_summary,TRUNCATE
anon,cube_overallperformance_summary,UPDATE
authenticated,cube_overallperformance_summary,DELETE
authenticated,cube_overallperformance_summary,INSERT
authenticated,cube_overallperformance_summary,REFERENCES
authenticated,cube_overallperformance_summary,SELECT
authenticated,cube_overallperformance_summary,TRIGGER
authenticated,cube_overallperformance_summary,TRUNCATE
authenticated,cube_overallperformance_summary,UPDATE
anon,cube_question_summary,DELETE
anon,cube_question_summary,INSERT
anon,cube_question_summary,REFERENCES
anon,cube_question_summary,SELECT
anon,cube_question_summary,TRIGGER
anon,cube_question_summary,TRUNCATE
anon,cube_question_summary,UPDATE
authenticated,cube_question_summary,DELETE
authenticated,cube_question_summary,INSERT
authenticated,cube_question_summary,REFERENCES
authenticated,cube_question_summary,SELECT
authenticated,cube_question_summary,TRIGGER
authenticated,cube_question_summary,TRUNCATE
authenticated,cube_question_summary,UPDATE
anon,cube_question_summary_overall,DELETE
anon,cube_question_summary_overall,INSERT
anon,cube_question_summary_overall,REFERENCES
anon,cube_question_summary_overall,SELECT
anon,cube_question_summary_overall,TRIGGER
anon,cube_question_summary_overall,TRUNCATE
anon,cube_question_summary_overall,UPDATE
authenticated,cube_question_summary_overall,DELETE
authenticated,cube_question_summary_overall,INSERT
authenticated,cube_question_summary_overall,REFERENCES
authenticated,cube_question_summary_overall,SELECT
authenticated,cube_question_summary_overall,TRIGGER
authenticated,cube_question_summary_overall,TRUNCATE
authenticated,cube_question_summary_overall,UPDATE
anon,cube_question_summary_overall_by_item,DELETE
anon,cube_question_summary_overall_by_item,INSERT
anon,cube_question_summary_overall_by_item,REFERENCES
anon,cube_question_summary_overall_by_item,SELECT
anon,cube_question_summary_overall_by_item,TRIGGER
anon,cube_question_summary_overall_by_item,TRUNCATE
anon,cube_question_summary_overall_by_item,UPDATE
authenticated,cube_question_summary_overall_by_item,DELETE
authenticated,cube_question_summary_overall_by_item,INSERT
authenticated,cube_question_summary_overall_by_item,REFERENCES
authenticated,cube_question_summary_overall_by_item,SELECT
authenticated,cube_question_summary_overall_by_item,TRIGGER
authenticated,cube_question_summary_overall_by_item,TRUNCATE
authenticated,cube_question_summary_overall_by_item,UPDATE
anon,cube_questionincorrectchoice_summary,DELETE
anon,cube_questionincorrectchoice_summary,INSERT
anon,cube_questionincorrectchoice_summary,REFERENCES
