school_id,item_id,item_name,students,f_subjects,f_grades,s_subjects,s_grades,subj_diff,grade_diff,fact_multivalue
019eb11c-410a-7ffb-86e6-a0294c669670,7615828993,12/04 8.4 Homework,22,{Math},"{""Grade 4""}",{Math},"{""Grade 3""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7615829935,12/05 8.4 Homework,21,{Math},"{""Grade 4""}",{Math},"{""Grade 3""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7624644120,12/09 8.6 Homework,19,{Math},"{""Grade 4""}",{Math},"{""Grade 3""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7613842590,12/5 Reading Classwork,19,{ELA},"{""Grade 4""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7625528258,12/9 Reading Classwork,18,{ELA},"{""Grade 4""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7637896011,Adding and Subtracting Money - 12/16/24,17,{Math},"{""Grade 3""}",{Math},"{""Grade 2""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7687663925,Chapter 16,18,{Math},"{""Grade 2""}","{ELA,Math}","{""Grade 2""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,7687678128,Chapter 16,20,{Math},"{""Grade 2""}","{ELA,Math}","{""Grade 2""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,7789640645,Chapter 16 Temperature and Time,21,{Math},"{""Grade 4""}","{ELA,Math}","{""Grade 3"",""Grade 4""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7702555934,Chapter 18,20,{Math},"{""Grade 5""}","{ELA,Math}","{""Grade 3"",""Grade 5""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7702561239,Chapter 18,19,{Math},"{""Grade K""}","{ELA,Math}","{""Grade 2"",""Grade K""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7893373621,Chapter 2,20,{Math},"{""Grade 1""}",{ELA},"{""Grade 3""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7708642601,Chapter 6 Test,18,{Algebra},"{""Grade 8""}","{Algebra,ELA}","{""Grade 8"",""Grade K""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,8359960427,Chapter 9 Test,27,{Algebra},"{""Grade 8""}","{Algebra,ELA}","{""Grade 6"",""Grade 8""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,8346484076,Classwork End of Year Test,17,{Math},"{""Grade 1""}",{Math},"{""Grade 6""}",f,t,f
