school,item_id,item_name,subject,grade,identifier,max_codes,cell_type,cube_possible,true_possible,possible_inflation,cube_pct,true_pct,pct_kpi_error,code_families
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,3d0d2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,92.0000,51.0000,1.804,79.35,92.16,-12.81,AI.MA.912.F.2.1 + MA.912.F.2.1
Athenian Academy of Technology and the Arts,7632051430,Module 7 Test,Math,Grade 7,3c642b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,552.0000,330.0000,1.673,54.17,62.12,-7.95,MA.7.AR.1 + MA.7.AR.1.1
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,3cd92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,230.0000,85.0000,2.706,88.70,96.47,-7.77,AI.MA.912.AR.3.6 + MA.912.AR.3.6
Athenian Academy of Technology and the Arts,7623314096,HW 12/6,Math,Grade 7,3c642b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,381.0000,140.0000,2.721,62.29,69.76,-7.47,MA.7.AR.1 + MA.7.AR.1.1
Athenian Academy of Technology and the Arts,7687765699,Module 10 Test,Math,Grade 6,3c4a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,1171.0000,744.0000,1.574,73.21,67.03,6.18,MA.6.AR.2 + MA.6.AR.2.1
Athenian Academy of Technology and the Arts,7619625033,HW 12/4 7.2 - 7.3,Math,Grade 7,15612b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,192.0000,112.0000,1.714,55.21,60.71,-5.50,MA.7.MAFS.7.EE.2.4 + MA.7.MAFS.7.EE.2.4.a
Athenian Academy of Technology and the Arts,8029075849,Module 10 Test,Math,Grade 6,3c4a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,731.0000,456.0000,1.603,77.29,72.00,5.29,MA.6.AR.2 + MA.6.AR.2.1
Athenian Academy of Technology and the Arts,8029076125,Module 10 Test,Math,Grade 6,3c4a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,801.0000,504.0000,1.589,75.66,70.44,5.22,MA.6.AR.2 + MA.6.AR.2.1
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,15d02b67-8bad-44d4-bb62-d37ecb91f432,2,uniform,202.0000,85.0000,2.376,83.91,89.12,-5.21,MA.9-12.MAFS.912.F-LE.1.1.b + MA.9-12.MAFS.912.F-LE.1.1.c
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,3cc52b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,360.0000,252.0000,1.429,71.39,76.19,-4.80,AI.MA.912.AR.1.3 + MA.912.AR.1.3
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,3cd02b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,233.0000,81.0000,2.877,70.10,74.90,-4.80,AI.MA.912.AR.2.4 + MA.912.AR.2.4
Athenian Academy of Technology and the Arts,7887639166,Chapter 8 Test,Algebra,Grade 8,3cc92b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,230.0000,207.0000,1.111,74.78,79.23,-4.45,AI.MA.912.AR.1.7 + MA.912.AR.1.7
Athenian Academy of Technology and the Arts,7338204663,Module 3 Test,Math,Grade 6,15442b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,690.0000,420.0000,1.643,62.92,67.17,-4.25,MA.6.MAFS.6.NS.3.7.a + MA.6.MAFS.6.NS.3.7.c ; MA.6.MAFS.6.NS.3.7.c + MA.6.MAFS.6.NS.3.7.d
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,3d0a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,336.0000,136.0000,2.471,82.59,86.76,-4.17,AI.MA.912.F.1.8 + MA.912.F.1.8
Athenian Academy of Technology and the Arts,7619625033,HW 12/4 7.2 - 7.3,Math,Grade 7,3c642b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,357.0000,168.0000,2.125,64.71,68.45,-3.74,MA.7.AR.1 + MA.7.AR.1.1
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,3d8a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,81.0000,54.0000,1.500,85.19,81.48,3.71,AI.MA.912.DP.2.6 + MA.912.DP.2.6
