school_id,school,item_id,item_name,dqd_section,dim_item_section_name_slicer_value,alignment_kpi_exact_match,section_nid,all_fact_section_labels
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891731480,Unit 4 Benchmark Test: Earth’s Resources,01 Science 01 SCI - B,01 SCI - B,f,7881419071,01 Science 01 SCI - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891731745,Unit 4 Benchmark Test: Earth’s Resources,01 Science 01 SCI - D,01 SCI - D,f,7881419075,01 Science 01 SCI - D
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891742814,Unit 9 Test: The Human Body,02 Science 02 SCI - C,02 SCI - C,f,7881419106,02 Science 02 SCI - C
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891745765,Unit 7 Benchmark Test: Energy,02 Science 02 SCI - B,02 SCI - B,f,7881419105,02 Science 02 SCI - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891745773,Unit 9 Test: The Human Body,02 Science 02 SCI - B,02 SCI - B,f,7881419105,02 Science 02 SCI - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891791749,Unit 5 Test: Forms of Energy,03 Science 03 SCI - A,03 SCI - A,f,7881419127,03 Science 03 SCI - A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891791750,Unit 6 Test: Heat Sources,03 Science 03 SCI - A,03 SCI - A,f,7881419127,03 Science 03 SCI - A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891791761,Unit 9 Test: Living Things Change,03 Science 03 SCI - A,03 SCI - A,f,7881419127,03 Science 03 SCI - A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891794218,Unit 5 Test: Forms of Energy,03 Science 03 SCI - B,03 SCI - B,f,7881419128,03 Science 03 SCI - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891794242,Unit 6 Test: Heat Sources,03 Science 03 SCI - B,03 SCI - B,f,7881419128,03 Science 03 SCI - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7891794291,Unit 9 Test: Living Things Change,03 Science 03 SCI - B,03 SCI - B,f,7881419128,03 Science 03 SCI - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,7997317453,Unit 2 Test: The Engineering Process,04 Science 04 SCI - C,04 SCI - C,f,7902833011,04 Science 04 SCI - C
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8007108786,Chapter 1 Test: Understand Place Value,02 Math 02 MTH - B,02 MTH - B,f,7881419100,02 Math 02 MTH - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8087300297,Unit 4 Benchmark Test: Earth’s Resources,01 Science 01 SCI - A,01 SCI - A,f,7881419068,01 Science 01 SCI - A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8140495693,Topic 6: The Constitution Protects Your Rights: Defend All Rights,MS 07 Civics MS 07 CIV - 3rd B,MS 07 CIV - 3rd B,f,7877376193,MS 07 Civics MS 07 CIV - 3rd B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8159775758,Heroic Feats: Weekly Assessment: Module 4 Week 1,04 Language Arts 04 LA - C,04 LA - C,f,7902833008,04 Language Arts 04 LA - C
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8180432402,Chapter 8 Test: More 2-Digit Subtraction,02 Math 02 MTH - B,02 MTH - B,f,7881419100,02 Math 02 MTH - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8200948721,Chapter 8 Test: More 2-Digit Subtraction,02 Math 02 MTH - A,02 MTH - A,f,7881419098,02 Math 02 MTH - A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8200948758,Chapter 8 Test: More 2-Digit Subtraction,02 Math 02 MTH - C,02 MTH - C,f,7881419101,02 Math 02 MTH - C
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8254068371,Waves and Electromagnetic Radiation,MS 08 Physical Science MS 08 PHY SC - 4th A,MS 08 PHY SC - 4th A,f,7877376210,MS 08 Physical Science MS 08 PHY SC - 4th A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8258440058,Waves and Electromagnetic Radiation,MS 08 Physical Science MS 08 PHY SC - 2nd B,MS 08 PHY SC - 2nd B,f,7877376211,MS 08 Physical Science MS 08 PHY SC - 2nd B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8262255858,Chapter 10 Test: Relate Multiplication and Area,03 Math 03 MTH - A,03 MTH - A,f,7881419121,03 Math 03 MTH - A
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8262255871,Chapter 10 Test: Relate Multiplication and Area,03 Math 03 MTH - B,03 MTH - B,f,7881419124,03 Math 03 MTH - B
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8273239519,The Big Outdoors: Mod 7 Weekly Assessment: Week 1,01 Language Arts 01 LA - D,01 LA - D,f,7881419057,01 Language Arts 01 LA - D
019eb11c-413b-7a66-a7d8-a18f14736ede,CFP,8352494723,Topic 9: Civilizations of East Asia and Southeast Asia (250 BCE - 1644 CE),MS 06 World History  MS 06 WH - 3rd A,MS 06 WH - 3rd A,f,7877376190,MS 06 World History  MS 06 WH - 3rd A
