cube,school,school_id,subject_id,subject,grade,item_id,item_name,kind,cube_students,fact_rebuild_students,cube_score,fact_rebuild_score,id_inconsistent_with_own_key
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,ELA,Grade 2,7334679341,Meet in the Middle: Weekly Assessment: Week 1,MISSING_from_cube,,16,,158.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,ELA,Grade 2,8336110460,Module 8 Week 1 Vocabulary Quiz,MISSING_from_cube,,20,,2208.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,ELA,Grade 3,7620225345,M4W2  Vocabulary Quiz,MISSING_from_cube,,19,,1638.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,ELA,Grade 4,7613842590,12/5 Reading Classwork,MISSING_from_cube,,19,,62.5000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,ELA,Grade 4,7625528258,12/9 Reading Classwork,MISSING_from_cube,,18,,75.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,ELA,Grade 5,7598715892,M4W2 Vocabulary Quiz,MISSING_from_cube,,18,,1395.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,Math,Grade 1,7893373621,Chapter 2,MISSING_from_cube,,20,,639.3334,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,Math,Grade 1,8346484076,Classwork End of Year Test,MISSING_from_cube,,17,,324.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,Math,Grade 2,7687663925,Chapter 16,MISSING_from_cube,,18,,592.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,Math,Grade 2,7687678128,Chapter 16,MISSING_from_cube,,20,,639.5000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,Math,Grade 3,7637896011,Adding and Subtracting Money - 12/16/24,MISSING_from_cube,,17,,116.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,Math,Grade 4,7615829935,12/05 8.4 Homework,MISSING_from_cube,,21,,79.0008,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,Math,Grade 4,7624644120,12/09 8.6 Homework,MISSING_from_cube,,19,,86.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,Math,Grade 5,7702555934,Chapter 18,MISSING_from_cube,,20,,516.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,Math,Grade K,7702561239,Chapter 18,MISSING_from_cube,,19,,334.0000,f
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,ELA,Grade 2,7334679341,Meet in the Middle: Weekly Assessment: Week 1,STALE_in_cube_only,16,,158.0000,,t
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,ELA,Grade 2,8336110460,Module 8 Week 1 Vocabulary Quiz,STALE_in_cube_only,20,,2208.0000,,t
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,ELA,Grade 2,,,STALE_in_cube_only,20,,2208.0000,,t
cube_school_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,ELA,Grade 2,,,STALE_in_cube_only,16,,158.0000,,t
