cube_table,drift_kind,school_name,subject_id,item_id,item_name,subject,grade,cube_students,replay_students,cube_score,replay_score,cube_grade_avg,replay_grade_avg,id_hash_mismatch
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,Chapter 18,Math,Grade K,,,,,0.925208,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,Chapter 18,Math,Grade K,,,,,0.881579,0.895629,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,Chapter 18,Math,Grade K,,,,,,0.925208,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,Chapter 18,Math,Grade K,,,,,0.925208,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,M4W2  Vocabulary Quiz,ELA,Grade 3,,,,,0.821053,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,M4W2  Vocabulary Quiz,ELA,Grade 3,,,,,0.937594,0.898747,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,M4W2  Vocabulary Quiz,ELA,Grade 3,,,,,,0.821053,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,M4W2  Vocabulary Quiz,ELA,Grade 3,,,,,0.821053,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,12/5 Reading Classwork,ELA,Grade 4,,,,,0.822368,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,12/5 Reading Classwork,ELA,Grade 4,,,,,0.869048,0.846875,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,12/5 Reading Classwork,ELA,Grade 4,,,,,,0.822368,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,12/5 Reading Classwork,ELA,Grade 4,,,,,0.822368,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,Chapter 18,Math,Grade 5,,,,,0.835659,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,Chapter 18,Math,Grade 5,,,,,0.892214,0.863936,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,Chapter 18,Math,Grade 5,,,,,,0.835659,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,Chapter 18,Math,Grade 5,,,,,0.835659,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,Classwork End of Year Test,Math,Grade 1,,,,,0.681684,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,Classwork End of Year Test,Math,Grade 1,,,,,0.632410,0.654453,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,Classwork End of Year Test,Math,Grade 1,,,,,,0.681684,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,Classwork End of Year Test,Math,Grade 1,,,,,0.681684,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,Adding and Subtracting Money - 12/16/24,Math,Grade 3,,,,,0.852941,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,Adding and Subtracting Money - 12/16/24,Math,Grade 3,,,,,0.807432,0.821759,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,Adding and Subtracting Money - 12/16/24,Math,Grade 3,,,,,,0.852941,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,Adding and Subtracting Money - 12/16/24,Math,Grade 3,,,,,0.852941,,t
