cube,kind,school_id,subject_id,item_id,cube_id_hash_mismatch,cube_students,fact_students,cube_questions,fact_questions,cube_possible,fact_possible,cube_score,fact_score,school_name,item_name,subject,grade
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,f,,19,,19,,361.0000,,334.0000,Athenian Academy of Technology and the Arts,Chapter 18,Math,Grade K
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,f,,19,,6,,1995.0000,,1638.0000,Athenian Academy of Technology and the Arts,M4W2  Vocabulary Quiz,ELA,Grade 3
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,f,,19,,3,,76.0000,,62.5000,Athenian Academy of Technology and the Arts,12/5 Reading Classwork,ELA,Grade 4
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,f,,20,,20,,618.0000,,516.0000,Athenian Academy of Technology and the Arts,Chapter 18,Math,Grade 5
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,f,,17,,12,,475.0000,,324.0000,Athenian Academy of Technology and the Arts,Classwork End of Year Test,Math,Grade 1
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,f,,17,,8,,136.0000,,116.0000,Athenian Academy of Technology and the Arts,Adding and Subtracting Money - 12/16/24,Math,Grade 3
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,f,,20,,21,,874.0000,,639.3334,Athenian Academy of Technology and the Arts,Chapter 2,Math,Grade 1
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,f,,18,,5,,90.0000,,75.0000,Athenian Academy of Technology and the Arts,12/9 Reading Classwork,ELA,Grade 4
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,f,,18,,1,,1458.0000,,1395.0000,Athenian Academy of Technology and the Arts,M4W2 Vocabulary Quiz,ELA,Grade 5
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,f,,16,,13,,223.0000,,158.0000,Athenian Academy of Technology and the Arts,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,f,,20,,2,,2560.0000,,2208.0000,Athenian Academy of Technology and the Arts,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,7624644120,f,,19,,7,,133.0000,,86.0000,Athenian Academy of Technology and the Arts,12/09 8.6 Homework,Math,Grade 4
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687663925,f,,18,,20,,658.0000,,592.0000,Athenian Academy of Technology and the Arts,Chapter 16,Math,Grade 2
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687678128,f,,20,,20,,719.0000,,639.5000,Athenian Academy of Technology and the Arts,Chapter 16,Math,Grade 2
cube_school_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,7615829935,f,,21,,5,,147.0000,,79.0008,Athenian Academy of Technology and the Arts,12/05 8.4 Homework,Math,Grade 4
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,t,19,,19,,361.0000,,334.0000,,Athenian Academy of Technology and the Arts,,Math,Grade K
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,t,19,,19,,361.0000,,334.0000,,Athenian Academy of Technology and the Arts,Chapter 18,Math,Grade K
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,t,19,,6,,1995.0000,,1638.0000,,Athenian Academy of Technology and the Arts,,ELA,Grade 3
