item_id,item_name,label_grade,subject,section_name,section_instructors,n_takers,n_home_match,n_no_other,has_hs_band,offgrade_standards
7338033712,Unit 1 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,16,16,0,f,SOC.7.SS.7.C.1.4; SOC.7.SS.7.C.1.5; SOC.7.SS.7.C.1.6; SOC.7.SS.7.C.1.8; SOC.7.SS.7.C.2.1; SOC.7.SS.7.C.2.2; SOC.7.SS.7.C.2.3; SOC.7.SS.7.C.2.4; SOC.7.SS.7.C.3.1; SOC.7.SS.7.C.3.2; SOC.7.SS.7.C.3.3; SOC.7.SS.7.C.3.4; SOC.7.SS.7.C.3.6; SS.7.G.2.3
7338033783,Unit 2 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,17,17,0,f,SOC.7.SS.7.C.1.7; SOC.7.SS.7.C.2.10; SOC.7.SS.7.C.3.1; SOC.7.SS.7.C.3.10; SOC.7.SS.7.C.3.12; SOC.7.SS.7.C.3.3; SOC.7.SS.7.C.3.4; SOC.7.SS.7.C.3.5; SOC.7.SS.7.C.3.8
7338033836,Unit 3 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,18,18,0,f,SOC.7.SS.7.C.3.1; SOC.7.SS.7.C.3.11; SOC.7.SS.7.C.3.13; SOC.7.SS.7.C.3.14; SOC.7.SS.7.C.3.4; SOC.7.SS.7.C.3.9
7338033893,Unit 4 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,19,19,0,f,SOC.7.SS.7.C.2.10; SOC.7.SS.7.C.2.11; SOC.7.SS.7.C.2.3; SOC.7.SS.7.C.2.5; SOC.7.SS.7.C.2.8; SOC.7.SS.7.C.3.8; SS.7.E.1.1; SS.7.E.2.1; SS.7.E.2.3; SS.7.E.2.5
7338033968,Unit 5 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,18,18,0,f,SOC.7.SS.7.C.2.10; SOC.7.SS.7.C.2.13; SOC.7.SS.7.C.2.3; SOC.7.SS.7.C.3.10; SOC.7.SS.7.C.3.11; SOC.7.SS.7.C.3.14; SOC.7.SS.7.C.3.6; SOC.7.SS.7.C.3.8; SOC.7.SS.7.C.4.2; SS.7.E.1.1; SS.7.E.1.5; SS.7.E.3.4; SS.7.G.2.3; SS.7.G.2.4
7338034026,Unit 6 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,17,17,0,f,SOC.7.SS.7.C.3.1; SS.7.E.1.1; SS.7.E.1.2; SS.7.E.1.3; SS.7.E.1.4; SS.7.E.1.5; SS.7.E.2.1; SS.7.E.2.2; SS.7.E.2.3; SS.7.E.2.4; SS.7.E.2.5; SS.7.E.3.3; SS.7.G.2.3
7338034079,Unit 7 Test,Grade 8,Civics,2nd Period,Benjamin Hitzig,17,17,0,f,SOC.7.SS.7.C.3.1; SOC.7.SS.7.C.3.8; SOC.7.SS.7.C.4.1; SOC.7.SS.7.C.4.2; SOC.7.SS.7.C.4.3; SS.7.E.3.2
7338036274,Assessment 1,Grade 8,Civics,2nd Period,Benjamin Hitzig,17,17,0,f,SOC.7.SS.7.C.1.1; SOC.7.SS.7.C.1.2; SOC.7.SS.7.C.1.3; SOC.7.SS.7.C.1.4; SOC.7.SS.7.C.1.5; SOC.7.SS.7.C.1.6; SOC.7.SS.7.C.1.7; SOC.7.SS.7.C.1.8; SOC.7.SS.7.C.1.9; SOC.7.SS.7.C.2.1; SOC.7.SS.7.C.2.10; SOC.7.SS.7.C.2.11; SOC.7.SS.7.C.2.12; SOC.7.SS.7.C.2.13; SOC.7.SS.7.C.2.2; SOC.7.SS.7.C.2.3; SOC.7.SS.7.C.2.4; SOC.7.SS.7.C.2.5; SOC.7.SS.7.C.2.8; SOC.7.SS.7.C.2.9; SOC.7.SS.7.C.3.1; SOC.7.SS.7.C.3.10; SOC.7.SS.7.C.3.11; SOC.7.SS.7.C.3.12; SOC.7.SS.7.C.3.13; SOC.7.SS.7.C.3.14; SOC.7.SS.7.C.3.2; SOC.7.SS.7.C.3.3; SOC.7.SS.7.C.3.4; SOC.7.SS.7.C.3.5; SOC.7.SS.7.C.3.6; SOC.7.SS.7.C.3.7; SOC.7.SS.7.C.3.8; SOC.7.SS.7.C.3.9; SOC.7.SS.7.C.4.1; SOC.7.SS.7.C.4.2; SOC.7.SS.7.C.4.3
7338178121,The Flight of Icarus Selection Test,Grade 7,ELA,3rd Period,Nicole Swidarski,30,30,0,f,ELA.8.V.1.2
7892346390,"Better Than Words: Say It With a Selfie / OMG, Not Another Selfie! Selection Test",Grade 6,ELA,2nd Period,Nicole Swidarski,39,39,0,f,ELA.10.V.1.3
