subject_id,subject,dim_item_id,dim_item_name,fact_item_id,fact_item_name,fact_rows,n_students,dim_item_status
a8c3fee94e659e198fe51d9e4f615f622262046b430928d7c39c9eb54632ac54,HS Alegra II,8286339438,Topic 4,8286339438,Topic 4,172,8,ok
24c20ffcedd25a8fa6bf8a4cbadfa6a1f1b13a18c8bdbe930bcdab65efc901d3,HS Alegra II,8259495227,Topic 3,8259495227,Topic 3,273,8,ok
7a4f2f69c08fbcea208a0fbd25059734ecc52c8e2b3501cc86fc3a22011d843d,HS Alegra II,8330395855,Topic 5,8330395855,Topic 5,218,8,ok
90c4064c180bc4faede5d6f64850c789115753144446b83cb2649c18ff45c5c3,HS Alegra II,8089937013,Topic 2,8089937013,Topic 2,238,8,ok
38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,HS Algebra I,,,8362776921,Topic 8,33,1,DIM_GAP_PHANTOM (GBA-3 remnant)
a8a509667acfd30224758a2a1b48c90dcc0b730a00984e76c187ad3b7f72c7ca,HS Economics,8362777143,Topic 5,8362777143,Topic 5,396,9,ok
e9fc16be01cfe001f5df4d28cec8106f90e743429cc85d1bf55f629fd0084100,HS Economics,8057835840,Topic 1,8057835840,Topic 1,447,9,ok
40d692f5ea05518c79d953e6d210b2429f4e5f3d273621c46758e85ab88e6b8c,HS Economics,8291223663,Topic 3,8291223663,Topic 3,432,9,ok
91999fd522b2c6ce19737028d8a8bafcffc847ac6f56bcf02be712fe1da2685b,HS Economics,8369992661,Topic 6,8369992661,Topic 6,328,8,ok
a99579bb990cad4e8c4de7d2dd298e867b5039fb6e5afc602741324169492b28,HS Economics,8261346599,Topic 2,8261346599,Topic 2,351,9,ok
d6d27e3c5d8ceea05a553b84554421b1aaa020ba51ef6820d937604fcec8ec03,HS Economics,8334685138,Topic 4,8334685138,Topic 4,342,9,ok
00e5554ac6652a64a4556c897c33c40082537096bf35e78d0ea2e6079e506dec,HS Honors Algebra I,8216302399,Topic 3 Assessment A,8216302399,Topic 3 Assessment A,72,3,ok
ba6867d75d18aaa93ef7acbdd9f0e21f597547e04bdde374b3f87b4fdb135735,HS Honors Algebra I,8335566941,Topic 5,8335566941,Topic 5,48,2,ok
854955d28935622c2f7cef41ce7c6c57ae92f8d82e65f848971bde19e8f34699,HS Honors Algebra II,8332051196,Topic 4,8332051196,Topic 4,64,3,ok
dd1940b8568cb06de1a4087e3faf953a517015108a985e196fb38936d526da5c,HS Honors Algebra II,8259446640,Topic 3,8259446640,Topic 3,97,3,ok
54d5f805ac63a084634ab88913b8fc3a5e80915fb59fada31bc8d1f11852dd61,HS Honors English II,8339413167,Unit 3 Part 1,8339413167,Unit 3 Part 1,231,7,ok
4304dcaf0cae87456d1c6c5dc1c6a575dd91d81bf045b4434e8307ff325d616b,HS Honors English II,8162249855,Mid-Year Test,8162249855,Mid-Year Test,322,7,ok
fc3f9fbc19f7d8742a885051ced519b497149a1c50276f6fac2f4a5d3c9322dd,HS Honors English II,8339413189,Unit 3 Part 2,8339413189,Unit 3 Part 2,35,7,ok
6f7ea6e9d092b7f162bfdd1fc1e42a3f873f12a6fb7666ce0f995dcdd8a3833d,HS Honors English III,8195472186,Unit 2 Part 2,8195472186,Unit 2 Part 2,15,3,ok
77f790acd10ff876f8fd889743c55b606dbabe9d3f9c7cb8caf222eb6d2b5ede,HS Honors English III,8162251651,Mid year test,8162251651,Mid year test,132,3,ok
e303de8baeb5f33823a62a5cd02ca36ddda6fa4988b01e30a09a20847382c3e4,HS Honors English III,8281483482,Unit 3 Part 1,8281483482,Unit 3 Part 1,75,3,ok
3a71b6e391b9d76043390af4002fdc2ea329bc167288ded2ab1d8084c3c6f2cd,HS Honors English III,8281483542,Unit 3 Part 2,8281483542,Unit 3 Part 2,15,3,ok
82a1a7dca0d38dbd08455470af8b3d66fc125fdab5524ea24475efb716845da3,HS Honors English III,8195472161,Unit 2 Part 1,8195472161,Unit 2 Part 1,72,3,ok
d4153bfab5af7d4cd6368efd589768d2bcc99294d14a3de99ca4aa40465bc96f,HS Honors English IV,8199772510,Unit 2 Part 2,8199772510,Unit 2 Part 2,30,6,ok
0729af597047bfa6f6a536208d5e49a9ae75ab9cf65bf9585039be45fbc1ee33,HS Honors English IV,8288325295,Unit 3 Part 1,8288325295,Unit 3 Part 1,150,6,ok
70600c05e78bfa9902eb8b83e933625aea93c40aa7a6bda79a6dfdfe8f02f6cd,HS Honors English IV,8199772451,Unit 2 Pat 1,8199772451,Unit 2 Pat 1,144,6,ok
be7314e87308cdb368510b111e3677ccc4d69ded88d615f0f0f1dbae81041560,HS Honors English IV,8162253672,Mid-Year Test,8162253672,Mid-Year Test,270,6,ok
ef9c6175e3474e9d233ef4e1a20ecc5ff90e8ecf07e75c3b242c11447e56ecfb,HS Honors English IV,8289910571,Unit 3 Part 2,8289910571,Unit 3 Part 2,36,6,ok
3c153bc1cb1fe580167fc69c6c119c40cf4fbb9914b1050a4f57b0497fbe09b1,HS Physics,7961332573,Investigation Assessment 1: Modeling Motion,7961332573,Investigation Assessment 1: Modeling Motion,320,15,ok
ab3d6c94c79b71e383ed2423d1b530af9f164006f78a42bd0bb342c065d85bb8,HS Physics,8203499258,Investigation Assessment 2: Forces,8203499258,Investigation Assessment 2: Forces,242,15,ok
14560d73f073df6a9d30b152ed5d06dfdf0efa4bdddcdbb6e8a12730b15ea864,HS Physics,8283875834,Investigation 4: Electric Forces,8283875834,Investigation 4: Electric Forces,1065,15,ok
8270994f9c802027e9a8b539a2cef2dd790f0bf026ba257636fd6beea4865bba,HS Physics,8331872167,Investigation 7: Energy,8331872167,Investigation 7: Energy,1170,15,ok
599757e3b90b39d85c33e315ed4d59d2653c0296d56e13b364c7beddeaad77f3,HS Physics,8249955742,Investigation Assessments 3: Gravitational Forces,8249955742,Investigation Assessments 3: Gravitational Forces,975,15,ok
d9ebcb6eef84077fddfb7c57c9d9198c000acfda38d8fc8def7ab426af9da354,HS United States History,8326850838,Topic 7: World War II,8326850838,Topic 7: World War II,561,17,ok
c3e4e07f28e161b43fffe36d6b817427952847798159975d811732dcf00dc397,HS United States History,8247281686,Topic 5: World War I and the 1920s,8247281686,Topic 5: World War I and the 1920s,895,17,ok
168b1b07349b244fb1757d5b993f06cb8ac00426d850ad71fc0b493e81702703,HS United States History,8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),578,17,ok
680f777c0b3bee0253d4e750d8431cb1d2b52eb878af95d7a9b7d3a259ef5e8e,HS United States History,8371766709,Topic 10: The Vietnam War Era (1954–1975),8371766709,Topic 10: The Vietnam War Era (1954–1975),663,17,ok
76d955b94c731e068de34c1142f69174a97def235928941df7ef289f06ae5c73,HS United States History,8273780092,Topic 6: The Great Depression and the New Deal (1928-1941),8273780092,Topic 6: The Great Depression and the New Deal (1928-1941),561,17,ok
fc0e7459cc88c97c46164a521b2e5f4b2856f5769c944f85f58d0ef58536a6df,HS United States History,8347031150,Topic 8: Postwar America (1945?1960),8347031150,Topic 8: Postwar America (1945?1960),527,17,ok
77e3ae812d959238cecdfca46afc9451dc5c6da69c999b64f6e1bd0259040585,HS World History,8228272353,Topic 5: The Renaissance and Reformation (1300?1650),8228272353,Topic 5: The Renaissance and Reformation (1300?1650),325,13,ok
b59930fd70cb1ae1726d2f5d4a9912b877ab4ede55adab2c83a5d33dc48fc170,HS World History,8273818985,Topic 6: New Global Connections (1415?1796),8273818985,Topic 6: New Global Connections (1415?1796),325,13,ok
729fc31fa051a8e0945f65f76480e1841bca285c70a3133e9397584334ecd279,HS World History,8373837481,Topic 10: The Age of Imperialism (1800–1914),8373837481,Topic 10: The Age of Imperialism (1800–1914),240,10,ok
4bf8e207443b35f802960d7d307eb30a7c6545512d12509b1335ad1f61f58a5b,HS World History,8326852201,Topic 7: Absolutism and Revolution,8326852201,Topic 7: Absolutism and Revolution,495,13,ok
fe8b89bb3e76e4b44b18b4878a2932f0f066acf1aacfb011c1fa896cbc5905b2,HS World History,8369994919,Topic 9: Nationalism and the Spread of Democracy (1790–1914),8369994919,Topic 9: Nationalism and the Spread of Democracy (1790–1914),325,13,ok
fa69c0dee325b469525355f0101a5ad2845fc14d0029632087496df545eefaee,HS World History,8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),307,13,ok
a9823504ba12c3d3a35577304948effbe275277484f68395998e1030ef747b09,HS World History,8341726127,Topic 8: The Industrial Revolution (1750?1914),8341726127,Topic 8: The Industrial Revolution (1750?1914),299,13,ok
