school_id,item_id,item_name,pruned_grade,pruned_subject,stg_students,kept,students_surviving_in_fact_this_item,fact_labels_for_item
019eb11c-410a-7ffb-86e6-a0294c669670,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",Grade K,ELA,18,0,19,Grade 1/ELA
019eb11c-410a-7ffb-86e6-a0294c669670,7337899755,Happy Healthy Me: Weekly Assessment: Week 1,Grade K,ELA,19,0,19,Grade 1/ELA
019eb11c-410a-7ffb-86e6-a0294c669670,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,Grade K,ELA,18,0,19,Grade 1/ELA
019eb11c-410a-7ffb-86e6-a0294c669670,7338033968,Unit 5 Test,Grade 5,ELA,17,0,18,Grade 8/Civics
019eb11c-410a-7ffb-86e6-a0294c669670,7702555934,Chapter 18,Grade 5,Math,18,0,20,Grade 5/Math
019eb11c-410a-7ffb-86e6-a0294c669670,7702561239,Chapter 18,Grade K,Math,18,0,19,Grade K/Math
019eb11c-410a-7ffb-86e6-a0294c669670,7708642601,Chapter 6 Test,Grade K,ELA,7,0,18,Grade 8/Algebra
019eb11c-410a-7ffb-86e6-a0294c669670,7789640645,Chapter 16 Temperature and Time,Grade 3,Math,19,0,21,Grade 4/Math
019eb11c-410a-7ffb-86e6-a0294c669670,7892346412,Through an Animal?s Eyes Unit Test,Grade 6,ELA,38,0,39,Grade 8/ELA
019eb11c-410a-7ffb-86e6-a0294c669670,8359960427,Chapter 9 Test,Grade 6,ELA,25,0,27,Grade 8/Algebra
019eb11c-413b-7a66-a7d8-a18f14736ede,7891742813,Unit 8 Test: Forces and Motion,Grade 2,Science,15,0,17,Grade 2/Science
019eb11c-413b-7a66-a7d8-a18f14736ede,7891846801,Unit 7 Benchmark Test: Working With Electricity,Grade 5,Science,18,0,19,Grade 5/Science
019eb11c-413b-7a66-a7d8-a18f14736ede,7997342490,Unit 7 Benchmark Test: Working With Electricity,Grade 1,Science,20,1,20,Grade 5/Science
019eb11c-413b-7a66-a7d8-a18f14736ede,7997342490,Unit 7 Benchmark Test: Working With Electricity,Grade 5,Science,20,19,20,Grade 5/Science
019eb11c-413b-7a66-a7d8-a18f14736ede,8216302399,Topic 3 Assessment A,Grade 1,HS Honors Algebra I,2,0,3,Higher-Ed/HS Honors Algebra I
019eb11c-413b-7a66-a7d8-a18f14736ede,8362776921,Topic 8,Higher-Ed,HS Algebra I,13,1,17,Higher-Ed/HS Algebra I; Regular 9–12/HS Algebra I
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7935427775,Chapter 17 Test: Classify Two-Dimensional Quadrilaterals and Identify Line Symmetry,Grade 2,Reading,13,0,13,Grade 3/Math
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8235331733,Make a Difference: Weekly Assessment: Week 2,Grade 2,Reading,12,0,14,Grade 3/Reading
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8358079682,Chapter 16 Test: Fraction Concepts,Grade 3,Reading,16,0,16,Grade 2/Math
