school,item_id,item_name,subject,grade,assessment_type,stg_students,kept_students,stg_rows,kept_rows,effect
Athenian Academy of Technology and the Arts,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",ELA,Grade K,Lesson  Assessments,18,0,396,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7337899755,Happy Healthy Me: Weekly Assessment: Week 1,ELA,Grade K,Lesson  Assessments,19,0,342,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade K,Assessments,18,0,324,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7338033968,Unit 5 Test,ELA,Grade 5,Lesson  Assessments,17,0,1156,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7702555934,Chapter 18,Math,Grade 5,Lesson  Assessments,18,0,838,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7702561239,Chapter 18,Math,Grade K,Lesson  Assessments,18,0,342,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,ELA,Grade K,Lesson  Assessments,7,0,147,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,ELA,Grade 3,Assessments,19,0,456,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,7892346412,Through an Animal?s Eyes Unit Test,ELA,Grade 6,Lesson  Assessments,38,0,2090,0,FULLY_PRUNED
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,ELA,Grade 6,Lesson  Assessments,25,0,972,0,FULLY_PRUNED
Central Florida Preparatory School,7891742813,Unit 8 Test: Forces and Motion,Science,Grade 2,Summative,15,0,150,0,FULLY_PRUNED
Central Florida Preparatory School,7891846801,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,Summative,18,0,360,0,FULLY_PRUNED
Central Florida Preparatory School,7997342490,Unit 7 Benchmark Test: Working With Electricity,ELA,Grade 1,Summative,20,1,392,20,FRAGMENT
Central Florida Preparatory School,7997342490,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,Summative,20,19,1464,372,FRAGMENT
Central Florida Preparatory School,8216302399,Topic 3 Assessment A,HS Honors Algebra I,Grade 1,Summative,2,0,42,0,FULLY_PRUNED
Central Florida Preparatory School,8362776921,Topic 8,HS Algebra I,Higher-Ed,topic,13,1,387,33,FRAGMENT
Crestwell School,7935427775,Chapter 17 Test: Classify Two-Dimensional Quadrilaterals and Identify Line Symmetry,Reading,Grade 2,Summative,13,0,240,0,FULLY_PRUNED
Crestwell School,8235331733,Make a Difference: Weekly Assessment: Week 2,Reading,Grade 2,Summative,12,0,144,0,FULLY_PRUNED
Crestwell School,8358079682,Chapter 16 Test: Fraction Concepts,Reading,Grade 3,Summative,16,0,285,0,FULLY_PRUNED
