school,item_id,item_name,subject,grade,stg_students,kept_students,students_lost,pattern
Athenian,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",ELA,Grade K,18,0,18,fully_pruned
Athenian,7337899755,Happy Healthy Me: Weekly Assessment: Week 1,ELA,Grade K,19,0,19,fully_pruned
Athenian,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade K,18,0,18,fully_pruned
Athenian,7338033968,Unit 5 Test,ELA,Grade 5,17,0,17,fully_pruned
Athenian,7702555934,Chapter 18,Math,Grade 5,18,0,18,fully_pruned
Athenian,7702561239,Chapter 18,Math,Grade K,18,0,18,fully_pruned
Athenian,7708642601,Chapter 6 Test,ELA,Grade K,7,0,7,fully_pruned
Athenian,7789640645,Chapter 16 Temperature and Time,ELA,Grade 3,19,0,19,fully_pruned
Athenian,7892346412,Through an Animal?s Eyes Unit Test,ELA,Grade 6,38,0,38,fully_pruned
Athenian,8359960427,Chapter 9 Test,ELA,Grade 6,25,0,25,fully_pruned
CFP,7997342490,Unit 7 Benchmark Test: Working With Electricity,ELA,Grade 1,20,1,19,fragment
CFP,7997342490,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,20,19,1,fragment
CFP,8362776921,Topic 8,HS Algebra I,Higher-Ed,13,1,12,fragment
CFP,7891742813,Unit 8 Test: Forces and Motion,Science,Grade 2,15,0,15,fully_pruned
CFP,7891846801,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,18,0,18,fully_pruned
CFP,8216302399,Topic 3 Assessment A,HS Honors Algebra I,Grade 1,2,0,2,fully_pruned
Crestwell,7935427775,Chapter 17 Test: Classify Two-Dimensional Quadrilaterals and Identify Line Symmetry,Reading,Grade 2,13,0,13,fully_pruned
Crestwell,8235331733,Make a Difference: Weekly Assessment: Week 2,Reading,Grade 2,12,0,12,fully_pruned
Crestwell,8358079682,Chapter 16 Test: Fraction Concepts,Reading,Grade 3,16,0,16,fully_pruned
