school_name,item_id,item_name,dim_subject,dim_asmt_type,dim_grade,dim_session,fact_subject,fact_asmt_type,fact_grade,fact_session,dom_fact_rows,dim_bucket_fact_rows,classification
Athenian Academy of Technology and the Arts,7334633906,"Now You See It, Now You Don't: Weekly Assessment: Week 1",ELA,Lesson  Assessments,Grade 1,2024-25,ELA,Assessments,Grade 1,2024-25,342,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,ELA,Lesson  Assessments,Grade 2,2024-25,ELA,Assessments,Grade 2,2024-25,342,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7334740354,Teamwork: Weekly Assessment: Week 1,ELA,Assessments,Grade 3,2024-25,ELA,Lesson  Assessments,Grade 3,2024-25,300,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7334764745,Art Everywhere: Weekly Assessment: Week 1,ELA,Assessments,Grade 4,2024-25,ELA,Lesson  Assessments,Grade 4,2024-25,374,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7337889366,Project Earth: Weekly Assessment: Week 1,ELA,Assessments,Grade 5,2024-25,ELA,Lesson  Assessments,Grade 5,2024-25,324,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Lesson  Assessments,Grade K,2024-25,ELA,Assessments,Grade K,2024-25,394,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,Science,Assessments,Grade 1,2024-25,Science,Lesson  Assessments,Grade 1,2024-25,209,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7338394693,Unit 4 Benchmark Test: Weather,Science,Unit-Chap  Assessments,Grade 2,2024-25,Science,Lesson  Assessments,Grade 2,2024-25,342,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7338394737,Unit 9 Benchmark Test: The Human Body,Science,Assessments,Grade 2,2024-25,Science,Lesson  Assessments,Grade 2,2024-25,280,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7496090393,Chapter 11,Math,Assessments,Grade 3,2024-25,Math,Lesson  Assessments,Grade 3,2024-25,505,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7594902377,Chapter 12,Math,Assessments,Grade 5,2024-25,Math,Lesson  Assessments,Grade 5,2024-25,656,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7661450418,Chapter 9,Math,Assessments,Grade 1,2024-25,Math,Lesson  Assessments,Grade 1,2024-25,425,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7661454577,Chapter 9,Math,Lesson  Assessments,Grade 2,2024-25,Math,Assessments,Grade 2,2024-25,627,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7687967795,M5W1 Vocab quiz,ELA,Assessments,Grade 5,2024-25,ELA,Lesson  Assessments,Grade 5,2024-25,152,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7789275406,M7W2 vocab quiz,ELA,Assessments,Grade 5,2024-25,ELA,Lesson  Assessments,Grade 5,2024-25,198,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7789352689,Tricksters and Tall Tales: Weekly Assessment: Week 2,ELA,Assessments,Grade 4,2024-25,ELA,Lesson  Assessments,Grade 4,2024-25,420,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7789371643,"Above, Below, and Beyond: Weekly Assessment: Week 2",ELA,Assessments,Grade 5,2024-25,ELA,Lesson  Assessments,Grade 5,2024-25,378,0,ORPHANED_ZERO_FACT
