school,item_id,item_name,dim_subject,dim_asmt_type,dim_grade,fact_subject,fact_asmt_type,fact_grade,fact_rows_under_dim_bucket,fact_rows_under_fact_bucket,dim_items_under_fact_bucket,symptom
Athenian Academy of Technology and the Arts,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,ELA,Lesson  Assessments,Grade 2,ELA,Assessments,Grade 2,0,342,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words - 10/21/24,ELA,Unit-Chap  Assessments,Grade 3,ELA,Lesson  Assessments,Grade 3,46,414,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7334740354,Teamwork: Weekly Assessment: Week 1,ELA,Assessments,Grade 3,ELA,Lesson  Assessments,Grade 3,0,300,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7334764745,Art Everywhere: Weekly Assessment: Week 1,ELA,Assessments,Grade 4,ELA,Lesson  Assessments,Grade 4,0,374,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7337889366,Project Earth: Weekly Assessment: Week 1,ELA,Assessments,Grade 5,ELA,Lesson  Assessments,Grade 5,0,324,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Lesson  Assessments,Grade K,ELA,Assessments,Grade K,0,394,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Unit-Chap  Assessments,Grade 1,Science,Lesson  Assessments,Grade 1,13,208,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Unit-Chap  Assessments,Grade 1,Science,Lesson  Assessments,Grade 1,10,170,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,Science,Assessments,Grade 1,Science,Lesson  Assessments,Grade 1,0,209,0,EMPTY_REPORT
Athenian Academy of Technology and the Arts,7338394693,Unit 4 Benchmark Test: Weather,Science,Unit-Chap  Assessments,Grade 2,Science,Lesson  Assessments,Grade 2,0,342,0,EMPTY_REPORT
