school_id,item_id,item_name,subject,grade,session,assessment_type,n_rows,n_students,graded_rows,pts_gt0_rows,min_attempt,max_attempt,has_graded_twin_same_assessment,max_named_graded_overlap
019eb11c-410a-7ffb-86e6-a0294c669670,7802004830,7.1 Grammar Review,ELA,Grade 1,2024-25,Lesson  Assessments,55,7,0,36,2025-04-14,2025-04-14,t,0
019eb11c-410a-7ffb-86e6-a0294c669670,7976307449,Module 2 Test,Math,Grade 6,2025-26,Lesson  Assessments,551,19,0,398,2025-09-10,2025-09-10,t,19
019eb11c-410a-7ffb-86e6-a0294c669670,7635112537,Unit 9 Lesson 3 Braincheck,Science,Grade 1,2024-25,Unit-Chap  Assessments,85,17,0,16,2024-12-16,2024-12-16,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8376292825,A New Home: Weekly Assessment: Mod 8 Week 2,ELA,Grade 5,2025-26,Summative,153,17,0,91,2026-05-07,2026-05-07,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8244209611,Art Everywhere: Mod 5 Weekly Assessment Week 1,ELA,Grade 4,2025-26,Summative,110,10,0,68,2026-02-10,2026-02-23,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8244209591,Art Everywhere: Mod 5 Weekly Assessment Week 1,ELA,Grade 4,2025-26,Summative,121,11,0,81,2026-02-11,2026-02-11,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8224228068,Heroic Feats: Module 4 Assessment,ELA,Grade 4,2025-26,Summative,343,12,0,175,2026-01-29,2026-02-02,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8201011025,Heroic Feats: Weekly Assessment: Module 4 Week 2,ELA,Grade 4,2025-26,Summative,10,1,0,4,2026-01-25,2026-01-25,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8088499478,Module 2 Assessment: Come to Your Senses,ELA,Grade 4,2025-26,Summative,30,1,0,11,2025-10-20,2025-10-20,t,1
019eb11c-413b-7a66-a7d8-a18f14736ede,8246154797,Once Upon a Time: Module 4 Assessment,ELA,Grade 2,2025-26,Summative,308,14,0,186,2026-02-09,2026-02-09,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,7963937401,Unit 1 Part 2,ELA,Grade 7,2025-26,Unit,75,15,0,30,2025-10-07,2025-10-07,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,7963936207,Unit 1 Part 2,ELA,Grade 6,2025-26,Unit,103,17,0,40,2025-10-07,2025-10-10,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,7963934904,Unit 1 Part 2,ELA,Grade 6,2025-26,Unit,87,16,0,36,2025-10-07,2025-10-07,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,7963936947,Unit 1 Part 2,ELA,Grade 7,2025-26,Unit,83,15,0,30,2025-10-07,2025-12-05,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8199631447,Unit 2 Part 2,ELA,Grade 8,2025-26,Unit,53,10,0,37,2026-01-26,2026-01-26,t,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8102310167,Unit 2 Part 2,ELA,Grade 6,2025-26,Unit,55,9,0,25,2026-01-26,2026-02-06,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8257130451,Unit 3 Part 2,ELA,Grade 7,2025-26,Unit,45,9,0,22,2026-02-13,2026-02-24,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8257124994,Unit 3 Part 2,ELA,Grade 6,2025-26,Unit,45,9,0,30,2026-02-19,2026-02-26,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8257127873,Unit 3 Part 2,ELA,Grade 7,2025-26,Unit,45,9,0,28,2026-02-18,2026-02-27,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8257123641,Unit 3 Part 2,ELA,Grade 6,2025-26,Unit,40,8,0,20,2026-02-20,2026-02-24,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,7964160840,Unit 1 Part 2,HS English II,Regular 9–12,2025-26,Unit,50,10,0,21,2025-10-02,2025-10-02,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,7964174019,Unit 1 Part 2,HS English III,Regular 9–12,2025-26,Unit,50,10,0,32,2025-10-03,2025-10-06,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8102309497,Unit 2 Part 2,HS English III,Regular 9–12,2025-26,Unit,50,10,0,32,2025-12-11,2025-12-11,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8333544824,Topic 5: Minerals and Rocks in the Geosphere,Science,Grade 6,2025-26,topic,855,16,0,603,2026-04-13,2026-04-13,f,0
019eb11c-413b-7a66-a7d8-a18f14736ede,8333545060,Topic 5: Minerals and Rocks in the Geosphere,Science,Grade 6,2025-26,topic,1188,22,0,837,2026-04-13,2026-04-13,f,0
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8007313272,Chapter 3 Test: Basic Facts,Math,Grade 2,2025-26,Summative,227,13,0,161,2025-09-26,2025-09-26,t,0
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7610639444,Chapter 3 Test: Compare Numbers,Math,Grade 1,2025-26,Summative,27,1,0,0,2025-10-10,2025-10-10,f,0
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8134559640,Chapter 8 Test: Add and Subtract Fractions with Unlike Denominators,Math,Grade 5,2025-26,Summative,58,3,0,35,2025-11-20,2025-11-20,f,0
