school,subject,grade,session,item_name,item_id,fact_students,stg_students_session,n_subject_ids_for_item,category
Athenian Academy of Technology and the Arts,Civics,Grade 8,2024-25,Quarter 3 Quiz #1,7676516420,1,16,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,ELA,Grade 7,2024-25,Inspired by Nature Unit Test,7797146594,1,30,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,History,Grade 7,2024-25,Quarter 4 Quiz 2,7789244025,1,28,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,Math,Grade K,2025-26,Chapter 16 Part 1,8112622324,1,24,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,Math,Grade 1,2024-25,Chapter 14,7661452061,1,18,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,ELA,Grade 3,2024-25,Module Assessment: Use Your Words - 10/21/24,7334739781,2,20,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,Math,Grade K,2024-25,Chapter 12,7687741861,2,19,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,Math,Grade 2,2024-25,Chapter 9,7661455143,2,14,2,pipeline_loss_fragment
Central Florida Preparatory School,ELA,Grade 4,2025-26,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,8159775714,1,18,2,pipeline_loss_fragment
Central Florida Preparatory School,HS Algebra I,Higher-Ed,2025-26,Topic 8,8362776921,1,17,2,pipeline_loss_fragment
Athenian Academy of Technology and the Arts,ELA,Grade 2,2024-25,Module 7 Week 3 Vocabulary Quiz,7445551773,1,1,1,source_faithful
Athenian Academy of Technology and the Arts,ELA,Grade 3,2025-26,Animal Behaviors: Weekly Assessment: Week 2,7892331279,1,1,1,source_faithful
Central Florida Preparatory School,HS Geometry,Regular 9–12,2025-26,Topic 9,8355591256,1,1,1,source_faithful
Central Florida Preparatory School,Math,Grade 6,2025-26,Topic 1,7964041607,1,1,1,source_faithful
Central Florida Preparatory School,HS English II,Regular 9–12,2025-26,Unit 2 Part 1,8154778691,2,2,1,source_faithful
Central Florida Preparatory School,HS Honors Algebra I,Higher-Ed,2025-26,Topic 5,8335566941,2,2,1,source_faithful
Crestwell School,Math,Grade 1,2025-26,Chapter 3 Test: Compare Numbers,7610639444,1,1,1,source_faithful
Crestwell School,Math,Grade 5,2025-26,Chapter 17 Test: Graphs and Patterns,7998804173,1,1,1,source_faithful
Crestwell School,Math,Grade 1,2025-26,Chapter 1 Test: Counting and Number Sense,7610639442,1,1,1,source_faithful
