school_name,direction,item_id,item_name,question_id,in_stg_submission,in_stg_question_data,null_cube_rows
Athenian Academy of Technology and the Arts,fact_only,7338034079,Unit 7 Test,2018669127,12,0,1
Athenian Academy of Technology and the Arts,fact_only,7338323403,Unit: 3 Civilization in India and China,2018710339,29,0,1
Athenian Academy of Technology and the Arts,fact_only,7622185498,M4W2 Vocabulary Quiz,2087541684,180,0,9
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934373,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934374,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934375,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934376,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934377,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934378,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934379,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7627000905,Comparing Numbers Review HW,2088934380,18,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691978,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691979,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691980,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691981,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691982,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691983,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7629339742,Plant Needs 'Genius Challenge',2089691984,19,0,1
Athenian Academy of Technology and the Arts,fact_only,7669808106,Chapter 5 Test,2104518886,55,0,1
Athenian Academy of Technology and the Arts,fact_only,7892348517,What is the Horror Genre? Selection Test,2156294102,23,0,1
Athenian Academy of Technology and the Arts,fact_only,7892360959,Unit: 3 Civilization in India and China,2156299043,34,0,1
Athenian Academy of Technology and the Arts,fact_only,7892360959,Unit: 3 Civilization in India and China,2156299046,17,0,1
Athenian Academy of Technology and the Arts,fact_only,7893463050,Module 2 Test,2156469249,18,0,1
Athenian Academy of Technology and the Arts,fact_only,8029075718,Module 2 Test,2192554434,19,0,1
Central Florida Preparatory School,fact_only,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,2130974738,11,0,1
Central Florida Preparatory School,fact_only,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,2130974739,11,0,1
Central Florida Preparatory School,fact_only,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,2130974740,11,0,1
Crestwell School,dqd_only,7928764338,Chapter 16 Test: Fraction Concepts,2268997390,0,24,0
Crestwell School,dqd_only,7928764338,Chapter 16 Test: Fraction Concepts,2269005681,0,12,0
Crestwell School,dqd_only,7928764338,Chapter 16 Test: Fraction Concepts,2269064951,0,8,0
Crestwell School,dqd_only,7928764338,Chapter 16 Test: Fraction Concepts,2269066641,0,8,0
Crestwell School,fact_only,7928764338,Chapter 16 Test: Fraction Concepts,2163455509,12,0,1
Crestwell School,fact_only,7928764338,Chapter 16 Test: Fraction Concepts,2163455513,12,0,1
Crestwell School,fact_only,7935427513,Chapter 16 Test: Define Two-Dimensional Shapes,2165638292,39,0,1
Crestwell School,fact_only,7935427513,Chapter 16 Test: Define Two-Dimensional Shapes,2165638298,39,0,1
Crestwell School,fact_only,8029128083,Module Assessment: Nice to Meet You!,2192566426,1,0,1
Crestwell School,fact_only,8261137849,Module Assessment: I Can Do It!,2250303162,10,0,1
