school_name,item_id,item_name,question_no,question_id,section,assessment_type,students_scored,qtext
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,2,2109253459,Sec 3,Lesson  Assessments,19, Greg drew a shape on dot paper. <http://app.schoology.com/s
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,2,2109253460,Sec 1,Assessments,19, Brady is placing square tiles on the floor of the kitchen. 
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,4,2109253461,Sec 3,Lesson  Assessments,19, Each unit square of this figure is 1 square foot. <http://a
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,4,2109253466,Sec 1,Assessments,19, Jeremy is knitting a rectangular blanket. The table shows h
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,5,2109253462,Sec 3,Lesson  Assessments,19, Simon draws a sketch of the floor of his tree house on grid
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,5,2109253467,Sec 1,Assessments,19, Lucinda drew a rectangle with a length of 5 inches and a wi
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,7,2109253464,Sec 3,Lesson  Assessments,19," Ms. Rodriguez, Mr. Wilson, and Ms. Schuster have rectangula"
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,7,2109253469,Sec 1,Assessments,19,The drawing shows Seth?s plan for a fort in his backyard. Ea
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,8,2109253465,Sec 3,Lesson  Assessments,19, This large rectangle was made by putting two small rectangl
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,8,2109253470,Sec 1,Assessments,19,The diagram shows the toddler play area at the water park. W
Athenian Academy of Technology and the Arts,7802005513,7.2 Grammar Review,4,2135910687,Sec 3,Lesson  Assessments,7,Type WE or THEY to take the place of each underlined subject
Athenian Academy of Technology and the Arts,7802005513,7.2 Grammar Review,4,2135910689,Sec 3,Lesson  Assessments,7,Choose the pronoun that can take the place of the underlined
Athenian Academy of Technology and the Arts,7802005513,7.2 Grammar Review,5,2135910688,Sec 3,Lesson  Assessments,7,Type WE or THEY to take the place of each underlined subject
Athenian Academy of Technology and the Arts,7802005513,7.2 Grammar Review,5,2135910690,Sec 3,Lesson  Assessments,7,Choose the pronoun that can take the place of the underlined
Central Florida Preparatory School,8018791881,Chapter 1 Test: Understand Multiplication and Division of Whole Numbers,2,2190300723,Sec 05 MTH - B,Summative,14," What is  6,736 ×32?  Enter the correct answer in the box. _"
Central Florida Preparatory School,8018791881,Chapter 1 Test: Understand Multiplication and Division of Whole Numbers,2,2190300725,Sec 05 MTH - B,Summative,14, What is the BEST estimate for 811÷37? 
Central Florida Preparatory School,8018791881,Chapter 1 Test: Understand Multiplication and Division of Whole Numbers,3,2190300724,Sec 05 MTH - B,Summative,14," The distance between Kinsey?s house and her school is 1,325"
Central Florida Preparatory School,8018791881,Chapter 1 Test: Understand Multiplication and Division of Whole Numbers,3,2190300726,Sec 05 MTH - B,Summative,14, Denny divides 986 by 26 using partial quotients. What is th
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,7,2265677932,Sec 2,Lesson  Assessments,0,Read the sentence from Passage 2. ?He saw the pickle his fel
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,7,2265677933,Sec 2,Lesson  Assessments,22,"In Passage 2, how does the timeline support information from"
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,10,2265677935,Sec 2,Lesson  Assessments,22,Match each sentence to the correct passage by choosing Passa
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,10,2265677937,Sec 2,Lesson  Assessments,22,Read this sentence from the passage. ?Then off they flew tow
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,16,2265677942,Sec 2,Lesson  Assessments,22,Read this paragraph from the passage. 28          It was the
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,16,2265677943,Sec 2,Lesson  Assessments,22,Match each detail to the correct perspective.
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,17,2265677943,Sec 2,Lesson  Assessments,22,Match each detail to the correct perspective.
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,17,2265677944,Sec 2,Lesson  Assessments,22,Which sentence from the passage supports the theme that it c
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,21,2265677949,Sec 2,Lesson  Assessments,22,How does Passage 1 support the theme of outsmarting others?
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,21,2265677950,Sec 2,Lesson  Assessments,22,"This question has two parts. First, answer Part A. Then, ans"
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,25,2265677953,Sec 2,Lesson  Assessments,22,Which two events in Passage 2 show that Greywhiskers changes
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,25,2265677954,Sec 2,Lesson  Assessments,22,Read this sentence from Passage 2. ?Greywhiskers twitched hi
