school,subject_id,item_name,category,question_no,n_items,n_text_sets,legacy_sorting_qno_values,n_texts_in_cqso,verdict
Athenian Academy of Technology and the Arts,00177777a0e7d64081d079df3f05aa2549c52671b6a32d13b2355dd37d7f04b9,7.2 Grammar Review,parallel_sections_same_date,4,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,00177777a0e7d64081d079df3f05aa2549c52671b6a32d13b2355dd37d7f04b9,7.2 Grammar Review,parallel_sections_same_date,5,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,00177777a0e7d64081d079df3f05aa2549c52671b6a32d13b2355dd37d7f04b9,7.2 Grammar Review,parallel_sections_same_date,6,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,00177777a0e7d64081d079df3f05aa2549c52671b6a32d13b2355dd37d7f04b9,7.2 Grammar Review,parallel_sections_same_date,7,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,6059dfdbbe0158fc4e5d210179330a96840b3a84d2b3a847f000e4978d47c534,Chapter 1,parallel_sections_same_date,1,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,2,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d5048bb81361ec2c2fba404824a765e59ed8e8a19f15f4717da9ebd3b9f1a657,Chapter 10,parallel_sections_same_date,2,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,3,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,4,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,5,3,2,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,6,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
