school,schoology_standard,num_ukeys,missing_ukeys,shipped_pct,correct_pct,understated_pp
Crestwell School,MA.3.NSO.1.4,2,1,151.21,302.41,151.20
Athenian Academy of Technology and the Arts,SOC.6.SS.6.G.1.3,47,38,18.06,94.30,76.24
Crestwell School,MA.3.NSO.1.1,5,4,18.85,94.23,75.38
Athenian Academy of Technology and the Arts,SS.6.G.2.2,44,38,11.73,86.01,74.28
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.2.2,24,19,19.14,91.89,72.75
Athenian Academy of Technology and the Arts,SS.6.C.2.1,42,38,7.20,75.63,68.43
Athenian Academy of Technology and the Arts,SS.7.E.2.2,36,28,19.55,87.96,68.41
Athenian Academy of Technology and the Arts,SS.6.W.2.8,22,19,10.70,78.48,67.78
Crestwell School,MA.4.FR.2.3,4,3,22.50,90.00,67.50
Athenian Academy of Technology and the Arts,SS.6.W.4.3,23,19,14.10,81.09,66.99
Athenian Academy of Technology and the Arts,SS.6.W.1.2,43,38,8.38,72.06,63.68
Athenian Academy of Technology and the Arts,SS.6.W.3.3,46,38,13.28,76.35,63.07
Central Florida Preparatory School,MA.2.GR.1.2,3,2,31.52,94.57,63.05
Central Florida Preparatory School,MA.7.DP.1.4,4,3,20.83,83.33,62.50
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.3.6,44,38,9.85,72.22,62.37
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.1.5,46,38,13.00,74.74,61.74
Athenian Academy of Technology and the Arts,SS.6.W.4.6,26,19,22.63,84.07,61.44
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.4.10,51,38,20.79,81.57,60.78
Athenian Academy of Technology and the Arts,SS.6.W.4.8,24,19,15.97,76.67,60.70
Athenian Academy of Technology and the Arts,SOC.7.SS.7.C.2.13,24,20,12.11,72.67,60.56
Athenian Academy of Technology and the Arts,SS.7.CG.2.4,21,14,30.25,90.76,60.51
Athenian Academy of Technology and the Arts,SOC.7.SS.7.C.2.1,20,14,25.87,86.24,60.37
Athenian Academy of Technology and the Arts,MA.2.FR.1.2,24,16,30.15,90.44,60.29
Crestwell School,MA.5.MAFS.5.NBT.2.7,3,2,30.04,90.12,60.08
Athenian Academy of Technology and the Arts,SS.6.W.2.6,25,19,18.91,78.77,59.86
