school,item_id,item_name,subject,orphan_grade,orphan_session,orphan_type,orphan_subject_id,fact_rows_orphan,students_orphan,anchor_subject_id,anchor_type,anchor_grade,anchor_session,anchor_item_name,fact_rows_anchor,anchor_has_school_cube,state
Athenian Academy of Technology and the Arts,7594902377,Chapter 12,Math,Grade 5,2024-25,Lesson  Assessments,a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,656,20,66e910e317cc42a7da6fe50bb65e041d6b5507285d97c31a6997de77c5472ab2,Assessments,Grade 5,2024-25,Chapter 12,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7496090393,Chapter 11,Math,Grade 3,2024-25,Lesson  Assessments,9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,505,20,35e7d027ee48ae212f79190d1093765179e51d1399d7e437a23c9de21803fb51,Assessments,Grade 3,2024-25,Chapter 11,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,Math,Grade 4,2024-25,Lesson  Assessments,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,504,21,73102ff6b925cd3125aaad774f78573109a7507396c811501827f6dea302eb29,Assessments,Grade 4,2024-25,Chapter 16 Temperature and Time,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7661450418,Chapter 9,Math,Grade 1,2024-25,Lesson  Assessments,4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,425,17,8d4ab7d557f51804b63fca947048fabc6daf5cf2f6d5702d34454e22745f66d1,Assessments,Grade 1,2024-25,Chapter 9,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7789352689,Tricksters and Tall Tales: Weekly Assessment: Week 2,ELA,Grade 4,2024-25,Lesson  Assessments,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,420,21,07ae679a2368a5c11ff4042f1eaecb8d3cca5a61ee3f6dec950e4aaa3a2d2ac0,Assessments,Grade 4,2024-25,Tricksters and Tall Tales: Weekly Assessment: Week 2,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words,ELA,Grade 3,2024-25,Lesson  Assessments,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,414,18,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,Unit-Chap  Assessments,Grade 3,2024-25,Module Assessment: Use Your Words - 10/21/24,46,1,split
Athenian Academy of Technology and the Arts,7466000203,Unit 4 Benchmark Test: Day and Night,Science,Grade K,2024-25,Lesson  Assessments,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,400,20,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,Assessments,Grade K,2024-25,Unit 4 Benchmark Test: Day and Night,20,1,split
Athenian Academy of Technology and the Arts,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade K,2024-25,Assessments,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,394,21,db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5,Lesson  Assessments,Grade K,2024-25,Happy Healthy Me: Weekly Assessment: Week 3,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7789371643,"Above, Below, and Beyond: Weekly Assessment: Week 2",ELA,Grade 5,2024-25,Lesson  Assessments,1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,378,18,bbbfbde3e56d53380d2085df402993df261dd757577933b900f52e34dafd5563,Assessments,Grade 5,2024-25,"Above, Below, and Beyond: Weekly Assessment: Week 2",0,0,fully_stranded
Athenian Academy of Technology and the Arts,7334764745,Art Everywhere: Weekly Assessment: Week 1,ELA,Grade 4,2024-25,Lesson  Assessments,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,374,22,c53f62a3f4659c38761fa2187dcf1ca3bc3102ad7bbbe7c457d2401f23b84ec2,Assessments,Grade 4,2024-25,Art Everywhere: Weekly Assessment: Week 1,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,ELA,Grade 2,2024-25,Assessments,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,342,19,849e94ce15dc6c4ec5e84eee29762fd83a6227aa0012581fcb1b37ebe5b45836,Lesson  Assessments,Grade 2,2024-25,Everyone Has a Story: Weekly Assessment: Week 2,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7338394693,Unit 4 Benchmark Test: Weather,Science,Grade 2,2024-25,Lesson  Assessments,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,342,19,b55dc6f59fd505704be5fa1a63c81872244bfc6f9e3635f118fcbeb85d842d35,Unit-Chap  Assessments,Grade 2,2024-25,Unit 4 Benchmark Test: Weather,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7337889366,Project Earth: Weekly Assessment: Week 1,ELA,Grade 5,2024-25,Lesson  Assessments,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,324,18,aea1090d8b5c45186539d2517d835e4d8da91c21729e2d9c878cb94eb8c65920,Assessments,Grade 5,2024-25,Project Earth: Weekly Assessment: Week 1,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7334740354,Teamwork: Weekly Assessment: Week 1,ELA,Grade 3,2024-25,Lesson  Assessments,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,300,20,055ba38dac067db7fd724cb958be10189e3274f9ad60c6e736d56271a40ebbac,Assessments,Grade 3,2024-25,Teamwork: Weekly Assessment: Week 1,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7338394737,Unit 9 Benchmark Test: The Human Body,Science,Grade 2,2024-25,Lesson  Assessments,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,280,20,5f3047f843a172244c403bf721bf28cc9b7f83d4c70956716853e991140b6f7a,Assessments,Grade 2,2024-25,Unit 9 Benchmark Test: The Human Body,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,Science,Grade 1,2024-25,Lesson  Assessments,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,209,19,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3,Assessments,Grade 1,2024-25,Unit 4 Benchmark Test: Earth?s Resources,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Grade 1,2024-25,Lesson  Assessments,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,208,16,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,Unit-Chap  Assessments,Grade 1,2024-25,Unit 8 Benchmark Test: Living Things and  Their Parents,13,1,split
Athenian Academy of Technology and the Arts,7789275406,M7W2 vocab quiz,ELA,Grade 5,2024-25,Lesson  Assessments,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,198,18,7daf35a25c64bbfe4371768bfcdf1b8d02f116c1b7f371a9dda7d9bbfbae0d61,Assessments,Grade 5,2024-25,M7W2 vocab quiz,0,0,fully_stranded
Athenian Academy of Technology and the Arts,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Grade 1,2024-25,Lesson  Assessments,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,170,17,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,Unit-Chap  Assessments,Grade 1,2024-25,Unit 9 Benchmark Test: Plant and Animal Needs,10,1,split
Athenian Academy of Technology and the Arts,7687967795,M5W1 Vocab quiz,ELA,Grade 5,2024-25,Lesson  Assessments,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,152,19,427c7255dafe34868bdc91d832e56d5eeee1397f4797f34e0370705c226468d9,Assessments,Grade 5,2024-25,M5W1 Vocab quiz,0,0,fully_stranded
