school_name,subject_id,subject,grade,session,assessment_type,item_name,fact_rows,students,example_item_id,item_anchored_to_subject_id,has_cube_school_summary,has_assessment_type_twin,has_any_anchored_same_label_twin
Athenian Academy of Technology and the Arts,a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,Math,Grade 5,2024-25,Lesson  Assessments,Chapter 12,656,20,7594902377,66e910e317cc42a7da6fe50bb65e041d6b5507285d97c31a6997de77c5472ab2,t,t,t
Athenian Academy of Technology and the Arts,9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,Math,Grade 3,2024-25,Lesson  Assessments,Chapter 11,505,20,7496090393,35e7d027ee48ae212f79190d1093765179e51d1399d7e437a23c9de21803fb51,t,t,t
Athenian Academy of Technology and the Arts,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,Math,Grade 4,2024-25,Lesson  Assessments,Chapter 16 Temperature and Time,504,21,7789640645,73102ff6b925cd3125aaad774f78573109a7507396c811501827f6dea302eb29,t,t,t
Athenian Academy of Technology and the Arts,4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,Math,Grade 1,2024-25,Lesson  Assessments,Chapter 9,425,17,7661450418,8d4ab7d557f51804b63fca947048fabc6daf5cf2f6d5702d34454e22745f66d1,t,t,t
Athenian Academy of Technology and the Arts,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,ELA,Grade 4,2024-25,Lesson  Assessments,Tricksters and Tall Tales: Weekly Assessment: Week 2,420,21,7789352689,07ae679a2368a5c11ff4042f1eaecb8d3cca5a61ee3f6dec950e4aaa3a2d2ac0,t,t,t
Athenian Academy of Technology and the Arts,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,ELA,Grade 3,2024-25,Lesson  Assessments,Module Assessment: Use Your Words,414,18,7334739781,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,t,t,t
Athenian Academy of Technology and the Arts,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Science,Grade K,2024-25,Lesson  Assessments,Unit 4 Benchmark Test: Day and Night,400,20,7466000203,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,t,t,t
Athenian Academy of Technology and the Arts,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,ELA,Grade K,2024-25,Assessments,Happy Healthy Me: Weekly Assessment: Week 3,394,21,7337899008,db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5,t,t,t
Athenian Academy of Technology and the Arts,1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,ELA,Grade 5,2024-25,Lesson  Assessments,"Above, Below, and Beyond: Weekly Assessment: Week 2",378,18,7789371643,bbbfbde3e56d53380d2085df402993df261dd757577933b900f52e34dafd5563,t,t,t
Athenian Academy of Technology and the Arts,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,ELA,Grade 4,2024-25,Lesson  Assessments,Art Everywhere: Weekly Assessment: Week 1,374,22,7334764745,c53f62a3f4659c38761fa2187dcf1ca3bc3102ad7bbbe7c457d2401f23b84ec2,t,t,t
Athenian Academy of Technology and the Arts,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,ELA,Grade 2,2024-25,Assessments,Everyone Has a Story: Weekly Assessment: Week 2,342,19,7334678220,849e94ce15dc6c4ec5e84eee29762fd83a6227aa0012581fcb1b37ebe5b45836,t,t,t
Athenian Academy of Technology and the Arts,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,Science,Grade 2,2024-25,Lesson  Assessments,Unit 4 Benchmark Test: Weather,342,19,7338394693,b55dc6f59fd505704be5fa1a63c81872244bfc6f9e3635f118fcbeb85d842d35,t,t,t
Athenian Academy of Technology and the Arts,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,ELA,Grade 5,2024-25,Lesson  Assessments,Project Earth: Weekly Assessment: Week 1,324,18,7337889366,aea1090d8b5c45186539d2517d835e4d8da91c21729e2d9c878cb94eb8c65920,t,t,t
Athenian Academy of Technology and the Arts,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,ELA,Grade 3,2024-25,Lesson  Assessments,Teamwork: Weekly Assessment: Week 1,300,20,7334740354,055ba38dac067db7fd724cb958be10189e3274f9ad60c6e736d56271a40ebbac,t,t,t
Athenian Academy of Technology and the Arts,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,Science,Grade 2,2024-25,Lesson  Assessments,Unit 9 Benchmark Test: The Human Body,280,20,7338394737,5f3047f843a172244c403bf721bf28cc9b7f83d4c70956716853e991140b6f7a,t,t,t
Athenian Academy of Technology and the Arts,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,Science,Grade 1,2024-25,Lesson  Assessments,Unit 4 Benchmark Test: Earth?s Resources,209,19,7338364983,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3,t,t,t
Athenian Academy of Technology and the Arts,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Science,Grade 1,2024-25,Lesson  Assessments,Unit 8 Benchmark Test: Living Things and  Their Parents,208,16,7338364921,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,t,t,t
Athenian Academy of Technology and the Arts,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,ELA,Grade 5,2024-25,Lesson  Assessments,M7W2 vocab quiz,198,18,7789275406,7daf35a25c64bbfe4371768bfcdf1b8d02f116c1b7f371a9dda7d9bbfbae0d61,t,t,t
Athenian Academy of Technology and the Arts,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Science,Grade 1,2024-25,Lesson  Assessments,Unit 9 Benchmark Test: Plant and Animal Needs,170,17,7338364925,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,t,t,t
Athenian Academy of Technology and the Arts,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,ELA,Grade 5,2024-25,Lesson  Assessments,M5W1 Vocab quiz,152,19,7687967795,427c7255dafe34868bdc91d832e56d5eeee1397f4797f34e0370705c226468d9,t,t,t
Athenian Academy of Technology and the Arts,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,History,Grade 7,2024-25,Lesson  Assessments,Quarter 4 Quiz 2,135,27,7789244025,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,t,t,t
Athenian Academy of Technology and the Arts,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Civics,Grade 8,2024-25,Assessments,Quarter 3 Quiz #1,75,15,7676516420,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,t,t,t
Athenian Academy of Technology and the Arts,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,ELA,Grade 7,2024-25,Lesson  Assessments,Inspired by Nature Unit Test,52,1,7797146594,9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b,t,t,t
Athenian Academy of Technology and the Arts,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Math,Grade 1,2024-25,Lesson  Assessments,Chapter 14,19,1,7661452061,171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67,t,t,t
Athenian Academy of Technology and the Arts,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Math,Grade K,2024-25,Assessments,Chapter 12,9,2,7687741861,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,t,t,t
Central Florida Preparatory School,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,ELA,Grade 4,2025-26,Summative,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,153,17,8159775714,481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,t,f,f
Central Florida Preparatory School,c0cbd1f806ead81bdaa42ff8f3b59e4b51e1d0397b801aef5b6434b497630928,ELA,Grade 4,2025-26,Summative,M6W1 Weekly Assessment: Marvels of Nature:,119,12,8330846316,ee18f037297159114cde2ded6ef469192d3c73bba286134f1762577b74cf8bfe,t,f,f
Central Florida Preparatory School,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,HS Algebra I,Higher-Ed,2025-26,topic,Topic 8,33,1,8362776921,4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128,t,f,t
Crestwell School,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,Reading,Grade 4,2025-26,Summative,What Makes Us Who We Are?: Weekly Assessment: Week 2,140,15,7929054690,5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56,t,t,t
