school_name,subject_id,subject,grade,session,assessment_type,item_name,students,fact_rows,cube_school_rows,cube_question_rows,dim_item_rows,has_asmttype_twin_with_items,twin_assessment_types
Athenian Academy of Technology and the Arts,a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,Math,Grade 5,2024-25,Lesson  Assessments,Chapter 12,20,656,2,31,0,t,Assessments
Athenian Academy of Technology and the Arts,9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,Math,Grade 3,2024-25,Lesson  Assessments,Chapter 11,20,505,2,23,0,t,Assessments
Athenian Academy of Technology and the Arts,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,Math,Grade 4,2024-25,Lesson  Assessments,Chapter 16 Temperature and Time,21,504,2,24,0,t,Assessments
Athenian Academy of Technology and the Arts,4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,Math,Grade 1,2024-25,Lesson  Assessments,Chapter 9,17,425,2,25,0,t,Assessments
Athenian Academy of Technology and the Arts,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,ELA,Grade 4,2024-25,Lesson  Assessments,Tricksters and Tall Tales: Weekly Assessment: Week 2,21,420,2,20,0,t,Assessments
Athenian Academy of Technology and the Arts,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,ELA,Grade 3,2024-25,Lesson  Assessments,Module Assessment: Use Your Words,18,414,2,19,0,t,Unit-Chap  Assessments
Athenian Academy of Technology and the Arts,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Science,Grade K,2024-25,Lesson  Assessments,Unit 4 Benchmark Test: Day and Night,20,400,2,20,0,t,Assessments
Athenian Academy of Technology and the Arts,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,ELA,Grade K,2024-25,Assessments,Happy Healthy Me: Weekly Assessment: Week 3,21,394,2,18,0,t,Lesson  Assessments
Athenian Academy of Technology and the Arts,1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,ELA,Grade 5,2024-25,Lesson  Assessments,"Above, Below, and Beyond: Weekly Assessment: Week 2",18,378,2,20,0,t,Assessments
Athenian Academy of Technology and the Arts,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,ELA,Grade 4,2024-25,Lesson  Assessments,Art Everywhere: Weekly Assessment: Week 1,22,374,2,17,0,t,Assessments
Athenian Academy of Technology and the Arts,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,ELA,Grade 2,2024-25,Assessments,Everyone Has a Story: Weekly Assessment: Week 2,19,342,2,18,0,t,Lesson  Assessments
Athenian Academy of Technology and the Arts,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,Science,Grade 2,2024-25,Lesson  Assessments,Unit 4 Benchmark Test: Weather,19,342,2,18,0,t,Unit-Chap  Assessments
Athenian Academy of Technology and the Arts,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,ELA,Grade 5,2024-25,Lesson  Assessments,Project Earth: Weekly Assessment: Week 1,18,324,2,18,0,t,Assessments
Athenian Academy of Technology and the Arts,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,ELA,Grade 3,2024-25,Lesson  Assessments,Teamwork: Weekly Assessment: Week 1,20,300,2,15,0,t,Assessments
Athenian Academy of Technology and the Arts,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,Science,Grade 2,2024-25,Lesson  Assessments,Unit 9 Benchmark Test: The Human Body,20,280,2,14,0,t,Assessments
Athenian Academy of Technology and the Arts,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,Science,Grade 1,2024-25,Lesson  Assessments,Unit 4 Benchmark Test: Earth?s Resources,19,209,2,11,0,t,Assessments
Athenian Academy of Technology and the Arts,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Science,Grade 1,2024-25,Lesson  Assessments,Unit 8 Benchmark Test: Living Things and  Their Parents,16,208,2,13,0,t,Unit-Chap  Assessments
Athenian Academy of Technology and the Arts,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,ELA,Grade 5,2024-25,Lesson  Assessments,M7W2 vocab quiz,18,198,2,11,0,t,Assessments
Athenian Academy of Technology and the Arts,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Science,Grade 1,2024-25,Lesson  Assessments,Unit 9 Benchmark Test: Plant and Animal Needs,17,170,2,9,0,t,Unit-Chap  Assessments
Athenian Academy of Technology and the Arts,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,ELA,Grade 5,2024-25,Lesson  Assessments,M5W1 Vocab quiz,19,152,2,8,0,t,Assessments
Athenian Academy of Technology and the Arts,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,History,Grade 7,2024-25,Lesson  Assessments,Quarter 4 Quiz 2,27,135,2,4,0,t,Assessments
Athenian Academy of Technology and the Arts,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Civics,Grade 8,2024-25,Assessments,Quarter 3 Quiz #1,15,75,2,5,0,t,Lesson  Assessments
Athenian Academy of Technology and the Arts,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,ELA,Grade 7,2024-25,Lesson  Assessments,Inspired by Nature Unit Test,1,52,2,2,0,t,Lesson Assessments
Athenian Academy of Technology and the Arts,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Math,Grade 1,2024-25,Lesson  Assessments,Chapter 14,1,19,2,1,0,t,Assessments
Athenian Academy of Technology and the Arts,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Math,Grade K,2024-25,Assessments,Chapter 12,2,9,2,1,0,t,Lesson  Assessments
