school,schoology_code,pinned_identifier,pinned_standard_new,code_trailing_segment,pinned_matches_code,pinned_description,other_identifier_description,fact_rows,items,students
Athenian Academy of Technology and the Arts,MA.1.GR.1,3bac2b67-8bad-44d5-bb62-d37ecb91f432,3,1,f,Compose and decompose two- and three-dimensional figures. Figures are limited to,"Given a real-world object, identify parts that are modeled by two- and three-dim",1940,12,113
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.3.12,c2a1b207-8bad-43d4-bb62-d37ecb91f432,1,12,f,Analyze the cultural impact the ancient Phoenicians had on the Mediterranean wor,Explain the causes for the growth and longevity of the Roman Empire.,1742,2,67
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.3.13,c2a1b207-8bad-43d4-bb62-d37ecb91f432,1,13,f,Analyze the cultural impact the ancient Phoenicians had on the Mediterranean wor,Identify key figures and the basic beliefs of early Christianity and how these b,1675,2,67
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.3.14,c2a1b207-8bad-43d4-bb62-d37ecb91f432,1,14,f,Analyze the cultural impact the ancient Phoenicians had on the Mediterranean wor,"Describe the key achievements and contributions of Roman civilization. 
",1608,2,67
Athenian Academy of Technology and the Arts,MA.6.AR.2,3c4a2b67-8bad-44d5-bb62-d37ecb91f432,1,2,f,"Given an equation or inequality and a specified set of integer values, determine",Determine the unknown decimal or fraction in an equation involving any of the fo,1530,8,71
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.3.10,c2a1b207-8bad-43d4-bb62-d37ecb91f432,1,10,f,Analyze the cultural impact the ancient Phoenicians had on the Mediterranean wor,Describe the government of the Roman Republic and its contribution to the develo,1340,2,67
Athenian Academy of Technology and the Arts,MA.7.GR.1,3c712b67-8bad-44d5-bb62-d37ecb91f432,2,1,f,Solve mathematical or real-world problems involving the area of polygons or comp,Explore and apply a formula to find the area of a circle to solve mathematical a,893,4,56
Athenian Academy of Technology and the Arts,MA.1.NSO.2,3b9d2b67-8bad-44d5-bb62-d37ecb91f432,4,2,f,Explore the addition of a two-digit number and a one-digit number with sums to 1,Explore subtraction of a one-digit number from a two-digit number.,805,12,119
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.3.15,cbd1b207-8bad-43d4-bb62-d37ecb91f432,1,15,f,Explain the consequences of the French and Indian War in British policies for th,Examine this time period (1763-1815) from the perspective of historically under-,713,1,31
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.3.12,cbd1b207-8bad-43d4-bb62-d37ecb91f432,1,12,f,Explain the consequences of the French and Indian War in British policies for th,Examine the influences of George Washington's presidency in the formation of the,569,3,57
Athenian Academy of Technology and the Arts,SS.7.CG.3.10,3eed2b67-8bad-44d5-bb62-d37ecb91f432,1,10,f,<p>Analyze the advantages of the United States&rsquo; constitutional republic ov,Identify sources and types of law.,546,2,30
Athenian Academy of Technology and the Arts,MA.7.DP.2,3c7d2b67-8bad-44d5-bb62-d37ecb91f432,1,2,f,Determine the sample space for a simple experiment.,Use a simulation of a simple experiment to find experimental probabilities and c,540,2,54
Athenian Academy of Technology and the Arts,SCI.8.SC.8.E.5.10,7231b207-8bad-43d4-bb62-d37ecb91f432,1,10,f,Recognize that there are enormous distances between objects in space and apply o,Assess how technology is essential to science for such purposes as access to out,540,2,45
