standard,school,session,fact_rows,items,desc_blank,has_cleaned_desc,cpalms_standard,has_link,cleaned_desc_sample
MA.7.MAFS.7.RP.1.1,Athenian Academy of Technology and the Arts,2024-25,679,4,t,t,MAFS.7.RP.1.1,f,"Compute unit rates associated with ratios of fractions, including ratios
of leng"
MA.6.MAFS.6.SP.1.3,Athenian Academy of Technology and the Arts,2025-26,456,4,t,t,MAFS.6.SP.1.3,f,"Recognize that a measure of center for a numerical data set
summarizes all of it"
MA.K.3.1,Athenian Academy of Technology and the Arts,2024-25,405,6,t,f,3.1,f,
MA.6.MAFS.6.SP.1.1,Athenian Academy of Technology and the Arts,2025-26,320,2,t,t,MAFS.6.SP.1.1,f,"Recognize a statistical question as one that anticipates variability in
the data"
MA.9-12.MAFS.912.A-CED.1.2,Athenian Academy of Technology and the Arts,2024-25,253,3,t,t,MAFS.912.A-CED.1.2,f,"Create equations in two or more variables to represent relationships
between qua"
MA.7.MAFS.7.G.1.1,Athenian Academy of Technology and the Arts,2024-25,250,2,t,t,MAFS.7.G.1.1,f,"Solve problems involving scale drawings of geometric figures,
including computin"
MA.9-12.MAFS.912.A-REI.4.10,Athenian Academy of Technology and the Arts,2024-25,209,1,t,t,MAFS.912.A-REI.4.10,f,"Understand that the graph of an equation in two variables is the set of
all its "
MA.7.MAFS.7.NS.1.3,Athenian Academy of Technology and the Arts,2024-25,193,3,t,t,MAFS.7.NS.1.3,f,"Solve real-world and mathematical problems involving the four
operations with ra"
MA.9-12.MAFS.912.N-Q.1.3,Athenian Academy of Technology and the Arts,2025-26,162,2,t,t,MAFS.912.N-Q.1.3,f,"Choose a level of accuracy appropriate to limitations on measurement
when report"
MA.9-12.MAFS.912.F-IF.3.9,Athenian Academy of Technology and the Arts,2024-25,156,3,t,t,MAFS.912.F-IF.3.9,f,"Compare properties of two functions each represented in a different
way (algebra"
MA.6.MAFS.6.EE.1.1,Athenian Academy of Technology and the Arts,2024-25,149,1,t,t,MAFS.6.EE.1.1,f,"Write and evaluate numerical expressions involving whole-number
exponents."
MA.K.3.1,Athenian Academy of Technology and the Arts,2025-26,132,3,t,f,3.1,f,
LA.3.LAFS.3.RI.1.2,Athenian Academy of Technology and the Arts,2024-25,116,3,t,t,LAFS.3.RI.1.2,f,Determine the main idea of a text; recount the key details and explain how they 
MA.9-12.MAFS.912.F-LE.1.2,Athenian Academy of Technology and the Arts,2025-26,103,1,t,t,MAFS.912.F-LE.1.2,f,"Construct linear and exponential functions, including arithmetic and
geometric s"
SOC.8.SS.8.C.1.5,Athenian Academy of Technology and the Arts,2024-25,93,1,t,f,SS.8.C.1.5,f,
MA.6.MAFS.6.RP.1.2,Athenian Academy of Technology and the Arts,2024-25,81,1,t,t,MAFS.6.RP.1.2,f,"Understand the concept of a unit rate a/b associated with a ratio a:b
with b ≠ 0"
MA.6.MAFS.6.G.1.3,Athenian Academy of Technology and the Arts,2025-26,74,2,t,t,MAFS.6.G.1.3,f,"Draw polygons in the coordinate plane given coordinates for the
vertices; use co"
MA.6.MAFS.6.NS.3.8,Athenian Academy of Technology and the Arts,2025-26,74,2,t,t,MAFS.6.NS.3.8,f,"Solve real-world and mathematical problems by graphing points in all
four quadra"
LA.3.LAFS.3.L.3.4.a,Athenian Academy of Technology and the Arts,2024-25,58,3,t,f,LAFS.3.L.3.4.a,f,
MA.9-12.MAFS.912.A-CED.1.3,Athenian Academy of Technology and the Arts,2024-25,38,1,t,t,MAFS.912.A-CED.1.3,f,"Represent constraints by equations or inequalities, and by systems of
equations "
MA.9-12.MAFS.912.N-RN.1.1,Athenian Academy of Technology and the Arts,2024-25,36,1,t,t,MAFS.912.N-RN.1.1,f,"Explain how the definition of the meaning of rational exponents
follows from ext"
ELA.5.L.1.2.m,Central Florida Preparatory School,2025-26,35,2,t,f,L.1.2.m,f,
SOC.8.SS.8.A.1,Athenian Academy of Technology and the Arts,2024-25,31,1,t,f,SS.8.A.1,f,
MA.9-12.MAFS.912.S-ID.1.3,Athenian Academy of Technology and the Arts,2025-26,24,1,t,t,MAFS.912.S-ID.1.3,f,"Interpret differences in shape, center, and spread in the context of
the data se"
MA.7.MAFS.7.G.1.1,Athenian Academy of Technology and the Arts,2025-26,24,1,t,t,MAFS.7.G.1.1,f,"Solve problems involving scale drawings of geometric figures,
including computin"
MA.9-12.MAFS.912.F-LE.1.2,Athenian Academy of Technology and the Arts,2024-25,18,1,t,t,MAFS.912.F-LE.1.2,f,"Construct linear and exponential functions, including arithmetic and
geometric s"
LA.2.LAFS.2.RI.1.2,Central Florida Preparatory School,2024-25,17,1,t,t,LAFS.2.RI.1.2,f,Identify the main topic of a multiparagraph text as well as the focus of specifi
