school,session,item_id,item_name,subject,grade,dim_subject_label,q_mapped,q_total,q_unmapped,coverage_class
Athenian Academy of Technology and the Arts,2024-25,7338033712,Unit 1 Test,Civics,Grade 8,Civics,37,40,3,partial
Athenian Academy of Technology and the Arts,2025-26,7892348532,The Fight for Freedom Unit Test,ELA,Grade 8,ELA,40,41,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892348238,Take Control Unit Test,ELA,Grade 7,ELA,39,40,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892338196,What a Story: Weekly Assessment: Week 2,ELA,Grade 5,ELA,19,20,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892338211,Project Earth: Weekly Assessment: Week 2,ELA,Grade 5,ELA,19,20,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892335823,Module Assessment: Come to Your Senses,ELA,Grade 4,ELA,19,20,1,partial
Athenian Academy of Technology and the Arts,2024-25,7334635860,Tell Me a Story: Weekly Assessment: Week 1,ELA,Grade 1,ELA,17,18,1,partial
Athenian Academy of Technology and the Arts,2024-25,7334634386,Tell Me a Story: Weekly Assessment: Week 1,ELA,Grade 1,ELA,17,18,1,partial
Athenian Academy of Technology and the Arts,2024-25,7334633224,Tell Me a Story: Weekly Assessment: Week 1,ELA,Grade 1,ELA,17,18,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892338214,Art for Everyone: Weekly Assessment: Week 1,ELA,Grade 5,ELA,14,15,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892338206,Wild West: Weekly Assessment: Week 1,ELA,Grade 5,ELA,14,15,1,partial
Athenian Academy of Technology and the Arts,2025-26,7892345769,Zoom In!: Weekly Assessment: Week 1,ELA,Grade K,ELA,10,15,5,partial
Athenian Academy of Technology and the Arts,2025-26,8292824903,Zoom In!: Weekly Assessment: Week 1,ELA,Grade K,ELA,10,15,5,partial
Athenian Academy of Technology and the Arts,2025-26,8292824934,Zoom In!: Weekly Assessment: Week 1,ELA,Grade K,ELA,10,15,5,partial
Athenian Academy of Technology and the Arts,2025-26,7892338198,What a Story: Weekly Assessment: Week 3,ELA,Grade 5,ELA,13,14,1,partial
Athenian Academy of Technology and the Arts,2024-25,7622572438,Classwork Cold Read: Roberto Clemente,ELA,Grade 3,ELA,4,5,1,partial
Athenian Academy of Technology and the Arts,2024-25,7623214656,Classwork Cold Read: Roberto Clemente,ELA,Grade 3,ELA,4,5,1,partial
Athenian Academy of Technology and the Arts,2024-25,7623891071,CW-Cold Read: Roberto Clemente,ELA,Grade 3,ELA,4,5,1,partial
Athenian Academy of Technology and the Arts,2024-25,7338323384,"Unit: 2 Mesopotamia, Egypt, and Kush",History,Grade 6,History,14,43,29,partial
Athenian Academy of Technology and the Arts,2024-25,7338323360,Unit 1: Early Humans and Societies,History,Grade 6,History,38,40,2,partial
Athenian Academy of Technology and the Arts,2025-26,7892360956,Unit 1: Early Humans and Societies,History,Grade 6,History,39,40,1,partial
Athenian Academy of Technology and the Arts,2025-26,8264944793,World History Quiz 4,History,Grade 6,History,8,20,12,partial
Athenian Academy of Technology and the Arts,2025-26,8264918425,Quiz 3,History,Grade 7,History,4,19,15,partial
Athenian Academy of Technology and the Arts,2025-26,8350431547,Grade 3 FAST Practice Math,Math,Grade 3,Math,34,35,1,partial
Athenian Academy of Technology and the Arts,2025-26,7893398199,Chapter 17,Math,Grade 2,Math,19,20,1,partial
Athenian Academy of Technology and the Arts,2025-26,7893398185,Chapter 7,Math,Grade 2,Math,19,20,1,partial
Athenian Academy of Technology and the Arts,2025-26,8226238606,Adding 3 Numbers,Math,Grade K,Math,14,15,1,partial
Athenian Academy of Technology and the Arts,2025-26,8075178372,Chapters 7 & 8 Part 1,Math,Grade K,Math,13,14,1,partial
Athenian Academy of Technology and the Arts,2025-26,8074119422,Chapters 7 & 8 Part 1,Math,Grade K,Math,13,14,1,partial
Athenian Academy of Technology and the Arts,2025-26,8074718690,Chapters 7 & 8 Part 1,Math,Grade K,Math,13,14,1,partial
Athenian Academy of Technology and the Arts,2024-25,7628391502,HW 12/10 Spiral Review,Math,Grade 5,Math,12,13,1,partial
Athenian Academy of Technology and the Arts,2025-26,8214117785,Module 10 Mid-Chapter Quiz,Math,Grade 6,Math,2,12,10,partial
Athenian Academy of Technology and the Arts,2024-25,7626433775,HW 12/9 Spiral Review,Math,Grade 5,Math,11,12,1,partial
Athenian Academy of Technology and the Arts,2025-26,8214008832,Module 10 Mid-Chapter Quiz,Math,Grade 6,Math,2,12,10,partial
Athenian Academy of Technology and the Arts,2025-26,8357154937,Time,Math,Grade K,Math,1,10,9,partial
Athenian Academy of Technology and the Arts,2024-25,7827154345,5/5 POP QUIZ,Math,Grade 6,Math,4,10,6,partial
Athenian Academy of Technology and the Arts,2025-26,8357183954,Time,Math,Grade K,Math,1,10,9,partial
Athenian Academy of Technology and the Arts,2025-26,8356554433,Time,Math,Grade K,Math,1,10,9,partial
Athenian Academy of Technology and the Arts,2025-26,8226200628,Module 9 Quiz,Math,Grade 7,Math,5,10,5,partial
Athenian Academy of Technology and the Arts,2024-25,7628347421,HW 12/10 Spiral Review,Math,Grade 5,Math,8,9,1,partial
Athenian Academy of Technology and the Arts,2024-25,7750464573,3/6 POP Quiz Module 11,Math,Grade 7,Math,4,6,2,partial
Athenian Academy of Technology and the Arts,2024-25,7338068352,Unit 6 Benchmark Test: Matter,Science,Grade 8,Science,49,50,1,partial
Athenian Academy of Technology and the Arts,2024-25,7338068319,Unit 3 Benchmark Test: The Solar System,Science,Grade 8,Science,38,40,2,partial
Athenian Academy of Technology and the Arts,2024-25,7338051147,Unit 1 Benchmark Test: Nature of Science,Science,Grade 6,Science,34,35,1,partial
