pattern,uniques_id,identifier,schoology_standard,standard_new,strand,subject,pair_rowcount,fact_referenced
exact_dup_pair,b695a439-3181-47f7-9ad5-780c3137608e,SOC.8.SS.8.C.1.1,SOC.8.SS.8.C.1.1,1,Civics,Social Studies,,f
exact_dup_pair,dc08a27b-adf5-4ab5-9f86-96f103cc0b57,SOC.8.SS.8.C.1.1,SOC.8.SS.8.C.1.1,1,Civics,Social Studies,,f
exact_dup_pair,756c5e68-729a-4009-8ff7-e9461993d514,SS.8.C.1.3,SS.8.C.1.3,1,Civics,Social Studies,,f
exact_dup_pair,6bab6641-8e91-4a55-b6b5-d75a61a3b4f3,SS.8.C.1.3,SS.8.C.1.3,1,Civics,Social Studies,,f
exact_dup_pair,add04aca-e942-4ef3-a13f-02a57bfb0e0c,SS.8.C.1.4,SS.8.C.1.4,1,Civics,Social Studies,,f
exact_dup_pair,f655d53e-bdc3-49f3-b38d-d77f51e60137,SS.8.C.1.4,SS.8.C.1.4,1,Civics,Social Studies,,f
numeric_junk_code,6181b207-8bad-43d4-bb62-d37ecb91f432_0.1,6181b207-8bad-43d4-bb62-d37ecb91f432,0.1,1,Physical Science,Science,2,f
numeric_junk_code,6a41b207-8bad-43d4-bb62-d37ecb91f432_0.1,6a41b207-8bad-43d4-bb62-d37ecb91f432,0.1,15,Physical Science,Science,2,f
numeric_junk_code,21052b67-8bad-44d4-bb62-d37ecb91f432_0.11,21052b67-8bad-44d4-bb62-d37ecb91f432,0.11,11,Psychology,Social Studies,2,f
numeric_junk_code,7821b207-8bad-43d4-bb62-d37ecb91f432_0.11,7821b207-8bad-43d4-bb62-d37ecb91f432,0.11,11,Physical Science,Science,2,f
numeric_junk_code,6831b207-8bad-43d4-bb62-d37ecb91f432_0.12,6831b207-8bad-43d4-bb62-d37ecb91f432,0.12,12,Physical Science,Science,1,f
numeric_junk_code,7831b207-8bad-43d4-bb62-d37ecb91f432_0.13,7831b207-8bad-43d4-bb62-d37ecb91f432,0.13,13,Physical Science,Science,1,f
numeric_junk_code,6a31b207-8bad-43d4-bb62-d37ecb91f432_0.14,6a31b207-8bad-43d4-bb62-d37ecb91f432,0.14,14,Physical Science,Science,1,f
numeric_junk_code,6a41b207-8bad-43d4-bb62-d37ecb91f432_0.15,6a41b207-8bad-43d4-bb62-d37ecb91f432,0.15,15,Physical Science,Science,1,f
numeric_junk_code,7841b207-8bad-43d4-bb62-d37ecb91f432_0.16,7841b207-8bad-43d4-bb62-d37ecb91f432,0.16,16,Physical Science,Science,1,f
numeric_junk_code,7851b207-8bad-43d4-bb62-d37ecb91f432_0.17,7851b207-8bad-43d4-bb62-d37ecb91f432,0.17,17,Physical Science,Science,1,f
numeric_junk_code,7861b207-8bad-43d4-bb62-d37ecb91f432_0.18,7861b207-8bad-43d4-bb62-d37ecb91f432,0.18,18,Physical Science,Science,1,f
numeric_junk_code,7871b207-8bad-43d4-bb62-d37ecb91f432_0.19,7871b207-8bad-43d4-bb62-d37ecb91f432,0.19,19,Physical Science,Science,1,f
numeric_junk_code,1b162b67-8bad-44d4-bb62-d37ecb91f432_0.2,1b162b67-8bad-44d4-bb62-d37ecb91f432,0.2,2a,Unique Skills,Special Skills,2,f
numeric_junk_code,1b182b67-8bad-44d4-bb62-d37ecb91f432_0.2,1b182b67-8bad-44d4-bb62-d37ecb91f432,0.2,2b,Unique Skills,Special Skills,2,f
numeric_junk_code,7891b207-8bad-43d4-bb62-d37ecb91f432_0.21,7891b207-8bad-43d4-bb62-d37ecb91f432,0.21,21,Physical Science,Science,1,f
numeric_junk_code,78a1b207-8bad-43d4-bb62-d37ecb91f432_0.22,78a1b207-8bad-43d4-bb62-d37ecb91f432,0.22,22,Physical Science,Science,1,f
numeric_junk_code,20b82b67-8bad-44d4-bb62-d37ecb91f432_0.3,20b82b67-8bad-44d4-bb62-d37ecb91f432,0.3,3,Psychology,Social Studies,2,f
numeric_junk_code,6c71b207-8bad-43d4-bb62-d37ecb91f432_0.3,6c71b207-8bad-43d4-bb62-d37ecb91f432,0.3,3,Physical Science,Science,2,f
numeric_junk_code,6711b207-8bad-43d4-bb62-d37ecb91f432_0.4,6711b207-8bad-43d4-bb62-d37ecb91f432,0.4,4,Physical Science,Science,2,f
numeric_junk_code,6941b207-8bad-43d4-bb62-d37ecb91f432_0.4,6941b207-8bad-43d4-bb62-d37ecb91f432,0.4,4,Physical Science,Science,2,f
numeric_junk_code,20ba2b67-8bad-44d4-bb62-d37ecb91f432_0.5,20ba2b67-8bad-44d4-bb62-d37ecb91f432,0.5,5,Psychology,Social Studies,2,f
numeric_junk_code,7491b207-8bad-43d4-bb62-d37ecb91f432_0.5,7491b207-8bad-43d4-bb62-d37ecb91f432,0.5,5,Physical Science,Science,2,f
numeric_junk_code,205d2b67-8bad-44d4-bb62-d37ecb91f432_0.6,205d2b67-8bad-44d4-bb62-d37ecb91f432,0.6,6,Psychology,Social Studies,1,f
numeric_junk_code,1aec2b67-8bad-44d4-bb62-d37ecb91f432_0.7,1aec2b67-8bad-44d4-bb62-d37ecb91f432,0.7,7b,Unique Skills,Special Skills,1,f
numeric_junk_code,20622b67-8bad-44d4-bb62-d37ecb91f432_0.8,20622b67-8bad-44d4-bb62-d37ecb91f432,0.8,8,Psychology,Social Studies,2,f
