school_name,assessment_type,dim_subject_rows,distinct_subject_ids,fact_rows,distinct_items,has_internal_double_space,has_edge_whitespace,is_all_lowercase,normalized_value,defect_class
Athenian Academy of Technology and the Arts,Lesson  Assessments,1138,1138,1207153,2331,t,f,f,Lesson Assessments,internal_double_space
Athenian Academy of Technology and the Arts,Assessments,71,71,49240,135,f,f,f,Assessments,clean
Athenian Academy of Technology and the Arts,Unit-Chap  Assessments,44,44,35942,91,t,f,f,Unit-Chap Assessments,internal_double_space
Athenian Academy of Technology and the Arts,Lesson Assessments,1,1,1508,1,f,f,f,Lesson Assessments,stray_whitespace_twin_of_double_space
Athenian Academy of Technology and the Arts,Test,1,1,342,1,f,f,f,Test,oneoff_singleton_bucket
Central Florida Preparatory School,Summative,186,186,145005,474,f,f,f,Summative,clean
Central Florida Preparatory School,topic,102,102,65917,156,f,f,t,topic,all_lowercase_style_outlier
Central Florida Preparatory School,Unit,56,56,25049,78,f,f,f,Unit,clean
Central Florida Preparatory School,Weekly Test,13,13,4796,23,f,f,f,Weekly Test,clean
Central Florida Preparatory School,Unit Test,2,2,556,2,f,f,f,Unit Test,clean
Central Florida Preparatory School,Lesson  Assessments,1,1,330,1,t,f,f,Lesson Assessments,internal_double_space
Crestwell School,Summative,218,218,110281,414,f,f,f,Summative,clean
Crestwell School,Chap Test,3,3,794,5,f,f,f,Chap Test,clean
Crestwell School,Weekly Test,1,1,30,1,f,f,f,Weekly Test,clean
Crestwell School,2 sectionsAll Sections,1,1,45,1,f,f,f,2 sectionsAll Sections,junk_misparsed_section_string
