school,item_id,item_name,qmark_pattern,has_double_space,subject_id
Athenian Academy of Technology and the Arts,7338194137,Not My Bones / from Fortune?s Bones Selection Test,mangled_apostrophe,f,a4075cdb211c1dd4b7dad69a823d8e95750bd1e772ac78225596cc587bc8a796
Athenian Academy of Technology and the Arts,7892348531,Not My Bones / from Fortune?s Bones Selection Test,mangled_apostrophe,f,10d4c96276925a72d6bb8f2ab40e8f74452c0a7564f60ce2f85c3400aa704933
Athenian Academy of Technology and the Arts,7892346412,Through an Animal?s Eyes Unit Test,mangled_apostrophe,f,acbfa8ba7ba2f7c08df3a94a688cd2312ef5dff2484015e184882a579dad235f
Athenian Academy of Technology and the Arts,7797124730,Through an Animal?s Eyes Unit Test,mangled_apostrophe,f,029effe3d19aaa53bf0a6d9acc2a9995d1cce26519e45d5845bfb7c99b1f9275
Athenian Academy of Technology and the Arts,7892349226,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,36b62bfd76fe64ac48e1bfc2df23a6ca8cc684a04df722a7d3b41efba279a782
Athenian Academy of Technology and the Arts,7892349076,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,36b62bfd76fe64ac48e1bfc2df23a6ca8cc684a04df722a7d3b41efba279a782
Athenian Academy of Technology and the Arts,7338364890,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3
Athenian Academy of Technology and the Arts,7338365111,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3
Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3
Athenian Academy of Technology and the Arts,7892349379,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,36b62bfd76fe64ac48e1bfc2df23a6ca8cc684a04df722a7d3b41efba279a782
Athenian Academy of Technology and the Arts,7892346388,"What?s so Funny, Mr. Scieszka? Selection Test",mangled_apostrophe,f,e581d00da6d839ec8cb57799b1b086d3519f5efa85273f04b9fc23eb5daf9e39
Athenian Academy of Technology and the Arts,7338165131,"What?s so Funny, Mr. Scieszka? Selection Test",mangled_apostrophe,f,91d88f0c5ddbd9db6e3bf74ad709b193f705c820d0fe701e557380ec4464c44b
Athenian Academy of Technology and the Arts,7797124721,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,mangled_apostrophe,f,e956c981fd694c19db7ca899f0dd94c7308f2b64f103aa427e1f1591c5d34b5b
Athenian Academy of Technology and the Arts,7892346411,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,mangled_apostrophe,f,f065b46e5cd79495bbda0c21649e26cb6a848b9f42d9798147ec74d6c8647adc
