item_id,item_name,school_name,filed_label,correct_label,standard_grade_prefixes,modal_section_sibling_label,sibling_items_agreeing,students,audit_status,raw_source_folder_paths
7337899755,Happy Healthy Me: Weekly Assessment: Week 1,Athenian Academy of Technology and the Arts,ELA/Grade 1,ELA/Grade K,ELA.K,ELA/Grade K,27,19,doc-known GENUINE_MISFILE (held for Fatima),2024-25/1 - Lesson  Assessments/4 - ELA/0 - Grade K/Sec 1/Student-Submissions-Happy-Healthy-Me-Weekly-Assessment-Week-1-2025-01-15-022034.csv | 2024-25/Test/4 - ELA/1 - Grade 1/Sec 1/Student-Submissions-Happy-Healthy-Me-Weekly-Assessment-Week-1-2025-01-22-080829.csv
7337899774,Happy Healthy Me: Weekly Assessment: Week 3,Athenian Academy of Technology and the Arts,ELA/Grade 1,ELA/Grade K,ELA.K,ELA/Grade K,27,19,doc-known GENUINE_MISFILE (held for Fatima),2024-25/2 - Unit-Chap  Assessments/4 - ELA/1 - Grade 1/Sec 1/Student-Submissions-Happy-Healthy-Me-Weekly-Assessment-Week-3-2025-02-06-080425.csv | 2024-25/Assessments/4 - ELA/0 - Grade K/Sec 1/Student-Submissions-Happy-Healthy-Me-Weekly-Assessment-Week-3-2025-01-30-021342.csv
7616266129,Inherited Traits 'Genius Challenge',Athenian Academy of Technology and the Arts,Algebra/Grade 8,Science/Grade 1,,Science/Grade 1,22,18,doc-known GENUINE_MISFILE (held for Fatima),2024-25/1 - Lesson  Assessments/1 - Math/8 - Grade 8/Sec 1/Student-Submissions-Inherited-Traits-Genius-Challenge-2024-12-18-040550.csv
7626085761,Plant Needs 'Genius Challenge',Athenian Academy of Technology and the Arts,Algebra/Grade 8,Science/Grade 1,,Science/Grade 1,22,18,doc-known GENUINE_MISFILE (held for Fatima),2024-25/1 - Lesson  Assessments/1 - Math/8 - Grade 8/Sec 1/Student-Submissions-Plant-Needs-Genius-Challenge-2024-12-19-085257.csv
7626416439,HW 12/9 Spiral Review,Athenian Academy of Technology and the Arts,Math/Grade 5,Math/Grade 7,"MA.6,MA.7",Math/Grade 7,15,28,doc-known GENUINE_MISFILE (held for Fatima; mixed G6/G7),2024-25/1 - Lesson  Assessments/1 - Math/5 - Grade 5/Sec 2/Student-Submissions-HW-129-Spiral-Review-2024-12-19-084756.csv
7626433775,HW 12/9 Spiral Review,Athenian Academy of Technology and the Arts,Math/Grade 5,Math/Grade 6,"MA.6,MA.7,MA.8",Math/Grade 6,18,29,doc-known GENUINE_MISFILE (held for Fatima; mixed G6/G7),2024-25/1 - Lesson  Assessments/1 - Math/5 - Grade 5/Sec 2/Student-Submissions-HW-129-Spiral-Review-2024-12-19-083644.csv
7628347421,HW 12/10 Spiral Review,Athenian Academy of Technology and the Arts,Math/Grade 5,Math/Grade 6,MA.6,Math/Grade 6,18,29,doc-known GENUINE_MISFILE (held for Fatima; mixed G6/G7),2024-25/1 - Lesson  Assessments/1 - Math/5 - Grade 5/Sec 2/Student-Submissions-HW-1210-Spiral-Review-2024-12-18-034405.csv
7628391502,HW 12/10 Spiral Review,Athenian Academy of Technology and the Arts,Math/Grade 5,Math/Grade 7,"MA.6,MA.7",Math/Grade 7,15,29,doc-known GENUINE_MISFILE (held for Fatima; mixed G6/G7),2024-25/1 - Lesson  Assessments/1 - Math/5 - Grade 5/Sec 2/Student-Submissions-HW-1210-Spiral-Review-2024-12-19-084331.csv
7892346412,Through an Animal?s Eyes Unit Test,Athenian Academy of Technology and the Arts,ELA/Grade 8,ELA/Grade 6,"ELA.6,ELA.K12",ELA/Grade 6,22,39,doc-known GENUINE_MISFILE (held for Fatima),2025-26/1 - Lesson  Assessments/Language Arts/Grade 6/Sec 1/Student-Submissions-Through-an-Animals-Eyes-Unit-Test-2026-04-21-104048.csv | 2025-26/1 - Lesson  Assessments/Language Arts/Grade 8/Sec 1/Student-Submissions-Through-an-Animals-Eyes-Unit-Test-2026-04-25-195650.csv
7964065626,Topic 1,Central Florida Preparatory School,Math/Grade 7,Algebra/Grade 8,MA.8,Algebra/Grade 8,5,13,NEW - absent from assessment_misfiling.csv,2025-26/topic/1 - Math/7 - Grade 7/Sec MS PRE ALG - 3rd A/Student-Submissions-Topic-1-2025-10-02-192425.csv
7964067882,Topic 1,Central Florida Preparatory School,Math/Grade 7,Algebra/Grade 8,MA.8,Algebra/Grade 8,5,18,NEW - absent from assessment_misfiling.csv,2025-26/topic/1 - Math/7 - Grade 7/Sec MS PRE ALG - 6th B/Student-Submissions-Topic-1-2025-10-06-033540.csv
7841245375,Chapter 1 Test: Counting and Number Sense,Crestwell School,Math/Grade 2,Math/Grade 1,MA.1,,,5,"doc-known GENUINE_MISFILE (open, grade-dispute/tiny)",2024-25/ 2 sectionsAll Sections/1 - Math/2 - Grade 2/Sec 1/Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-20-214548.csv
