school_name,item_id,subject_id,item_name,assessment_type,subject,grade,session,n_students,n_questions,n_rows,students_in_both,bucket_rank
Athenian Academy of Technology and the Arts,7334677961,8c12f8ee07c7cf1f69169c0c1b6be88e1f1f66d4f464cf588e921f077de29a53,Module Assessment: Once Upon a Time,Lesson  Assessments,ELA,Grade 2,2024-25,16,16,256,0,1
Athenian Academy of Technology and the Arts,7334677961,03319b94f7cf6f4a6aff28301341cf9a218ff2d222422cfdba2c6380e464c858,Module Assessment: Once Upon a Time,Assessments,ELA,Grade 2,2024-25,3,16,48,0,2
Athenian Academy of Technology and the Arts,7334739781,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,Module Assessment: Use Your Words,Lesson  Assessments,ELA,Grade 3,2024-25,18,20,414,0,1
Athenian Academy of Technology and the Arts,7334739781,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,Module Assessment: Use Your Words - 10/21/24,Unit-Chap  Assessments,ELA,Grade 3,2024-25,2,20,46,0,2
Athenian Academy of Technology and the Arts,7334741824,44bc01a21f8e0e95e3288a4381823bf6c8b838ac522b1dc89233fa34189e122a,Module Assessment: Stories on Stage,Lesson  Assessments,ELA,Grade 3,2024-25,18,21,396,0,1
Athenian Academy of Technology and the Arts,7334741824,38b1323fb136a246b11886fa9eb38bf76ce9a5fef72b13e4f7844d2339fb54d6,Module Assessment: Stories on Stage,Assessments,ELA,Grade 3,2024-25,1,21,22,0,2
Athenian Academy of Technology and the Arts,7338364921,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Unit 8 Benchmark Test: Living Things and  Their Parents,Lesson  Assessments,Science,Grade 1,2024-25,16,10,208,0,1
Athenian Academy of Technology and the Arts,7338364921,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,Unit 8 Benchmark Test: Living Things and  Their Parents,Unit-Chap  Assessments,Science,Grade 1,2024-25,1,10,13,0,2
Athenian Academy of Technology and the Arts,7338364925,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Unit 9 Benchmark Test: Plant and Animal Needs,Lesson  Assessments,Science,Grade 1,2024-25,17,10,170,0,1
Athenian Academy of Technology and the Arts,7338364925,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,Unit 9 Benchmark Test: Plant and Animal Needs,Unit-Chap  Assessments,Science,Grade 1,2024-25,1,10,10,0,2
Athenian Academy of Technology and the Arts,7466000203,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Unit 4 Benchmark Test: Day and Night,Lesson  Assessments,Science,Grade K,2024-25,20,10,400,0,1
Athenian Academy of Technology and the Arts,7466000203,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,Unit 4 Benchmark Test: Day and Night,Assessments,Science,Grade K,2024-25,1,10,20,0,2
Athenian Academy of Technology and the Arts,7661452061,171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67,Chapter 14,Assessments,Math,Grade 1,2024-25,17,18,323,0,1
