school_id,item_id,item_name,subject_id,subject,assessment_type,grade,session,bucket_students,bucket_questions,item_total_students,item_total_questions,reachable_as_report,is_canonical_report_bucket
019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,Module Assessment: Once Upon a Time,8c12f8ee07c7cf1f69169c0c1b6be88e1f1f66d4f464cf588e921f077de29a53,ELA,Lesson  Assessments,Grade 2,2024-25,16,16,19,16,1,f
019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,Module Assessment: Once Upon a Time,03319b94f7cf6f4a6aff28301341cf9a218ff2d222422cfdba2c6380e464c858,ELA,Assessments,Grade 2,2024-25,3,16,19,16,2,t
019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,Module Assessment: Use Your Words,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,ELA,Lesson  Assessments,Grade 3,2024-25,18,20,20,20,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,Module Assessment: Use Your Words - 10/21/24,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,ELA,Unit-Chap  Assessments,Grade 3,2024-25,2,20,20,20,1,t
019eb11c-410a-7ffb-86e6-a0294c669670,7334741824,Module Assessment: Stories on Stage,44bc01a21f8e0e95e3288a4381823bf6c8b838ac522b1dc89233fa34189e122a,ELA,Lesson  Assessments,Grade 3,2024-25,18,21,19,21,1,f
019eb11c-410a-7ffb-86e6-a0294c669670,7334741824,Module Assessment: Stories on Stage,38b1323fb136a246b11886fa9eb38bf76ce9a5fef72b13e4f7844d2339fb54d6,ELA,Assessments,Grade 3,2024-25,1,21,19,21,2,t
019eb11c-410a-7ffb-86e6-a0294c669670,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Science,Lesson  Assessments,Grade 1,2024-25,16,10,17,10,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,Science,Unit-Chap  Assessments,Grade 1,2024-25,1,10,17,10,3,t
019eb11c-410a-7ffb-86e6-a0294c669670,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Science,Lesson  Assessments,Grade 1,2024-25,17,10,18,10,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,Science,Unit-Chap  Assessments,Grade 1,2024-25,1,10,18,10,3,t
019eb11c-410a-7ffb-86e6-a0294c669670,7466000203,Unit 4 Benchmark Test: Day and Night,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Science,Lesson  Assessments,Grade K,2024-25,20,10,21,10,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7466000203,Unit 4 Benchmark Test: Day and Night,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,Science,Assessments,Grade K,2024-25,1,10,21,10,3,t
019eb11c-410a-7ffb-86e6-a0294c669670,7661452061,Chapter 14,171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67,Math,Assessments,Grade 1,2024-25,17,18,18,18,3,t
019eb11c-410a-7ffb-86e6-a0294c669670,7661452061,Chapter 14,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Math,Lesson  Assessments,Grade 1,2024-25,1,18,18,18,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7661455143,Chapter 9,4b9bbdd81191adebb097de0effae310f2a1662dfae574531f89d51174035cd3a,Math,Assessments,Grade 2,2024-25,12,20,14,20,1,f
019eb11c-410a-7ffb-86e6-a0294c669670,7661455143,Chapter 9,58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,Math,Lesson  Assessments,Grade 2,2024-25,2,20,14,20,2,t
019eb11c-410a-7ffb-86e6-a0294c669670,7676516420,Quarter 3 Quiz #1,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Civics,Assessments,Grade 8,2024-25,15,5,16,5,0,f
