school,item_id,bucket_rank,subject_id,subject,assessment_type,grade,session,item_name,students,fact_question_ids,cube_questions,overlaps_other_bucket
Athenian,7334677961,1,8c12f8ee07c7cf1f69169c0c1b6be88e1f1f66d4f464cf588e921f077de29a53,ELA,Lesson  Assessments,Grade 2,2024-25,Module Assessment: Once Upon a Time,16,16,14,0
Athenian,7334677961,2,03319b94f7cf6f4a6aff28301341cf9a218ff2d222422cfdba2c6380e464c858,ELA,Assessments,Grade 2,2024-25,Module Assessment: Once Upon a Time,3,16,2,0
Athenian,7334739781,1,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,ELA,Lesson  Assessments,Grade 3,2024-25,Module Assessment: Use Your Words,18,20,16,0
Athenian,7334739781,2,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,ELA,Unit-Chap  Assessments,Grade 3,2024-25,Module Assessment: Use Your Words - 10/21/24,2,20,4,0
Athenian,7334741824,1,44bc01a21f8e0e95e3288a4381823bf6c8b838ac522b1dc89233fa34189e122a,ELA,Lesson  Assessments,Grade 3,2024-25,Module Assessment: Stories on Stage,18,21,19,0
Athenian,7334741824,2,38b1323fb136a246b11886fa9eb38bf76ce9a5fef72b13e4f7844d2339fb54d6,ELA,Assessments,Grade 3,2024-25,Module Assessment: Stories on Stage,1,21,2,0
Athenian,7338364921,1,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Science,Lesson  Assessments,Grade 1,2024-25,Unit 8 Benchmark Test: Living Things and  Their Parents,16,10,10,0
Athenian,7338364921,2,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,Science,Unit-Chap  Assessments,Grade 1,2024-25,Unit 8 Benchmark Test: Living Things and  Their Parents,1,10,0,0
Athenian,7338364925,1,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Science,Lesson  Assessments,Grade 1,2024-25,Unit 9 Benchmark Test: Plant and Animal Needs,17,10,9,0
Athenian,7338364925,2,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,Science,Unit-Chap  Assessments,Grade 1,2024-25,Unit 9 Benchmark Test: Plant and Animal Needs,1,10,1,0
Athenian,7466000203,1,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Science,Lesson  Assessments,Grade K,2024-25,Unit 4 Benchmark Test: Day and Night,20,10,10,0
Athenian,7466000203,2,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,Science,Assessments,Grade K,2024-25,Unit 4 Benchmark Test: Day and Night,1,10,0,0
Athenian,7661452061,1,171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67,Math,Assessments,Grade 1,2024-25,Chapter 14,17,18,17,0
Athenian,7661452061,2,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Math,Lesson  Assessments,Grade 1,2024-25,Chapter 14,1,18,1,0
Athenian,7661455143,1,4b9bbdd81191adebb097de0effae310f2a1662dfae574531f89d51174035cd3a,Math,Assessments,Grade 2,2024-25,Chapter 9,12,20,18,0
Athenian,7661455143,2,58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,Math,Lesson  Assessments,Grade 2,2024-25,Chapter 9,2,20,4,0
Athenian,7676516420,1,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Civics,Assessments,Grade 8,2024-25,Quarter 3 Quiz #1,15,5,5,0
Athenian,7676516420,2,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,Civics,Lesson  Assessments,Grade 8,2024-25,Quarter 3 Quiz #1,1,5,0,0
Athenian,7687741861,1,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,Math,Lesson  Assessments,Grade K,2024-25,Chapter 12,19,15,14,1
Athenian,7687741861,2,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Math,Assessments,Grade K,2024-25,Chapter 12,2,5,1,1
Athenian,7789244025,1,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,History,Lesson  Assessments,Grade 7,2024-25,Quarter 4 Quiz 2,27,5,4,0
Athenian,7789244025,2,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,History,Assessments,Grade 7,2024-25,Quarter 4 Quiz 2,1,5,1,0
Athenian,7797146594,1,9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b,ELA,Lesson Assessments,Grade 7,2024-25,Inspired by Nature Unit Test,29,40,38,0
Athenian,7797146594,2,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,ELA,Lesson  Assessments,Grade 7,2024-25,Inspired by Nature Unit Test,1,40,2,0
Athenian,8112622324,1,eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f,Math,Lesson  Assessments,Grade K,2025-26,Chapter 16.1,23,12,11,0
Athenian,8112622324,2,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,Math,Lesson  Assessments,Grade K,2025-26,Chapter 16 Part 1,1,12,1,0
CFP,8159775714,1,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,ELA,Summative,Grade 4,2025-26,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,17,9,9,0
CFP,8159775714,2,481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,ELA,Summative,Grade 4,2025-26,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,1,9,0,0
CFP,8362776921,1,4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128,HS Algebra I,topic,Regular 9–12,2025-26,Topic 8,16,18,18,0
CFP,8362776921,2,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,HS Algebra I,topic,Higher-Ed,2025-26,Topic 8,1,18,1,0
Crestwell,7610639442,1,82f644f56225014e33a80906e11a1afacafeeab392378cbcc188a8b67f5f87fc,Math,Chap Test,Grade 1,2024-25,Chapter 1 Test: Counting and Number Sense,1,9,2,0
Crestwell,7610639442,2,d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165,Math,Summative,Grade 1,2025-26,Chapter 1 Test: Counting and Number Sense,1,9,7,0
Crestwell,7929054690,1,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,Reading,Summative,Grade 4,2025-26,What Makes Us Who We Are?: Weekly Assessment: Week 2,15,10,7,1
Crestwell,7929054690,2,5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56,Reading,Weekly Test,Grade 4,2025-26,What Makes Us Who We Are?: Weekly Assessment: Week 2,3,10,3,1
