school_id,school_name,item_id,item_name,user_uid,type_bucket,grade,session,attempt_no,latest_attempt,stg_rows,n_export_files,earliest_export_file,latest_export_file,distinct_answers
019eb11c-410a-7ffb-86e6-a0294c669670,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,131770756,Assessments,Grade K,2024-25,1,2025-01-29 09:24:10+00,15,1,Student-Submissions-Chapter-12-2025-01-30-033932.csv,Student-Submissions-Chapter-12-2025-01-30-033932.csv,12
019eb11c-410a-7ffb-86e6-a0294c669670,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,131770756,Lesson  Assessments,Grade K,2024-25,2,2025-02-05 11:11:40+00,15,1,Student-Submissions-Chapter-12-2025-02-11-031140.csv,Student-Submissions-Chapter-12-2025-02-11-031140.csv,13
019eb11c-410a-7ffb-86e6-a0294c669670,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,131861995,Assessments,Grade K,2024-25,1,2025-01-29 09:24:10+00,15,1,Student-Submissions-Chapter-12-2025-01-30-033932.csv,Student-Submissions-Chapter-12-2025-01-30-033932.csv,13
019eb11c-410a-7ffb-86e6-a0294c669670,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,131861995,Lesson  Assessments,Grade K,2024-25,2,2025-02-05 11:11:46+00,15,1,Student-Submissions-Chapter-12-2025-02-11-031140.csv,Student-Submissions-Chapter-12-2025-02-11-031140.csv,13
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136696876,Chap Test,Grade 1,2024-25,1,2025-05-15 21:00:09+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-26-211403.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-26-211403.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136696876,Summative,Grade 1,2025-26,1,2025-05-15 21:00:09+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-16-181155.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-16-181155.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136696876,Summative,Grade 1,2025-26,1,2025-09-17 18:06:43+00,27,3,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-17-181201.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-29-055807.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136696876,Summative,Grade 1,2025-26,2,2025-09-17 18:06:43+00,27,3,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-17-181201.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-29-055807.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136697026,Chap Test,Grade 1,2024-25,1,2025-05-15 21:04:20+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-26-211403.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-26-211403.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136697026,Summative,Grade 1,2025-26,1,2025-05-15 21:04:20+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-16-181155.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-16-181155.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136697026,Summative,Grade 1,2025-26,1,2025-09-17 18:11:29+00,27,3,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-17-181201.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-29-055807.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,136697026,Summative,Grade 1,2025-26,2,2025-09-17 18:11:29+00,18,2,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-19-191400.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-09-29-055807.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639551,Chapter 1 Test: Counting and Number Sense,136696884,Chap Test,Grade 1,2024-25,1,2025-05-15 20:04:05+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-21-214253.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-21-214253.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7610639551,Chapter 1 Test: Counting and Number Sense,136696902,Chap Test,Grade 1,2024-25,1,2025-05-15 20:11:20+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-21-214253.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-21-214253.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7841245375,Chapter 1 Test: Counting and Number Sense,136696876,2 sectionsAll Sections,Grade 2,2024-25,1,2025-05-15 22:00:14+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-20-214548.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-20-214548.csv,9
019eb11c-413c-7ed9-872e-0fe5e9a947b6,Crestwell School,7841245375,Chapter 1 Test: Counting and Number Sense,136696884,2 sectionsAll Sections,Grade 2,2024-25,1,2025-05-15 21:55:53+00,9,1,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-20-214548.csv,Student-Submissions-Chapter-1-Test-Counting-and-Number-Sense-2025-05-20-214548.csv,9
