school,norm_name,subject,grade,session,assessment_type,n_subject_ids,n_items,students
Athenian Academy of Technology and the Arts,"above, below, and beyond: weekly assessment: week 2",ELA,Grade 5,2024-25,Assessments,1,1,20
Athenian Academy of Technology and the Arts,"above, below, and beyond: weekly assessment: week 2",ELA,Grade 5,2024-25,Lesson  Assessments,1,1,18
Athenian Academy of Technology and the Arts,art everywhere: weekly assessment: week 1,ELA,Grade 4,2024-25,Assessments,1,1,17
Athenian Academy of Technology and the Arts,art everywhere: weekly assessment: week 1,ELA,Grade 4,2024-25,Lesson  Assessments,1,1,22
Athenian Academy of Technology and the Arts,chapter 16 temperature and time,Math,Grade 4,2024-25,Assessments,1,1,20
Athenian Academy of Technology and the Arts,chapter 16 temperature and time,Math,Grade 4,2024-25,Lesson  Assessments,1,1,21
Athenian Academy of Technology and the Arts,chapter 19,Math,Grade K,2024-25,Assessments,1,2,39
Athenian Academy of Technology and the Arts,chapter 19,Math,Grade K,2024-25,Lesson  Assessments,1,1,20
Athenian Academy of Technology and the Arts,everyone has a story: weekly assessment: week 2,ELA,Grade 2,2024-25,Assessments,1,1,19
Athenian Academy of Technology and the Arts,everyone has a story: weekly assessment: week 2,ELA,Grade 2,2024-25,Lesson  Assessments,1,2,35
Athenian Academy of Technology and the Arts,inspired by nature unit test,ELA,Grade 7,2024-25,Lesson  Assessments,1,1,1
Athenian Academy of Technology and the Arts,inspired by nature unit test,ELA,Grade 7,2024-25,Lesson Assessments,1,1,29
Athenian Academy of Technology and the Arts,m5m1vocabulary quiz,ELA,Grade 3,2024-25,Assessments,1,2,39
Athenian Academy of Technology and the Arts,m5m1vocabulary quiz,ELA,Grade 3,2024-25,Lesson  Assessments,1,1,20
Athenian Academy of Technology and the Arts,m5w1 vocab quiz,ELA,Grade 5,2024-25,Assessments,1,1,19
Athenian Academy of Technology and the Arts,m5w1 vocab quiz,ELA,Grade 5,2024-25,Lesson  Assessments,1,1,19
Athenian Academy of Technology and the Arts,m7w2 vocab quiz,ELA,Grade 5,2024-25,Assessments,1,1,19
Athenian Academy of Technology and the Arts,m7w2 vocab quiz,ELA,Grade 5,2024-25,Lesson  Assessments,1,1,18
Athenian Academy of Technology and the Arts,module 7 week 2 vocabulary quiz,ELA,Grade 2,2024-25,Assessments,1,1,19
Athenian Academy of Technology and the Arts,module 7 week 2 vocabulary quiz,ELA,Grade 2,2024-25,Lesson  Assessments,1,2,35
Athenian Academy of Technology and the Arts,module assessment: once upon a time,ELA,Grade 2,2024-25,Assessments,1,2,21
Athenian Academy of Technology and the Arts,module assessment: once upon a time,ELA,Grade 2,2024-25,Lesson  Assessments,1,2,27
Athenian Academy of Technology and the Arts,module assessment: stories on stage,ELA,Grade 3,2024-25,Assessments,1,2,21
Athenian Academy of Technology and the Arts,module assessment: stories on stage,ELA,Grade 3,2024-25,Lesson  Assessments,1,2,38
Athenian Academy of Technology and the Arts,module assessment: use your words,ELA,Grade 3,2024-25,Lesson  Assessments,1,1,18
Athenian Academy of Technology and the Arts,module assessment: use your words,ELA,Grade 3,2024-25,Unit-Chap  Assessments,1,2,38
Athenian Academy of Technology and the Arts,"now you see it, now you don't: weekly assessment: week 1",ELA,Grade 1,2024-25,Assessments,1,2,39
Athenian Academy of Technology and the Arts,"now you see it, now you don't: weekly assessment: week 1",ELA,Grade 1,2024-25,Lesson  Assessments,1,1,17
Athenian Academy of Technology and the Arts,project earth: weekly assessment: week 1,ELA,Grade 5,2024-25,Assessments,1,1,19
