school_name,norm_name,session,subject,grade,assessment_type,n_items,item_ids,students,bucket_role,n_subject_ids_in_bucket
Athenian Academy of Technology and the Arts,"above, below, and beyond: weekly assessment: week 2",2024-25,ELA,Grade 5,Assessments,1,7789365059,20,majority,1
Athenian Academy of Technology and the Arts,"above, below, and beyond: weekly assessment: week 2",2024-25,ELA,Grade 5,Lesson  Assessments,1,7789371643,18,minority,1
Athenian Academy of Technology and the Arts,art everywhere: weekly assessment: week 1,2024-25,ELA,Grade 4,Lesson  Assessments,1,7334764745,22,majority,1
Athenian Academy of Technology and the Arts,art everywhere: weekly assessment: week 1,2024-25,ELA,Grade 4,Assessments,1,7334764054,17,minority,1
Athenian Academy of Technology and the Arts,chapter 16 temperature and time,2024-25,Math,Grade 4,Lesson  Assessments,1,7789640645,21,majority,1
Athenian Academy of Technology and the Arts,chapter 16 temperature and time,2024-25,Math,Grade 4,Assessments,1,7789645215,20,minority,1
Athenian Academy of Technology and the Arts,chapter 19,2024-25,Math,Grade K,Assessments,2,7594791651|7702559192,39,majority,1
Athenian Academy of Technology and the Arts,chapter 19,2024-25,Math,Grade K,Lesson  Assessments,1,7702561241,20,minority,1
Athenian Academy of Technology and the Arts,everyone has a story: weekly assessment: week 2,2024-25,ELA,Grade 2,Lesson  Assessments,2,7334679809|7334680804,35,majority,1
Athenian Academy of Technology and the Arts,everyone has a story: weekly assessment: week 2,2024-25,ELA,Grade 2,Assessments,1,7334678220,19,minority,1
Athenian Academy of Technology and the Arts,inspired by nature unit test,2024-25,ELA,Grade 7,Lesson Assessments,1,7797146594,29,majority,1
Athenian Academy of Technology and the Arts,inspired by nature unit test,2024-25,ELA,Grade 7,Lesson  Assessments,1,7797146594,1,minority,1
Athenian Academy of Technology and the Arts,m5m1vocabulary quiz,2024-25,ELA,Grade 3,Assessments,2,7687592490|7688416594,39,majority,1
Athenian Academy of Technology and the Arts,m5m1vocabulary quiz,2024-25,ELA,Grade 3,Lesson  Assessments,1,7689301066,20,minority,1
Athenian Academy of Technology and the Arts,m5w1 vocab quiz,2024-25,ELA,Grade 5,Assessments,1,7688014588,19,majority,1
Athenian Academy of Technology and the Arts,m5w1 vocab quiz,2024-25,ELA,Grade 5,Lesson  Assessments,1,7687967795,19,minority,1
Athenian Academy of Technology and the Arts,m7w2 vocab quiz,2024-25,ELA,Grade 5,Assessments,1,7789257999,19,majority,1
Athenian Academy of Technology and the Arts,m7w2 vocab quiz,2024-25,ELA,Grade 5,Lesson  Assessments,1,7789275406,18,minority,1
Athenian Academy of Technology and the Arts,module 7 week 2 vocabulary quiz,2024-25,ELA,Grade 2,Lesson  Assessments,2,7445551772|7787922452,35,majority,1
Athenian Academy of Technology and the Arts,module 7 week 2 vocabulary quiz,2024-25,ELA,Grade 2,Assessments,1,7787916956,19,minority,1
Athenian Academy of Technology and the Arts,module assessment: once upon a time,2024-25,ELA,Grade 2,Lesson  Assessments,2,7334677961|7334679551,27,majority,1
Athenian Academy of Technology and the Arts,module assessment: once upon a time,2024-25,ELA,Grade 2,Assessments,2,7334677961|7334680580,21,minority,1
Athenian Academy of Technology and the Arts,module assessment: stories on stage,2024-25,ELA,Grade 3,Lesson  Assessments,2,7334740293|7334741824,38,majority,1
Athenian Academy of Technology and the Arts,module assessment: stories on stage,2024-25,ELA,Grade 3,Assessments,2,7334738908|7334741824,21,minority,1
Athenian Academy of Technology and the Arts,module assessment: use your words,2024-25,ELA,Grade 3,Unit-Chap  Assessments,2,7334738663|7334741481,38,majority,1
Athenian Academy of Technology and the Arts,module assessment: use your words,2024-25,ELA,Grade 3,Lesson  Assessments,1,7334739781,18,minority,1
Athenian Academy of Technology and the Arts,"now you see it, now you don't: weekly assessment: week 1",2024-25,ELA,Grade 1,Assessments,2,7334632768|7334633906,39,majority,1
Athenian Academy of Technology and the Arts,"now you see it, now you don't: weekly assessment: week 1",2024-25,ELA,Grade 1,Lesson  Assessments,1,7334635223,17,minority,1
Athenian Academy of Technology and the Arts,project earth: weekly assessment: week 1,2024-25,ELA,Grade 5,Assessments,1,7337889517,19,majority,1
Athenian Academy of Technology and the Arts,project earth: weekly assessment: week 1,2024-25,ELA,Grade 5,Lesson  Assessments,1,7337889366,18,minority,1
Athenian Academy of Technology and the Arts,quarter 3 quiz #1,2024-25,Civics,Grade 8,Assessments,1,7676516420,15,majority,1
Athenian Academy of Technology and the Arts,quarter 3 quiz #1,2024-25,Civics,Grade 8,Lesson  Assessments,1,7676516420,1,minority,1
Athenian Academy of Technology and the Arts,quarter 4 quiz 2,2024-25,History,Grade 7,Lesson  Assessments,1,7789244025,27,majority,1
Athenian Academy of Technology and the Arts,quarter 4 quiz 2,2024-25,History,Grade 7,Assessments,1,7789244025,1,minority,1
Athenian Academy of Technology and the Arts,teamwork: weekly assessment: week 1,2024-25,ELA,Grade 3,Assessments,2,7334738943|7334741890,39,majority,1
Athenian Academy of Technology and the Arts,teamwork: weekly assessment: week 1,2024-25,ELA,Grade 3,Lesson  Assessments,1,7334740354,20,minority,1
Athenian Academy of Technology and the Arts,the big outdoors: weekly assessment: week 2,2024-25,ELA,Grade 1,Assessments,2,7789311174|7789322750,36,majority,1
Athenian Academy of Technology and the Arts,the big outdoors: weekly assessment: week 2,2024-25,ELA,Grade 1,Lesson  Assessments,1,7789295582,19,minority,1
Athenian Academy of Technology and the Arts,tricksters and tall tales: weekly assessment: week 2,2024-25,ELA,Grade 4,Lesson  Assessments,1,7789352689,21,majority,1
Athenian Academy of Technology and the Arts,tricksters and tall tales: weekly assessment: week 2,2024-25,ELA,Grade 4,Assessments,1,7789344259,20,minority,1
Athenian Academy of Technology and the Arts,unit 4 benchmark test: day and night,2024-25,Science,Grade K,Assessments,3,7466000203|7466003785|7466003803,37,majority,1
