school,norm_name,subject,grade,session,assessment_type,subject_id,items,item_ids,students,bucket_role,set_total_students,sample_item_name
Athenian Academy of Technology and the Arts,"above, below, and beyond: weekly assessment: week 2",ELA,Grade 5,2024-25,Assessments,bbbfbde3e56d53380d2085df402993df261dd757577933b900f52e34dafd5563,1,7789365059,20,majority,38,"Above, Below, and Beyond: Weekly Assessment: Week 2"
Athenian Academy of Technology and the Arts,"above, below, and beyond: weekly assessment: week 2",ELA,Grade 5,2024-25,Lesson  Assessments,1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,1,7789371643,18,stranded_minority,38,"Above, Below, and Beyond: Weekly Assessment: Week 2"
Athenian Academy of Technology and the Arts,art everywhere: weekly assessment: week 1,ELA,Grade 4,2024-25,Lesson  Assessments,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,1,7334764745,22,majority,39,Art Everywhere: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,art everywhere: weekly assessment: week 1,ELA,Grade 4,2024-25,Assessments,c53f62a3f4659c38761fa2187dcf1ca3bc3102ad7bbbe7c457d2401f23b84ec2,1,7334764054,17,stranded_minority,39,Art Everywhere: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,chapter 16 temperature and time,Math,Grade 4,2024-25,Lesson  Assessments,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,1,7789640645,21,majority,41,Chapter 16 Temperature and Time
Athenian Academy of Technology and the Arts,chapter 16 temperature and time,Math,Grade 4,2024-25,Assessments,73102ff6b925cd3125aaad774f78573109a7507396c811501827f6dea302eb29,1,7789645215,20,stranded_minority,41,Chapter 16 Temperature and Time
Athenian Academy of Technology and the Arts,chapter 19,Math,Grade K,2024-25,Assessments,3d551410151f0eb73b69873eb104347fca7ae4b6449ac435df7395ad19f682c8,2,7594791651;7702559192,39,majority,59,Chapter 19
Athenian Academy of Technology and the Arts,chapter 19,Math,Grade K,2024-25,Lesson  Assessments,61874ae7941143d0c579612686f2605bbb964d36153680cf2671c0357b1a7c7e,1,7702561241,20,stranded_minority,59,Chapter 19
Athenian Academy of Technology and the Arts,everyone has a story: weekly assessment: week 2,ELA,Grade 2,2024-25,Lesson  Assessments,849e94ce15dc6c4ec5e84eee29762fd83a6227aa0012581fcb1b37ebe5b45836,2,7334679809;7334680804,35,majority,54,Everyone Has a Story: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,everyone has a story: weekly assessment: week 2,ELA,Grade 2,2024-25,Assessments,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,1,7334678220,19,stranded_minority,54,Everyone Has a Story: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,inspired by nature unit test,ELA,Grade 7,2024-25,Lesson Assessments,9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b,1,7797146594,29,majority,30,Inspired by Nature Unit Test
Athenian Academy of Technology and the Arts,inspired by nature unit test,ELA,Grade 7,2024-25,Lesson  Assessments,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,1,7797146594,1,stranded_minority,30,Inspired by Nature Unit Test
Athenian Academy of Technology and the Arts,m5m1vocabulary quiz,ELA,Grade 3,2024-25,Assessments,2b32b5a1ad6701078c41b14dba8a93f19e60a86fdf0ac5356a0d211819fdf242,2,7687592490;7688416594,39,majority,59,M5M1Vocabulary Quiz
Athenian Academy of Technology and the Arts,m5m1vocabulary quiz,ELA,Grade 3,2024-25,Lesson  Assessments,79aef2dda4a61b3dcfaeb91866dbcaf7d6e51d476c14acdab35e3eac25a73e3e,1,7689301066,20,stranded_minority,59,M5M1Vocabulary Quiz
Athenian Academy of Technology and the Arts,m5w1 vocab quiz,ELA,Grade 5,2024-25,Assessments,427c7255dafe34868bdc91d832e56d5eeee1397f4797f34e0370705c226468d9,1,7688014588,19,majority,38,M5W1 Vocab quiz
Athenian Academy of Technology and the Arts,m5w1 vocab quiz,ELA,Grade 5,2024-25,Lesson  Assessments,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,1,7687967795,19,stranded_minority,38,M5W1 Vocab quiz
Athenian Academy of Technology and the Arts,m7w2 vocab quiz,ELA,Grade 5,2024-25,Assessments,7daf35a25c64bbfe4371768bfcdf1b8d02f116c1b7f371a9dda7d9bbfbae0d61,1,7789257999,19,majority,37,M7W2 vocab quiz
Athenian Academy of Technology and the Arts,m7w2 vocab quiz,ELA,Grade 5,2024-25,Lesson  Assessments,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,1,7789275406,18,stranded_minority,37,M7W2 vocab quiz
Athenian Academy of Technology and the Arts,module 7 week 2 vocabulary quiz,ELA,Grade 2,2024-25,Lesson  Assessments,4e9870854f7b869d777b921650ab049d6dd6a9383b64ed144d229655f419c520,2,7445551772;7787922452,35,majority,54,Module 7 Week 2 Vocabulary Quiz
Athenian Academy of Technology and the Arts,module 7 week 2 vocabulary quiz,ELA,Grade 2,2024-25,Assessments,b7b13aa7c5e8d8b860b3c2c183e9f1248cfca12cfdf780aee117bb0161216bad,1,7787916956,19,stranded_minority,54,Module 7 Week 2 Vocabulary Quiz
Athenian Academy of Technology and the Arts,module assessment: once upon a time,ELA,Grade 2,2024-25,Lesson  Assessments,8c12f8ee07c7cf1f69169c0c1b6be88e1f1f66d4f464cf588e921f077de29a53,2,7334677961;7334679551,27,majority,48,Module Assessment: Once Upon a Time
Athenian Academy of Technology and the Arts,module assessment: once upon a time,ELA,Grade 2,2024-25,Assessments,03319b94f7cf6f4a6aff28301341cf9a218ff2d222422cfdba2c6380e464c858,2,7334677961;7334680580,21,stranded_minority,48,Module Assessment: Once Upon a Time
Athenian Academy of Technology and the Arts,module assessment: stories on stage,ELA,Grade 3,2024-25,Lesson  Assessments,44bc01a21f8e0e95e3288a4381823bf6c8b838ac522b1dc89233fa34189e122a,2,7334740293;7334741824,38,majority,59,Module Assessment: Stories on Stage
Athenian Academy of Technology and the Arts,module assessment: stories on stage,ELA,Grade 3,2024-25,Assessments,38b1323fb136a246b11886fa9eb38bf76ce9a5fef72b13e4f7844d2339fb54d6,2,7334738908;7334741824,21,stranded_minority,59,Module Assessment: Stories on Stage
Athenian Academy of Technology and the Arts,module assessment: use your words,ELA,Grade 3,2024-25,Unit-Chap  Assessments,49fbe578d701055f0e20f39f6edc569f91251685be7a3d440244f13efa961b90,2,7334738663;7334741481,38,majority,56,Module Assessment: Use Your Words
