pattern,school_id,item_id,item_name,subject,grade,session,assessment_type,detail,rows_affected
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,Module Assessment: Once Upon a Time,ELA,Grade 2,2024-25,Assessments,subject_id=03319b94f7cf6f4a6aff28301341cf9a218ff2d222422cfdba2c6380e464c858; students=3,48
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,Module Assessment: Once Upon a Time,ELA,Grade 2,2024-25,Lesson  Assessments,subject_id=8c12f8ee07c7cf1f69169c0c1b6be88e1f1f66d4f464cf588e921f077de29a53; students=16,256
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,Module Assessment: Use Your Words,ELA,Grade 3,2024-25,Lesson  Assessments,subject_id=74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672; students=18,414
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,Module Assessment: Use Your Words - 10/21/24,ELA,Grade 3,2024-25,Unit-Chap  Assessments,subject_id=0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924; students=2,46
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7334741824,Module Assessment: Stories on Stage,ELA,Grade 3,2024-25,Assessments,subject_id=38b1323fb136a246b11886fa9eb38bf76ce9a5fef72b13e4f7844d2339fb54d6; students=1,22
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7334741824,Module Assessment: Stories on Stage,ELA,Grade 3,2024-25,Lesson  Assessments,subject_id=44bc01a21f8e0e95e3288a4381823bf6c8b838ac522b1dc89233fa34189e122a; students=18,396
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Grade 1,2024-25,Lesson  Assessments,subject_id=6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15; students=16,208
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Grade 1,2024-25,Unit-Chap  Assessments,subject_id=500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b; students=1,13
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Grade 1,2024-25,Lesson  Assessments,subject_id=f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673; students=17,170
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Grade 1,2024-25,Unit-Chap  Assessments,subject_id=d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889; students=1,10
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7466000203,Unit 4 Benchmark Test: Day and Night,Science,Grade K,2024-25,Lesson  Assessments,subject_id=db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f; students=20,400
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7466000203,Unit 4 Benchmark Test: Day and Night,Science,Grade K,2024-25,Assessments,subject_id=18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689; students=1,20
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7661452061,Chapter 14,Math,Grade 1,2024-25,Lesson  Assessments,subject_id=85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49; students=1,19
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7661452061,Chapter 14,Math,Grade 1,2024-25,Assessments,subject_id=171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67; students=17,323
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7661455143,Chapter 9,Math,Grade 2,2024-25,Lesson  Assessments,subject_id=58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848; students=2,66
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7661455143,Chapter 9,Math,Grade 2,2024-25,Assessments,subject_id=4b9bbdd81191adebb097de0effae310f2a1662dfae574531f89d51174035cd3a; students=12,396
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7676516420,Quarter 3 Quiz #1,Civics,Grade 8,2024-25,Lesson  Assessments,subject_id=3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d; students=1,5
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7676516420,Quarter 3 Quiz #1,Civics,Grade 8,2024-25,Assessments,subject_id=82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f; students=15,75
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7687741861,Chapter 12,Math,Grade K,2024-25,Lesson  Assessments,subject_id=9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14; students=19,380
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7687741861,Chapter 12,Math,Grade K,2024-25,Assessments,subject_id=e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6; students=2,9
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7789244025,Quarter 4 Quiz 2,History,Grade 7,2024-25,Lesson  Assessments,subject_id=5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0; students=27,135
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7789244025,Quarter 4 Quiz 2,History,Grade 7,2024-25,Assessments,subject_id=921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3; students=1,5
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7797146594,Inspired by Nature Unit Test,ELA,Grade 7,2024-25,Lesson Assessments,subject_id=9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b; students=29,1508
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,7797146594,Inspired by Nature Unit Test,ELA,Grade 7,2024-25,Lesson  Assessments,subject_id=bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846; students=1,52
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,8112622324,Chapter 16.1,Math,Grade K,2025-26,Lesson  Assessments,subject_id=eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f; students=23,368
A_split_item_multi_subject_id,019eb11c-410a-7ffb-86e6-a0294c669670,8112622324,Chapter 16 Part 1,Math,Grade K,2025-26,Lesson  Assessments,subject_id=2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655; students=1,16
A_split_item_multi_subject_id,019eb11c-413b-7a66-a7d8-a18f14736ede,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,ELA,Grade 4,2025-26,Summative,subject_id=17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61; students=17,153
A_split_item_multi_subject_id,019eb11c-413b-7a66-a7d8-a18f14736ede,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,ELA,Grade 4,2025-26,Summative,subject_id=481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da; students=1,9
A_split_item_multi_subject_id,019eb11c-413b-7a66-a7d8-a18f14736ede,8362776921,Topic 8,HS Algebra I,Higher-Ed,2025-26,topic,subject_id=38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063; students=1,33
A_split_item_multi_subject_id,019eb11c-413b-7a66-a7d8-a18f14736ede,8362776921,Topic 8,HS Algebra I,Regular 9–12,2025-26,topic,subject_id=4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128; students=16,539
A_split_item_multi_subject_id,019eb11c-413c-7ed9-872e-0fe5e9a947b6,7610639442,Chapter 1 Test: Counting and Number Sense,Math,Grade 1,2024-25,Chap Test,subject_id=82f644f56225014e33a80906e11a1afacafeeab392378cbcc188a8b67f5f87fc; students=1,9
A_split_item_multi_subject_id,019eb11c-413c-7ed9-872e-0fe5e9a947b6,7610639442,Chapter 1 Test: Counting and Number Sense,Math,Grade 1,2025-26,Summative,subject_id=d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165; students=1,15
A_split_item_multi_subject_id,019eb11c-413c-7ed9-872e-0fe5e9a947b6,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading,Grade 4,2025-26,Weekly Test,subject_id=5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56; students=3,30
A_split_item_multi_subject_id,019eb11c-413c-7ed9-872e-0fe5e9a947b6,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading,Grade 4,2025-26,Summative,subject_id=07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab; students=15,140
B_stale_dim_item_subject_pointer,019eb11c-410a-7ffb-86e6-a0294c669670,7334633906,"Now You See It, Now You Don't: Weekly Assessment: Week 1",ELA,Grade 1,2024-25,Lesson  Assessments,dim_item.subject_id=ade61de964fb063c1756e5a1fd93d2f332fc838d4ac93a0e4e5b9b42fb9d4b79 but ALL fact rows use f858b4909dcbf6914df81425b9539806c033454232a12bb3104658c029880199,342
B_stale_dim_item_subject_pointer,019eb11c-410a-7ffb-86e6-a0294c669670,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,ELA,Grade 2,2024-25,Lesson  Assessments,dim_item.subject_id=849e94ce15dc6c4ec5e84eee29762fd83a6227aa0012581fcb1b37ebe5b45836 but ALL fact rows use b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,342
B_stale_dim_item_subject_pointer,019eb11c-410a-7ffb-86e6-a0294c669670,7334740354,Teamwork: Weekly Assessment: Week 1,ELA,Grade 3,2024-25,Assessments,dim_item.subject_id=055ba38dac067db7fd724cb958be10189e3274f9ad60c6e736d56271a40ebbac but ALL fact rows use c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,300
B_stale_dim_item_subject_pointer,019eb11c-410a-7ffb-86e6-a0294c669670,7334764745,Art Everywhere: Weekly Assessment: Week 1,ELA,Grade 4,2024-25,Assessments,dim_item.subject_id=c53f62a3f4659c38761fa2187dcf1ca3bc3102ad7bbbe7c457d2401f23b84ec2 but ALL fact rows use ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,374
B_stale_dim_item_subject_pointer,019eb11c-410a-7ffb-86e6-a0294c669670,7337889366,Project Earth: Weekly Assessment: Week 1,ELA,Grade 5,2024-25,Assessments,dim_item.subject_id=aea1090d8b5c45186539d2517d835e4d8da91c21729e2d9c878cb94eb8c65920 but ALL fact rows use e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,324
B_stale_dim_item_subject_pointer,019eb11c-410a-7ffb-86e6-a0294c669670,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade K,2024-25,Lesson  Assessments,dim_item.subject_id=db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5 but ALL fact rows use ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,394
