check_name,school_id,subject_id,item_id,drift_type,cube_students,fact_students,cube_questions,fact_questions,cube_standards,fact_standards,cube_score,fact_score,cube_possible,fact_possible,cube_avg,fact_avg
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,VALUE_DRIFT,36,56,4,6,0,0,4208.0000,6416.0000,4608.0000,7168.0000,0.913194,0.895089
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,MISSING_FROM_CUBE,,20,,2,,0,,2208.0000,,2560.0000,,0.862500
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,7624644120,MISSING_FROM_CUBE,,19,,7,,0,,86.0000,,133.0000,,0.646617
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,7891794271,MISSING_FROM_CUBE,,17,,20,,2,,218.0000,,340.0000,,0.641176
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687663925,MISSING_FROM_CUBE,,18,,20,,2,,592.0000,,658.0000,,0.899696
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,VALUE_DRIFT,28,41,21,34,5,5,249.5000,389.5000,323.0000,514.0000,0.772446,0.757782
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,MISSING_FROM_CUBE,,18,,1,,0,,1395.0000,,1458.0000,,0.956790
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,VALUE_DRIFT,20,38,1,2,0,0,1602.0000,2997.0000,1620.0000,3078.0000,0.988889,0.973684
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,VALUE_DRIFT,37,54,16,24,0,0,242.0000,358.0000,299.0000,435.0000,0.809365,0.822989
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,MISSING_FROM_CUBE,,17,,8,,0,,116.0000,,136.0000,,0.852941
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,VALUE_DRIFT,1,19,5,10,0,0,4.0000,79.0000,5.0000,95.0000,0.800000,0.831579
