school_name,reason,item_id,item_name,subject_label,grade_label,evidence_grade,session,students,rows
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7616266129,Inherited Traits 'Genius Challenge',Algebra,Grade 8,Grade 1,2024-25,18,180
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7626085761,Plant Needs 'Genius Challenge',Algebra,Grade 8,Grade 1,2024-25,18,126
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7626416439,HW 12/9 Spiral Review,Math,Grade 5,Grade 7,2024-25,28,1233
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7626433775,HW 12/9 Spiral Review,Math,Grade 5,Grade 6,2024-25,29,826
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7628347421,HW 12/10 Spiral Review,Math,Grade 5,Grade 6,2024-25,29,1423
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7628391502,HW 12/10 Spiral Review,Math,Grade 5,Grade 7,2024-25,29,2004
Athenian Academy of Technology and the Arts,A_misfiled_grade_item,7892346412,Through an Animal?s Eyes Unit Test,ELA,Grade 8,Grade 6,2025-26,39,2145
Athenian Academy of Technology and the Arts,B_above_grade_standards,7338068286,Unit 1 Benchmark Test: Nature of Science,Science,Grade 8,std:6,2024-25,,35
Athenian Academy of Technology and the Arts,B_above_grade_standards,7702567070,Module 10 Test,Math,Grade 7,std:912,2024-25,,47
Athenian Academy of Technology and the Arts,B_above_grade_standards,8203118282,2 Digit Addition,Math,Grade K,std:2,2025-26,,15
Athenian Academy of Technology and the Arts,B_above_grade_standards,8203127041,2 Digit Addition,Math,Grade K,std:2,2025-26,,15
Athenian Academy of Technology and the Arts,B_above_grade_standards,8203574006,2 Digit Addition,Math,Grade K,std:2,2025-26,,15
Athenian Academy of Technology and the Arts,B_above_grade_standards,8225739858,Adding 3 Numbers,Math,Grade K,std:1,2025-26,,15
Athenian Academy of Technology and the Arts,B_above_grade_standards,8226074862,Adding 3 Numbers,Math,Grade K,std:1,2025-26,,15
Athenian Academy of Technology and the Arts,B_above_grade_standards,8226238606,Adding 3 Numbers,Math,Grade K,std:1,2025-26,,14
Athenian Academy of Technology and the Arts,C_qd_vs_dimsubject_grade_drift,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",ELA,Grade 1,qd:Grade K,2024-25,,22
Athenian Academy of Technology and the Arts,C_qd_vs_dimsubject_grade_drift,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade 1,qd:Grade K,2024-25,,36
Athenian Academy of Technology and the Arts,C_qd_vs_dimsubject_grade_drift,7625334305,Science CW FSSA book matter #1,Science,Grade 5,qd:Grade 4,2024-25,,9
Athenian Academy of Technology and the Arts,C_qd_vs_dimsubject_grade_drift,7799442022,Module Assessment: Home of the Free and the Brave,ELA,Grade K,qd:Grade 1,2024-25,,30
Athenian Academy of Technology and the Arts,C_qd_vs_dimsubject_grade_drift,7892346412,Through an Animal?s Eyes Unit Test,ELA,Grade 8,qd:Grade 6,2025-26,,50
Athenian Academy of Technology and the Arts,C_qd_vs_dimsubject_grade_drift,8342066250,Module Assessment: Zoom In!,ELA,Grade K,qd:Grade 1,2025-26,,23
Central Florida Preparatory School,C_qd_vs_dimsubject_grade_drift,7816901887,Home Sweet Habitat: Weekly Assessment: Week 3,ELA,Grade 2,qd:Grade 3,2024-25,,14
Central Florida Preparatory School,C_qd_vs_dimsubject_grade_drift,7823076023,Home Sweet Habitat: Weekly Assessment: Week 3,ELA,Grade 2,qd:Grade 3,2024-25,,9
Central Florida Preparatory School,C_qd_vs_dimsubject_grade_drift,8347030584,Topic 8: Sectionalism and Civil War (1820-1865),History,Grade 8,qd:Grade 7,2025-26,,20
Athenian Academy of Technology and the Arts,D1_cube_qs_stale_grade,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade 1,cube:Grade K,2024-25,,18
Athenian Academy of Technology and the Arts,D1_cube_qs_stale_grade,7789640645,Chapter 16 Temperature and Time,Math,Grade 4,cube:Grade 3,2024-25,,24
Athenian Academy of Technology and the Arts,D1_cube_qs_stale_grade,7799442022,Module Assessment: Home of the Free and the Brave,ELA,Grade K,cube:Grade 1,2024-25,,30
Athenian Academy of Technology and the Arts,D1_cube_qs_stale_grade,7892346412,Through an Animal?s Eyes Unit Test,ELA,Grade 8,cube:Grade 6,2025-26,,50
Athenian Academy of Technology and the Arts,D1_cube_qs_stale_grade,8325672509,Module 15 Test,Math,Grade 6,cube:Grade K,2025-26,,92
