school_id,item_id,name_main,bucket_main,st_main,q_main,name_frag,bucket_frag,st_frag,q_frag,student_overlap,sections_main,sections_frag
019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,Module Assessment: Once Upon a Time,ELA/Grade 2/Lesson  Assessments/2024-25,16,16,Module Assessment: Once Upon a Time,ELA/Grade 2/Assessments/2024-25,3,16,0,Sec 3,Sec 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,Module Assessment: Use Your Words,ELA/Grade 3/Lesson  Assessments/2024-25,18,20,Module Assessment: Use Your Words - 10/21/24,ELA/Grade 3/Unit-Chap  Assessments/2024-25,2,20,0,Sec 2,Sec 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334741824,Module Assessment: Stories on Stage,ELA/Grade 3/Lesson  Assessments/2024-25,18,21,Module Assessment: Stories on Stage,ELA/Grade 3/Assessments/2024-25,1,21,0,,Sec 1
019eb11c-410a-7ffb-86e6-a0294c669670,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science/Grade 1/Lesson  Assessments/2024-25,16,10,Unit 8 Benchmark Test: Living Things and  Their Parents,Science/Grade 1/Unit-Chap  Assessments/2024-25,1,10,0,Sec 3,Sec 3
019eb11c-410a-7ffb-86e6-a0294c669670,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science/Grade 1/Lesson  Assessments/2024-25,17,10,Unit 9 Benchmark Test: Plant and Animal Needs,Science/Grade 1/Unit-Chap  Assessments/2024-25,1,10,0,Sec 3,Sec 3
019eb11c-410a-7ffb-86e6-a0294c669670,7466000203,Unit 4 Benchmark Test: Day and Night,Science/Grade K/Lesson  Assessments/2024-25,20,10,Unit 4 Benchmark Test: Day and Night,Science/Grade K/Assessments/2024-25,1,10,0,Sec 3,Sec 3
019eb11c-410a-7ffb-86e6-a0294c669670,7661452061,Chapter 14,Math/Grade 1/Assessments/2024-25,17,18,Chapter 14,Math/Grade 1/Lesson  Assessments/2024-25,1,18,0,Sec 1,Sec 1
019eb11c-410a-7ffb-86e6-a0294c669670,7661455143,Chapter 9,Math/Grade 2/Assessments/2024-25,12,20,Chapter 9,Math/Grade 2/Lesson  Assessments/2024-25,2,20,0,Sec 2,Sec 1
019eb11c-410a-7ffb-86e6-a0294c669670,7676516420,Quarter 3 Quiz #1,Civics/Grade 8/Assessments/2024-25,15,5,Quarter 3 Quiz #1,Civics/Grade 8/Lesson  Assessments/2024-25,1,5,0,Sec 1,Sec 1
019eb11c-410a-7ffb-86e6-a0294c669670,7687741861,Chapter 12,Math/Grade K/Lesson  Assessments/2024-25,19,15,Chapter 12,Math/Grade K/Assessments/2024-25,2,5,2,Sec 3,Sec 3
019eb11c-410a-7ffb-86e6-a0294c669670,7789244025,Quarter 4 Quiz 2,History/Grade 7/Lesson  Assessments/2024-25,27,5,Quarter 4 Quiz 2,History/Grade 7/Assessments/2024-25,1,5,0,Sec 1,Sec 1
019eb11c-410a-7ffb-86e6-a0294c669670,7797146594,Inspired by Nature Unit Test,ELA/Grade 7/Lesson Assessments/2024-25,29,40,Inspired by Nature Unit Test,ELA/Grade 7/Lesson  Assessments/2024-25,1,40,0,Sec 1,Sec 1
019eb11c-410a-7ffb-86e6-a0294c669670,8112622324,Chapter 16.1,Math/Grade K/Lesson  Assessments/2025-26,23,12,Chapter 16 Part 1,Math/Grade K/Lesson  Assessments/2025-26,1,12,0,Sec 3,Sec 3
019eb11c-413b-7a66-a7d8-a18f14736ede,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,ELA/Grade 4/Summative/2025-26,17,9,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,ELA/Grade 4/Summative/2025-26,1,9,0,Sec 04 LA - A,Sec 04 LA - A
019eb11c-413b-7a66-a7d8-a18f14736ede,8362776921,Topic 8,HS Algebra I/Regular 9–12/topic/2025-26,16,18,Topic 8,HS Algebra I/Higher-Ed/topic/2025-26,1,18,0,Sec HS ALG I - 7th,Sec HS US HIST - 4th
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7610639442,Chapter 1 Test: Counting and Number Sense,Math/Grade 1/Chap Test/2024-25,1,9,Chapter 1 Test: Counting and Number Sense,Math/Grade 1/Summative/2025-26,1,9,0,Sec 1,Sec 1
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading/Grade 4/Summative/2025-26,15,10,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading/Grade 4/Weekly Test/2025-26,3,10,2,Sec Section A,Sec Section A
