school_id,school_id_csv,item_id,item_name,fact_subj,dim_subj,fact_subject,fact_atype,fact_grade,fact_session,dim_subject,dim_atype,dim_grade,dim_session
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334633906,"Now You See It, Now You Don't: Weekly Assessment: Week 1",f858b4909dcbf6914df81425b9539806c033454232a12bb3104658c029880199,ade61de964fb063c1756e5a1fd93d2f332fc838d4ac93a0e4e5b9b42fb9d4b79,ELA,Assessments,Grade 1,2024-25,ELA,Lesson  Assessments,Grade 1,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334677961,Module Assessment: Once Upon a Time,8c12f8ee07c7cf1f69169c0c1b6be88e1f1f66d4f464cf588e921f077de29a53,03319b94f7cf6f4a6aff28301341cf9a218ff2d222422cfdba2c6380e464c858,ELA,Lesson  Assessments,Grade 2,2024-25,ELA,Assessments,Grade 2,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,849e94ce15dc6c4ec5e84eee29762fd83a6227aa0012581fcb1b37ebe5b45836,ELA,Assessments,Grade 2,2024-25,ELA,Lesson  Assessments,Grade 2,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334739781,Module Assessment: Use Your Words - 10/21/24,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,ELA,Lesson  Assessments,Grade 3,2024-25,ELA,Unit-Chap  Assessments,Grade 3,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334740354,Teamwork: Weekly Assessment: Week 1,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,055ba38dac067db7fd724cb958be10189e3274f9ad60c6e736d56271a40ebbac,ELA,Lesson  Assessments,Grade 3,2024-25,ELA,Assessments,Grade 3,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334741824,Module Assessment: Stories on Stage,44bc01a21f8e0e95e3288a4381823bf6c8b838ac522b1dc89233fa34189e122a,38b1323fb136a246b11886fa9eb38bf76ce9a5fef72b13e4f7844d2339fb54d6,ELA,Lesson  Assessments,Grade 3,2024-25,ELA,Assessments,Grade 3,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7334764745,Art Everywhere: Weekly Assessment: Week 1,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,c53f62a3f4659c38761fa2187dcf1ca3bc3102ad7bbbe7c457d2401f23b84ec2,ELA,Lesson  Assessments,Grade 4,2024-25,ELA,Assessments,Grade 4,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7337889366,Project Earth: Weekly Assessment: Week 1,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,aea1090d8b5c45186539d2517d835e4d8da91c21729e2d9c878cb94eb8c65920,ELA,Lesson  Assessments,Grade 5,2024-25,ELA,Assessments,Grade 5,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5,ELA,Assessments,Grade K,2024-25,ELA,Lesson  Assessments,Grade K,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,Science,Lesson  Assessments,Grade 1,2024-25,Science,Unit-Chap  Assessments,Grade 1,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,Science,Lesson  Assessments,Grade 1,2024-25,Science,Unit-Chap  Assessments,Grade 1,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7338364983,Unit 4 Benchmark Test: Earth?s Resources,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3,Science,Lesson  Assessments,Grade 1,2024-25,Science,Assessments,Grade 1,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7338394693,Unit 4 Benchmark Test: Weather,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,b55dc6f59fd505704be5fa1a63c81872244bfc6f9e3635f118fcbeb85d842d35,Science,Lesson  Assessments,Grade 2,2024-25,Science,Unit-Chap  Assessments,Grade 2,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7338394737,Unit 9 Benchmark Test: The Human Body,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,5f3047f843a172244c403bf721bf28cc9b7f83d4c70956716853e991140b6f7a,Science,Lesson  Assessments,Grade 2,2024-25,Science,Assessments,Grade 2,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7466000203,Unit 4 Benchmark Test: Day and Night,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,Science,Lesson  Assessments,Grade K,2024-25,Science,Assessments,Grade K,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7496090393,Chapter 11,9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,35e7d027ee48ae212f79190d1093765179e51d1399d7e437a23c9de21803fb51,Math,Lesson  Assessments,Grade 3,2024-25,Math,Assessments,Grade 3,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7594902377,Chapter 12,a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,66e910e317cc42a7da6fe50bb65e041d6b5507285d97c31a6997de77c5472ab2,Math,Lesson  Assessments,Grade 5,2024-25,Math,Assessments,Grade 5,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7661450418,Chapter 9,4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,8d4ab7d557f51804b63fca947048fabc6daf5cf2f6d5702d34454e22745f66d1,Math,Lesson  Assessments,Grade 1,2024-25,Math,Assessments,Grade 1,2024-25
