csv_id,norm_name,session,legacy_rows,legacy_subj_ids,legacy_items,legacy_types,legacy_subjects,legacy_grades
186370968,"above, below, and beyond: weekly assessment: week 2",2024-25,40,1,2, Lesson  Assessments,ELA,Grade 5
186370968,art everywhere: weekly assessment: week 1,2024-25,34,1,2, Lesson  Assessments,ELA,Grade 4
186370968,chapter 16 temperature and time,2024-25,48,1,2, Lesson  Assessments,Math,Grade 4
186370968,chapter 19,2024-25,57,1,3, Lesson  Assessments,Math,Grade K
186370968,everyone has a story: weekly assessment: week 2,2024-25,54,1,3, Lesson  Assessments,ELA,Grade 2
186370968,inspired by nature unit test,2024-25,50,1,1, Lesson  Assessments,ELA,Grade 7
186370968,m5m1vocabulary quiz,2024-25,0,0,0,(ABSENT),,
186370968,m5w1 vocab quiz,2024-25,0,0,0,(ABSENT),,
186370968,m7w2 vocab quiz,2024-25,0,0,0,(ABSENT),,
186370968,module 7 week 2 vocabulary quiz,2024-25,0,0,0,(ABSENT),,
186370968,module assessment: once upon a time,2024-25,48,1,3, Lesson  Assessments,ELA,Grade 2
186370968,module assessment: stories on stage,2024-25,63,1,3, Lesson  Assessments,ELA,Grade 3
186370968,module assessment: use your words,2024-25,69,2,3, Lesson  Assessments |  Unit-Chap  Assessments,ELA,Grade 3
186370968,"now you see it, now you don't: weekly assessment: week 1",2024-25,54,1,3, Lesson  Assessments,ELA,Grade 1
186370968,project earth: weekly assessment: week 1,2024-25,36,1,2, Lesson  Assessments,ELA,Grade 5
186370968,quarter 3 quiz #1,2024-25,0,0,0,(ABSENT),,
186370968,quarter 4 quiz 2,2024-25,0,0,0,(ABSENT),,
186370968,teamwork: weekly assessment: week 1,2024-25,45,1,3, Lesson  Assessments,ELA,Grade 3
186370968,the big outdoors: weekly assessment: week 2,2024-25,66,1,3, Lesson  Assessments,ELA,Grade 1
186370968,tricksters and tall tales: weekly assessment: week 2,2024-25,40,1,2, Lesson  Assessments,ELA,Grade 4
186370968,unit 4 benchmark test: day and night,2024-25,60,1,3, Lesson  Assessments,Science,Grade K
186370968,unit 4 benchmark test: earth?s resources,2024-25,33,1,3, Lesson  Assessments,Science,Grade 1
186370968,unit 4 benchmark test: weather,2024-25,54,1,3, Lesson  Assessments,Science,Grade 2
186370968,unit 5 benchmark test: all about matter,2024-25,48,1,3, Lesson  Assessments,Science,Grade 2
186370968,unit 6 benchmark test: heat sources,2024-25,66,1,3, Lesson  Assessments,Science,Grade 3
186370968,unit 8 benchmark test: living things and their parents,2024-25,39,1,3, Lesson  Assessments,Science,Grade 1
186370968,unit 9 benchmark test: plant and animal needs,2024-25,30,1,3, Lesson  Assessments,Science,Grade 1
186370968,unit 9 benchmark test: the human body,2024-25,42,1,3, Lesson  Assessments,Science,Grade 2
554425139,topic 6: the constitution protects your rights: defend all rights,2025-26,20,1,1,Topic,Civics,Grade 7
554425139,topic 9: civilizations of east asia and southeast asia (250 bce - 1644 ce),2025-26,20,1,1,Topic,History,Grade 6
7440430446,what makes us who we are?: weekly assessment: week 2,2025-26,10,1,1,Summative,Reading,Grade 4
