school_name,session,item_id,item_name,question_id,position_number,fact_pp,dqd_tp
Athenian Academy of Technology and the Arts,2024-25,7337971335,Chapter 6 Perimeter and Area,2018660747,1,3.0000,1.0000
Athenian Academy of Technology and the Arts,2024-25,7337971335,Chapter 6 Perimeter and Area,2018660747,1,1.0000,3.0000
Athenian Academy of Technology and the Arts,2024-25,7337971335,Chapter 6 Perimeter and Area,2018660747,2,3.0000,1.0000
Athenian Academy of Technology and the Arts,2024-25,7337971335,Chapter 6 Perimeter and Area,2018660747,2,1.0000,3.0000
Athenian Academy of Technology and the Arts,2024-25,7337971335,Chapter 6 Perimeter and Area,2018660747,3,1.0000,3.0000
Athenian Academy of Technology and the Arts,2024-25,7702559165,Chapter 16,2112892373,3,3.0000,1.0000
Athenian Academy of Technology and the Arts,2025-26,7892348513,Are Bionic Superhumans on the Horizon? Selection Test,2156294016,n/a,2.0000,1.0000
Central Florida Preparatory School,2025-26,8341726127,Topic 8: The Industrial Revolution (1750?1914),2265107056,n/a,0.0000,1.0000
Central Florida Preparatory School,2025-26,8369994919,Topic 9: Nationalism and the Spread of Democracy (1790–1914),2271800941,3,4.0000,1.0000
Crestwell School,2025-26,7930690380,What a Story: Weekly Assessment: Week 1,2163949208,n/a,2.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635389,2,6.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635389,3,6.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635389,6,6.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635391,1,2.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635398,n/a,3.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635400,1,3.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635400,2,3.0000,1.0000
Crestwell School,2025-26,8007313247,Chapter 2 Test: Use Place Value,2187635400,3,3.0000,1.0000
Crestwell School,2025-26,8030023352,Use Your Words: Weekly Assessment: Week 1,2192781400,n/a,1.0000,2.0000
Crestwell School,2025-26,8030068539,Come to Your Senses: Weekly Assessment: Week 1,2192790322,n/a,2.0000,5.0000
Crestwell School,2025-26,8030068554,Module Assessment: Come to Your Senses,2192790353,n/a,2.0000,5.0000
Crestwell School,2025-26,8043771169,Come to Your Senses: Weekly Assessment: Week 2,2195404684,n/a,2.0000,1.0000
Crestwell School,2025-26,8043771169,Come to Your Senses: Weekly Assessment: Week 2,2195404685,n/a,2.0000,5.0000
Crestwell School,2025-26,8076248252,Module Assessment: Natural Disasters,2202520377,n/a,7.0000,1.0000
Crestwell School,2025-26,8076248252,Module Assessment: Natural Disasters,2202520386,n/a,2.0000,1.0000
Crestwell School,2025-26,8076251173,Module Assessment: Natural Disasters,2202521199,n/a,7.0000,1.0000
Crestwell School,2025-26,8076251173,Module Assessment: Natural Disasters,2202521207,n/a,2.0000,1.0000
Crestwell School,2025-26,8089974282,Module Assessment: Once Upon a Time,2205490801,n/a,5.0000,1.0000
Crestwell School,2025-26,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978506,n/a,4.0000,1.0000
Crestwell School,2025-26,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978507,1,4.0000,1.0000
Crestwell School,2025-26,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978509,2,3.0000,1.0000
Crestwell School,2025-26,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978510,3,4.0000,1.0000
Crestwell School,2025-26,8336368512,Module Assessment: Communication Nation,2263845734,n/a,2.0000,1.0000
