school_name,subject,grade,session,item_name,item_id,subject_id,my_students,item_section_total_students,n_subject_ids_same_item_section,classification
Athenian Academy of Technology and the Arts,ELA,Grade 7,2024-25,Inspired by Nature Unit Test,7797146594,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,1,30,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,History,Grade 7,2024-25,Quarter 4 Quiz 2,7789244025,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,1,28,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,Math,Grade K,2025-26,Chapter 16 Part 1,8112622324,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,1,24,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,ELA,Grade 3,2024-25,Module Assessment: Use Your Words - 10/21/24,7334739781,0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,2,20,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,Math,Grade K,2024-25,Chapter 12,7687741861,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,2,19,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,Math,Grade 1,2024-25,Chapter 14,7661452061,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,1,18,2,PIPELINE-FRAGMENT
Central Florida Preparatory School,ELA,Grade 4,2025-26,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,8159775714,481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,1,18,2,PIPELINE-FRAGMENT
Central Florida Preparatory School,HS Algebra I,Higher-Ed,2025-26,Topic 8,8362776921,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,1,17,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,Civics,Grade 8,2024-25,Quarter 3 Quiz #1,7676516420,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,1,16,2,PIPELINE-FRAGMENT
Athenian Academy of Technology and the Arts,Math,Grade 2,2024-25,Chapter 9,7661455143,58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,2,14,2,PIPELINE-FRAGMENT
Crestwell School,Math,Grade 1,2025-26,Chapter 1 Test: Counting and Number Sense,7610639442,d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165,1,2,2,PIPELINE-FRAGMENT
Central Florida Preparatory School,HS English II,Regular 9–12,2025-26,Unit 2 Part 1,8154778691,ded5a0d919a5f1c983467e006bd752e9b703e621c11e6a86f6805c560210687e,2,2,1,source-faithful-sparse
Central Florida Preparatory School,HS Honors Algebra I,Higher-Ed,2025-26,Topic 5,8335566941,ba6867d75d18aaa93ef7acbdd9f0e21f597547e04bdde374b3f87b4fdb135735,2,2,1,source-faithful-sparse
Central Florida Preparatory School,HS Geometry,Regular 9–12,2025-26,Topic 9,8355591256,835ce5090104e64c978b1571e99a59e2dd4ab4fba6d1857d8d009b02c66e4152,1,1,1,source-faithful-sparse
Crestwell School,Math,Grade 1,2025-26,Chapter 3 Test: Compare Numbers,7610639444,4b7192779063fe0e77cf90265f62f7a38c8a007d59f991792cc2b4f8a0740a56,1,1,1,source-faithful-sparse
Crestwell School,Math,Grade 5,2025-26,Chapter 17 Test: Graphs and Patterns,7998804173,9e4a316f8ee139128770994f6fb9150a287061dc5a872ee134cb9b06d7dd01eb,1,1,1,source-faithful-sparse
Athenian Academy of Technology and the Arts,ELA,Grade 2,2024-25,Module 7 Week 3 Vocabulary Quiz,7445551773,e76e324f9f56e1f2cf220e1c0e40ebff5cdecf1e3279627b15777ac01514cb17,1,1,1,source-faithful-sparse
Athenian Academy of Technology and the Arts,ELA,Grade 3,2025-26,Animal Behaviors: Weekly Assessment: Week 2,7892331279,3e25de9b475af25a2d450e54983f43324632d61b9f1083dc463731fd075c5bbe,1,1,1,source-faithful-sparse
Central Florida Preparatory School,Math,Grade 6,2025-26,Topic 1,7964041607,5d8f851d14dfdfc101b0b39850a49681431910f2be3f8ef7df53e591c8930d19,1,1,1,source-faithful-sparse
