pattern,school_name,item_id,item_name,subject,grade,session,assessment_type,n_students,n_rows,g_null,g_zero,avg_grade,sibling_item_id,sibling_label,sibling_students,sibling_avg_grade,classification
A_crossband_remnant,Central Florida Preparatory School,8362776921,Topic 8,HS Algebra I,Regular 9–12,2025-26,topic,16,539,0,0,9.21,8362776921,Topic 8 | HS Algebra I | Higher-Ed | 2025-26 | topic,1,0.00,main_bucket
A_crossband_remnant,Central Florida Preparatory School,8362776921,Topic 8,HS Algebra I,Higher-Ed,2025-26,topic,1,33,0,33,0.00,8362776921,Topic 8 | HS Algebra I | Regular 9–12 | 2025-26 | topic,16,9.21,all_zero_or_null_stale_remnant
B_rename_fragment,Athenian Academy of Technology and the Arts,8112622324,Chapter 16.1,Math,Grade K,2025-26,Lesson  Assessments,23,368,0,0,13.70,8112622324,Chapter 16 Part 1 | Math | Grade K | 2025-26 | Lesson  Assessments,1,4.00,main_bucket
B_rename_fragment,Athenian Academy of Technology and the Arts,8112622324,Chapter 16 Part 1,Math,Grade K,2025-26,Lesson  Assessments,1,16,0,0,4.00,8112622324,Chapter 16.1 | Math | Grade K | 2025-26 | Lesson  Assessments,23,13.70,stale_label_fragment_graded
B_rename_fragment,Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words,ELA,Grade 3,2024-25,Lesson  Assessments,18,414,0,0,14.50,7334739781,Module Assessment: Use Your Words - 10/21/24 | ELA | Grade 3 | 2024-25 | Unit-Chap  Assessments,2,12.50,main_bucket
B_rename_fragment,Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words - 10/21/24,ELA,Grade 3,2024-25,Unit-Chap  Assessments,2,46,0,0,12.50,7334739781,Module Assessment: Use Your Words | ELA | Grade 3 | 2024-25 | Lesson  Assessments,18,14.50,stale_label_fragment_graded
B_rename_fragment,Central Florida Preparatory School,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,ELA,Grade 4,2025-26,Summative,1,9,9,0,,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18 | ELA | Grade 4 | 2025-26 | Summative,17,4.82,all_zero_or_null_stale_remnant
B_rename_fragment,Central Florida Preparatory School,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,ELA,Grade 4,2025-26,Summative,17,153,0,0,4.82,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 | ELA | Grade 4 | 2025-26 | Summative,1,,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,Math,Grade K,2024-25,Lesson  Assessments,19,380,0,0,12.26,7687741861,Chapter 12 | Math | Grade K | 2024-25 | Assessments,2,11.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,Math,Grade K,2024-25,Assessments,2,9,0,0,11.00,7687741861,Chapter 12 | Math | Grade K | 2024-25 | Lesson  Assessments,19,12.26,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7661452061,Chapter 14,Math,Grade 1,2024-25,Assessments,17,323,0,0,15.18,7661452061,Chapter 14 | Math | Grade 1 | 2024-25 | Lesson  Assessments,1,15.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7661452061,Chapter 14,Math,Grade 1,2024-25,Lesson  Assessments,1,19,0,0,15.00,7661452061,Chapter 14 | Math | Grade 1 | 2024-25 | Assessments,17,15.18,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7661455143,Chapter 9,Math,Grade 2,2024-25,Assessments,12,396,0,0,15.50,7661455143,Chapter 9 | Math | Grade 2 | 2024-25 | Lesson  Assessments,2,13.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7661455143,Chapter 9,Math,Grade 2,2024-25,Lesson  Assessments,2,66,0,0,13.00,7661455143,Chapter 9 | Math | Grade 2 | 2024-25 | Assessments,12,15.50,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7797146594,Inspired by Nature Unit Test,ELA,Grade 7,2024-25,Lesson Assessments,29,1508,0,0,27.69,7797146594,Inspired by Nature Unit Test | ELA | Grade 7 | 2024-25 | Lesson  Assessments,1,27.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7797146594,Inspired by Nature Unit Test,ELA,Grade 7,2024-25,Lesson  Assessments,1,52,0,0,27.00,7797146594,Inspired by Nature Unit Test | ELA | Grade 7 | 2024-25 | Lesson Assessments,29,27.69,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7334677961,Module Assessment: Once Upon a Time,ELA,Grade 2,2024-25,Lesson  Assessments,16,256,0,0,11.38,7334677961,Module Assessment: Once Upon a Time | ELA | Grade 2 | 2024-25 | Assessments,3,11.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7334677961,Module Assessment: Once Upon a Time,ELA,Grade 2,2024-25,Assessments,3,48,0,0,11.00,7334677961,Module Assessment: Once Upon a Time | ELA | Grade 2 | 2024-25 | Lesson  Assessments,16,11.38,stale_label_fragment_graded
