school_name,item_id,item_name,list_shows_subject,true_subject,subject_mismatch,list_shows_grade,true_grade,grade_mismatch,list_denominator,true_question_count,questions_hidden_from_denominator
Athenian Academy of Technology and the Arts,7696812668,Unit 3 Lesson 3 Quiz,Social Studies,Science,t,Grade 1,Grade 1,f,4,4,0
Athenian Academy of Technology and the Arts,7701493741,Unit 3 Lesson 3 Quiz,Social Studies,Science,t,Grade 1,Grade 1,f,4,4,0
Athenian Academy of Technology and the Arts,7789287431,M7W2 Vocabulary Quiz,Math,ELA,t,Grade 3,Grade 3,f,1,1,0
Athenian Academy of Technology and the Arts,7892360959,Unit: 3 Civilization in India and China,History,History,f,Grade 6,Grade 6,f,40,42,2
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,Algebra,Algebra,f,Grade 8,Grade 8,f,19,20,1
Athenian Academy of Technology and the Arts,7338034079,Unit 7 Test,Civics,Civics,f,Grade 8,Grade 8,f,28,29,1
Athenian Academy of Technology and the Arts,7338323403,Unit: 3 Civilization in India and China,History,History,f,Grade 6,Grade 6,f,42,43,1
Athenian Academy of Technology and the Arts,7892348517,What is the Horror Genre? Selection Test,ELA,ELA,f,Grade 8,Grade 8,f,13,14,1
Athenian Academy of Technology and the Arts,7893463050,Module 2 Test,Math,Math,f,Grade 6,Grade 6,f,24,25,1
Athenian Academy of Technology and the Arts,8029075718,Module 2 Test,Math,Math,f,Grade 6,Grade 6,f,24,25,1
Athenian Academy of Technology and the Arts,8342066250,Module Assessment: Zoom In!,ELA,ELA,f,Grade 1,Grade K,t,23,23,0
Athenian Academy of Technology and the Arts,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,ELA,ELA,f,Grade K,Grade 1,t,18,18,0
Athenian Academy of Technology and the Arts,7625334305,Science CW FSSA book matter #1,Science,Science,f,Grade 4,Grade 5,t,2,2,0
Athenian Academy of Technology and the Arts,7799442022,Module Assessment: Home of the Free and the Brave,ELA,ELA,f,Grade 1,Grade K,t,30,30,0
Athenian Academy of Technology and the Arts,7892346412,Through an Animal?s Eyes Unit Test,ELA,ELA,f,Grade 6,Grade 8,t,38,38,0
Athenian Academy of Technology and the Arts,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",ELA,ELA,f,Grade K,Grade 1,t,22,22,0
Central Florida Preparatory School,8326782298,Unit 3 Part 1,ELA,HS English I,t,Regular 9–12,Regular 9–12,f,28,28,0
Central Florida Preparatory School,8355591256,Topic 9,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,12,12,0
Central Florida Preparatory School,8362776921,Topic 8,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,18,18,0
Central Florida Preparatory School,8362777143,Topic 5,History,HS Economics,t,Higher-Ed,Higher-Ed,f,36,36,0
Central Florida Preparatory School,8369992661,Topic 6,History,HS Economics,t,Higher-Ed,Higher-Ed,f,38,38,0
Central Florida Preparatory School,8369994919,Topic 9: Nationalism and the Spread of Democracy (1790–1914),History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,8373837481,Topic 10: The Age of Imperialism (1800–1914),History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,7961332573,Investigation Assessment 1: Modeling Motion,Science,HS Physics,t,Higher-Ed,Higher-Ed,f,15,15,0
Central Florida Preparatory School,7964004497,Topic 1,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,19,19,0
Central Florida Preparatory School,7964150311,Unit 1 Part 1,ELA,HS English I,t,Regular 9–12,Regular 9–12,f,28,28,0
Central Florida Preparatory School,7964150370,Unit 1 Part 2,ELA,HS English I,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,7964160815,Unit 1 Part 1,ELA,HS English II,t,Regular 9–12,Regular 9–12,f,31,31,0
Central Florida Preparatory School,7964160840,Unit 1 Part 2,ELA,HS English II,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,7964173973,Unit 1 Part 1,ELA,HS English III,t,Regular 9–12,Regular 9–12,f,24,24,0
Central Florida Preparatory School,7964174019,Unit 1 Part 2,ELA,HS English III,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,7964191435,Unit 1 Part 1,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,24,24,0
Central Florida Preparatory School,7964191457,Unit 1 Part 2,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,8057835840,Topic 1,History,HS Economics,t,Higher-Ed,Higher-Ed,f,35,35,0
Central Florida Preparatory School,8089389994,Topic 2,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,17,17,0
Central Florida Preparatory School,8089390287,Topic 2,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,16,16,0
Central Florida Preparatory School,8089937013,Topic 2,Math,HS Alegra II,t,Higher-Ed,Higher-Ed,f,16,16,0
Central Florida Preparatory School,8102307636,Unit 2 part 1,ELA,HS English I,t,Regular 9–12,Regular 9–12,f,29,29,0
Central Florida Preparatory School,8102309491,Unit 2 Part 1,ELA,HS English III,t,Regular 9–12,Regular 9–12,f,24,24,0
Central Florida Preparatory School,8102309497,Unit 2 Part 2,ELA,HS English III,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
