school_name,subject_id,item_name,mismatch_cells,cells_shown_lower_than_latest,cells_shown_higher_than_latest
Central Florida Preparatory School,3636352d683b03fdd4123bfbec18af5ec502715256b5bf0bff9a8c3dd32c66b0,Module 4 Assessment: Better Together,139,115,24
Central Florida Preparatory School,38cdd86b5c07bead160982222b9ea29a765a257cac932b7d4b41990545d52856,Unit 4 Part 1,136,114,22
Central Florida Preparatory School,4e21ebf4bdef6d9ddd20785fbcea251477b8deaf9168fcaad44bfebce5c92aa4,Test Topic 2: You and Your Government,135,114,21
Central Florida Preparatory School,5c19ba33aba98cbe42d4550278a681c35de28e3d38b29c6d239b5dd71a750249,Unit 3 Part 1,103,75,28
Central Florida Preparatory School,4e3a752e785594d214c5c3084c1023ee56cb75cf4abeddced5a357921cb270d8,Mid-Year Test,84,49,35
Central Florida Preparatory School,97c7bcfcb6342d49f90e5b5ca3de0726a9c8a02b29537648691c5e06a04fefda,Topic 9 The Reconstruction Era,80,75,5
Central Florida Preparatory School,3b739d9cbdc0187c959e453d8f5abc4cfa9258133fe672c3fe22b5bf75873130,"Topic 3 Test: State, Local, and Tribal Governments Matter",77,45,32
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,74,69,5
Central Florida Preparatory School,da5ac6e6128027d37555c5dc80b90632c53d780ab8f84140d073f57d1fec2748,Unit 2 Part 1,64,42,22
Central Florida Preparatory School,b3b9807359777e9501e42e98745751050ffca4b07e808365863587728d7a9a2c,Unit 3 Part 1,62,47,15
Central Florida Preparatory School,99d0977ad35b904ad4ac14d9f729d1784ed46e8869638301a65639fcf757dfef,Topic 10: The United States and the World: Make Decisions,61,43,18
Central Florida Preparatory School,054564d71f2a56f341b2489dedb6725ed658f134a613c686ec2fff7b6c199dd7,Unit 1 Part 1,61,59,2
Central Florida Preparatory School,7d6fd096b1f5d0d898455b22fc7add889b52cef1c49ee8b0cdfdd2361ae59acb,Topic 8: How Elections Work: Vote Responsibly,58,32,26
Central Florida Preparatory School,3fd39c120910c12e315dbf952c529b2fff40838aef757194729d2429251c0a59,Topic 8: Sectionalism and Civil War (1820-1865),58,30,28
Central Florida Preparatory School,f3a639ea4803366a7d3444ccaa718586102878346dcabba02a8c17d842fbe6a3,Mid-Year Test,54,29,25
Central Florida Preparatory School,5ef273e102f0ea05484030aec60c76c98910559548d02266ade7c1b2416f9036,Test Topic 2: European Colonization of North America (1500-1750),51,38,13
Athenian Academy of Technology and the Arts,4fc6f5873c7ec4af237c8c1bb1ed213d9a1b5e7d2f0dc1f18ba09736a936d5f9,There's Only One Me!: Weekly Assessment: Week 3,44,4,40
Central Florida Preparatory School,edccb09d9466074824068e8a9237cb94f44a78f2235867f6533b0131017afd0e,Unit 1 Part 1,43,41,2
Central Florida Preparatory School,d89f6c4fddc770febe54b8b53016db1ec57d4f1a990666b0914541fef566d871,Topic 5: Our Constitutional Government: Join in Civil Conversations,43,31,12
Central Florida Preparatory School,be3d1a1f80c52e5405b8d2171b6ac82d1394f3d2b7908e96004a4677cca19876,Test Topic 2: Civilizations and Peoples of the Fertile Crescent,43,39,4
Central Florida Preparatory School,cbcb926640310f688314e2e941283c62da71208f7bdc042e06ce40625c48351c,Topic 4: Early Civilizations of India (2600 BCE - 540 CE),40,23,17
Central Florida Preparatory School,414804270cbe2942f4d78e769aed1d4565bc7b2a343908cb9069cb0f77727013,Topic 12: Government and the Economy: Express Ideas Effectively,38,36,2
Central Florida Preparatory School,583c19bd56a81edcd14d91e642b6d0e9923df9775b550a1d71b83297ed2f0e30,Topic 11: The Economy and You: Apply Math Skills to Social Studies,38,14,24
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,38,38,0
Crestwell School,0615c8a8d435edc1d24d1f4177f85dec202d74edd518cdf302abc36b2c131e04,Chapter 10 Test: Add and Subtract Fractions,38,32,6
Central Florida Preparatory School,018119419a9722f365837da97012a618308b4e7d77ed570dfa3a52f556174ee7,Unit 2 Part 1,37,31,6
Athenian Academy of Technology and the Arts,3b7375f1dabe84ec9a1ee5c828a9c6d3ff6a3ce55f2fa02eced287aaf1d9e42f,HW 12/3 8.1,36,36,0
Central Florida Preparatory School,4bf8e207443b35f802960d7d307eb30a7c6545512d12509b1335ad1f61f58a5b,Topic 7: Absolutism and Revolution,33,33,0
Central Florida Preparatory School,96023160e66595d605ae4185695006eddd3dd5fb6a67c7ec8f5b0f013ae1116c,Topic 9: Civilizations of East Asia and Southeast Asia (250 BCE - 1644 CE),33,17,16
Central Florida Preparatory School,ebbaa8c220832dd36a707f78c86cec95a1b85078e1d9be6f588412796e03a476,Topic 6: Ancient Greece (2000 BCE - 300 BCE),33,20,13
Central Florida Preparatory School,c3e4e07f28e161b43fffe36d6b817427952847798159975d811732dcf00dc397,Topic 5: World War I and the 1920s,30,28,2
Central Florida Preparatory School,7ba7e2d33b6ff330292935d027ec6928fe9f23bf1cad294a0c8199301f634315,Topic 4: Our Founding Documents: Listen to Many Voices,29,17,12
Crestwell School,ff83eeb988a11d6e2d505eb5383a29b753c0ec8403d267f08d9d3fed7d5be384,Chapter 10 Test: Addition and Subtraction Relationships,28,20,8
Central Florida Preparatory School,402d9bb30a5640ab7c69098a3d7bfbd4c20199b1d4098264e1c11d47dde27c64,Topic 7: The Roman Republic (800 BCE - 30 BCE),28,23,5
Central Florida Preparatory School,e09d0891e6213dd51a444cc3e1828edccc7ddef192789a1976698350bacbba1d,Topic 8: The Roman and Byzantine Empires (30 BCE - 1453 CE),27,9,18
Athenian Academy of Technology and the Arts,b121b9be0db63db8bdeb420c71ede6d3e1d4fe729d05c4e7cb7cace531dcd053,World History Quiz 1,25,21,4
Athenian Academy of Technology and the Arts,74399749faa2afb97f5d1cd110633a7fa048bec11343f1c73653a08cdb7964b4,World History Quiz 4,25,19,6
Central Florida Preparatory School,72531a8aedbb83fad1ecc57d8476f618a9006c247af2f6aba2586ef2443c399d,Topic 7: Society and Culture Before the Civil War (1820-1860),24,13,11
Athenian Academy of Technology and the Arts,0b272930324d47a487221ed83991827afa3423c907e63302122acdc41a31bfb4,HW 12/4 7.2 - 7.3,24,22,2
Athenian Academy of Technology and the Arts,cd435c56b025db3bfc596798c9a8fb6ef8aeb781897d458dd35d1201fe7e14ff,HW 12/4 8.2,23,22,1
Crestwell School,0b5a56919cb49a453407b9b3f54f62cd5eff2453b33b31316ed09147afb622d3,Chapter 11 Test: Geometry: Three-Dimensional Solids,23,19,4
Central Florida Preparatory School,fd75ea8dd14a8ada247662946d33e2ebf6e735e977a73e880c6319d870a70f4c,Topic 2,23,20,3
Central Florida Preparatory School,e9fc16be01cfe001f5df4d28cec8106f90e743429cc85d1bf55f629fd0084100,Topic 1,23,23,0
Crestwell School,2791eede56e02a6ab440c0d4db32b2898463d6278a5bf8e6ac97d0a44eae96a3,Chapter 2 Test: Multiply by 1-Digit Numbers,22,19,3
Athenian Academy of Technology and the Arts,449026944fc9f769729935f3e4696376281d5993a6ed735b3293bd38a9fed5a6,HW 4/11 Chapter 8 Review,19,19,0
Central Florida Preparatory School,030c1adfe2ef3ff53c6967d611f2486f9f26d72a8aa69534cd57a6a82bfe8fa6,Chapter 6 Test: Addition Strategies,18,11,7
Central Florida Preparatory School,e21bda5ff7fe35e52d8c77d8f552d5e58dd9c5783e5bf5dc0468dea9bd3249ce,Time to Grow!: Weekly Assessment: Week 3,18,14,4
Athenian Academy of Technology and the Arts,9002c1bf18cf27fa79254f0ecbc9ab169139c6cdc434ade2f37cfe96099b2a5a,U.S. History Quiz 2,18,18,0
Central Florida Preparatory School,4bd58278b49a427a37ca6475892fa791770243479f52111224bd3f5758ae0740,Unit1 Part 1,17,17,0
Central Florida Preparatory School,ae7531a06979ef5820813fc46633f07cb1ca17edba275e919c7f0d188a43965b,Topic 7: Branches of the U.S. Government: Collaborate With Others,17,15,2
Crestwell School,732b57d06845debd671fdb849d2cae2e9026acce95dd16f1238aec3c52d9dd5d,Chapter 10 Test: 3-Digit Addition and Subtraction,17,0,17
Athenian Academy of Technology and the Arts,b6cbf2e533c301383b5ebba65ca878a88954b0d2b2e4ceea833893f153b3416f,HW 12/6,16,16,0
Crestwell School,a32148805330e18c176899daa2e43f6f0ab5eeebe00375be32236698a35fe093,Chapter 14 Test: Measurement,16,9,7
Crestwell School,3b0e1e393912c369b83dc0019e7b92a2b12672a71060a09e3a9a57fe3aa25bbc,Module 6 Assessment: Celebrate America,16,12,4
Central Florida Preparatory School,7a33507be43a4b4a9634a71547b61576bdfd905f8ef5475878589706890935f0,Topic 4: A Constitution for the United States (1776-Present),16,5,11
Crestwell School,50c32200cc2ab067cc13ad0b5deb0e9696ae0d39c019b371330fa240025da4d8,Chapter 5 Test: Multiply Decimals and Whole Numbers,15,11,4
Central Florida Preparatory School,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,14,12,2
Central Florida Preparatory School,2e7972060e4d22f7623792650460b6bd77cd8de3dd2694b4a33dc23664d8a5b3,Topic 3 Test: Ancient Egypt and Kush (3000 BCE - 600 BCE),14,7,7
Crestwell School,5d5b9c6b76566b0d59943f9c1193e39e917c4f53ce7e43bf6c50212e1dc51fac,Module Assessment: Be a Super Citizen,14,7,7
Central Florida Preparatory School,afa09abf58f8bc4abdfa76a6842ad54229a5bf5041c079b903f3d3d81ff5a6be,Topic 6: The Constitution Protects Your Rights: Defend All Rights,13,9,4
Central Florida Preparatory School,3d3aa1cbab48448f4c8e24c24583b7bb3589722592f87f23e36680fed2a56a8a,Chapter 5 Test: 2-Digit Addition,13,12,1
Central Florida Preparatory School,d9e69ee7568ef1e2f86ae63c2829b3b5b3f24338c7fb3116b417d6dad05af175,Topic 5: Early Civilizations of China (1700 BCE - 220 CE),13,5,8
Athenian Academy of Technology and the Arts,1182a1807888213a8894132905016a8fc771aedcece41905242497928c7f5598,Quiz 1,13,12,1
Crestwell School,d6a79e5e9c46c319c4fe1407cec93c9545aaa125ebbda181e9c620246ee6291d,Chapter 15 Test: Time,13,13,0
Central Florida Preparatory School,94ef70e13242cc4d065e2b31234f267793f6de1431e908fe59efc635520d37cc,Topic 2,12,4,8
Athenian Academy of Technology and the Arts,3be780f7a5ee67608673f40cad46c5ccacf8d284ed18620aefe1bd0dd9c6e7d5,Chapter 17,12,0,12
Crestwell School,97b1d0daa15ee9d48d4e8a081966d7fa646326dad561fa75f95ac31304b95c53,Wild West: Weekly Assessment: Week 1,12,12,0
Central Florida Preparatory School,3e1eed94ea42b7b0b1853b6570ca8b08752ddfbee107b462398803e4a7e1b715,Topic 2,12,11,1
Central Florida Preparatory School,89b096203bf633ebc91fa6d91afa41d8fb0d2498b9b8a416108d7d7ac372fa20,Home Sweet Habitat: Weekly Assessment: Week 3,11,6,5
Central Florida Preparatory School,2f92eaaca70d6494ce95913793859ec322d4b793b3e7a4c45d39283d3601e97a,Topic 3,11,7,4
Athenian Academy of Technology and the Arts,db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5,Happy Healthy Me: Weekly Assessment: Week 3,11,1,10
Athenian Academy of Technology and the Arts,513b172e1a4e47654d245f7496052e271c91d259d5ae65ea135ddf177ca89ca7,Chapter 4 Practice Test #3,11,11,0
Crestwell School,f89cc1e8c72ed1b0379da8c5534a3794faa99da2b706e86c1a9215fd6f1bf25a,Chapter 12 Test: Geometry: Two-Dimensional Shapes,11,8,3
Athenian Academy of Technology and the Arts,13b100adad9857f0210d360e2edb04677bf503edb475d880ba16443315ccc4ad,Unit 7 Benchmark Test: Living Things,11,9,2
Central Florida Preparatory School,34930c65c38f044c3667c89109f2b261d33c6653b41fdb389b7857c0c19772b1,Home Sweet Habitat: Weekly Assessment: Week 2,11,9,2
Central Florida Preparatory School,1e488d21dcc686e0289de8fa45586959300a76e8bd4983acbf4940b292b8e6c6,Chapter 4 Test: Addition Concepts,10,7,3
Central Florida Preparatory School,7d8029a36713ddeaa8b2f4a08ba2ce8e25b3be8603e252f9fba018ef128f067d,Topic 3,10,9,1
Central Florida Preparatory School,3ea9cc717b65fffef324b63feaef0d6dccdc5b83956f6b5f2fd2fc158e2a7346,Unit 3 Part 1,9,3,6
Central Florida Preparatory School,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,Home Sweet Habitat: Weekly Assessment: Week 1,9,6,3
Crestwell School,fc4592fa4c0a1ccfaa78affab5ff5b6d553e380526ddaec20e3c631247c0bdf9,Chapter 18 Test: Represent and Interpret Data,9,5,4
Crestwell School,8685fa64532b11e3d6a0f0b89ce94e53d69b028010071c5eb04aa69c4c0da576,Chapter 6 Test: Multiply Decimals,9,9,0
Central Florida Preparatory School,9d5572b5618ffe365b695e72f7a0941b8b0d2fef08ebc027c12cbb78d3eb7986,Module 3 Assessment: Amazing Animals (new),8,5,3
Central Florida Preparatory School,fa69c0dee325b469525355f0101a5ad2845fc14d0029632087496df545eefaee,Topic 4: The Americas (Prehistory?A.D. 1570),8,7,1
Crestwell School,bb140c3dc49215158a395244abff6e9e93973c89f9f52620fc363448e384ca30,Chapter 16 Test: Graphing,8,8,0
Central Florida Preparatory School,f6495efb426eb1fffe22ed626d0a87dfa39301da3bb7e7660d5e7d5981cf4a3b,Topic 9: The Media and You: Find Accurate Information,7,2,5
Central Florida Preparatory School,0ac0a2e3a12bac103e8bf26e10da423c11cb17c1f501fd8b28b7e8843b172416,Unit 1 Part 2,7,7,0
Central Florida Preparatory School,f6cdb038815a64ba23802992436541f7dd1cf0413474f4f6eb568ed4ea124c0b,Topic 5: The Early Republic (1789-1825),7,0,7
Central Florida Preparatory School,5637d83462297fb198d9c3e87aafe7b8c456f03e44bea58b893776f524226d60,Topic 1: Origins of Civilization,6,3,3
Central Florida Preparatory School,e7bad0a615a0f53868f3f5ab2026c4472f14f0c46bd266fed6db750fcb6e3811,Topic 1: The Early Americas and European Exploration,6,6,0
Crestwell School,f76153636032d93ac8430535442c45a310ddbf8ac91f56b216fae697df17f8d3,The Big Outdoors: Weekly Assessment: Week 3,6,5,1
Athenian Academy of Technology and the Arts,6f28c4606b8f4d38690fa02e67c3b18b313aa0b28511a4d807f1851b30e27b97,Happy Healthy Me: Weekly Assessment: Week 4,6,4,2
Central Florida Preparatory School,85467de4c8ce6370f1c077e67ace83521882dad84cc9ca6187a20daa7aebf69f,Celebrate America: Module 6 Assesment,6,6,0
Crestwell School,364d0076f43cb7298592ef2154b53299b36769b85c73218f666ea9c0f20526c1,Chapter 7 Test: Divide Decimals,6,3,3
Central Florida Preparatory School,27c056b1325604529aafad75dc1a2726d0f278335f26b30036b890b7b148474f,Unit 5 Benchmark Test: Matter,6,0,6
Central Florida Preparatory School,0b6ea15059acc93f7a6287f59765597f253a5b0a070e724056060351fde036da,Topic 5,6,3,3
Central Florida Preparatory School,4d316254551ba9aba2ecf0fb22d486d467c7715696fcd6d84f1937d77a9f2ffe,Chapter 1 Test: Whole Number Place Value,6,6,0
Central Florida Preparatory School,48d5269d526556ac465615d70d3ab9351274462ad98a3da8f23b949fbe247102,The Big Outdoors: Module 7 Assessment,6,2,4
Crestwell School,8b742d13f889644cfcfdbdaa57eb0aa793bb1aa3018e675a3d56270230f25866,Chapter 8 Test: More Addition Strategies,5,5,0
