class,school_name,entity_id,entity_name,fact_label,dim_label,students,fact_rows
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,Chapter 12,Math / Grade 5 / 2024-25 / Lesson  Assessments,,20,656
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,Chapter 11,Math / Grade 3 / 2024-25 / Lesson  Assessments,,20,505
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,Chapter 16 Temperature and Time,Math / Grade 4 / 2024-25 / Lesson  Assessments,,21,504
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,Chapter 9,Math / Grade 1 / 2024-25 / Lesson  Assessments,,17,425
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,Tricksters and Tall Tales: Weekly Assessment: Week 2,ELA / Grade 4 / 2024-25 / Lesson  Assessments,,21,420
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,Module Assessment: Use Your Words,ELA / Grade 3 / 2024-25 / Lesson  Assessments,,18,414
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Unit 4 Benchmark Test: Day and Night,Science / Grade K / 2024-25 / Lesson  Assessments,,20,400
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,Happy Healthy Me: Weekly Assessment: Week 3,ELA / Grade K / 2024-25 / Assessments,,21,394
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,"Above, Below, and Beyond: Weekly Assessment: Week 2",ELA / Grade 5 / 2024-25 / Lesson  Assessments,,18,378
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,Art Everywhere: Weekly Assessment: Week 1,ELA / Grade 4 / 2024-25 / Lesson  Assessments,,22,374
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,Everyone Has a Story: Weekly Assessment: Week 2,ELA / Grade 2 / 2024-25 / Assessments,,19,342
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,Unit 4 Benchmark Test: Weather,Science / Grade 2 / 2024-25 / Lesson  Assessments,,19,342
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,Project Earth: Weekly Assessment: Week 1,ELA / Grade 5 / 2024-25 / Lesson  Assessments,,18,324
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,Teamwork: Weekly Assessment: Week 1,ELA / Grade 3 / 2024-25 / Lesson  Assessments,,20,300
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,Unit 9 Benchmark Test: The Human Body,Science / Grade 2 / 2024-25 / Lesson  Assessments,,20,280
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,Unit 4 Benchmark Test: Earth?s Resources,Science / Grade 1 / 2024-25 / Lesson  Assessments,,19,209
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Unit 8 Benchmark Test: Living Things and  Their Parents,Science / Grade 1 / 2024-25 / Lesson  Assessments,,16,208
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,M7W2 vocab quiz,ELA / Grade 5 / 2024-25 / Lesson  Assessments,,18,198
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Unit 9 Benchmark Test: Plant and Animal Needs,Science / Grade 1 / 2024-25 / Lesson  Assessments,,17,170
dim_subject_without_dim_item,Central Florida Preparatory School,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,ELA / Grade 4 / 2025-26 / Summative,,17,153
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,M5W1 Vocab quiz,ELA / Grade 5 / 2024-25 / Lesson  Assessments,,19,152
