class,school_name,school_id,subject_id,subject,assessment_type,grade,session,item_name,fact_item_ids,students,fact_rows
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,Math,Lesson  Assessments,Grade 5,2024-25,Chapter 12,7594902377,20,656
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,Math,Lesson  Assessments,Grade 3,2024-25,Chapter 11,7496090393,20,505
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,Math,Lesson  Assessments,Grade 4,2024-25,Chapter 16 Temperature and Time,7789640645,21,504
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,Math,Lesson  Assessments,Grade 1,2024-25,Chapter 9,7661450418,17,425
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,ELA,Lesson  Assessments,Grade 4,2024-25,Tricksters and Tall Tales: Weekly Assessment: Week 2,7789352689,21,420
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,ELA,Lesson  Assessments,Grade 3,2024-25,Module Assessment: Use Your Words,7334739781,18,414
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Science,Lesson  Assessments,Grade K,2024-25,Unit 4 Benchmark Test: Day and Night,7466000203,20,400
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,ELA,Assessments,Grade K,2024-25,Happy Healthy Me: Weekly Assessment: Week 3,7337899008,21,394
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,ELA,Lesson  Assessments,Grade 5,2024-25,"Above, Below, and Beyond: Weekly Assessment: Week 2",7789371643,18,378
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,ELA,Lesson  Assessments,Grade 4,2024-25,Art Everywhere: Weekly Assessment: Week 1,7334764745,22,374
