finding,school,key1,key2,detail1,detail2,detail3
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Alegra II,Higher-Ed,dqd_rows_with_slicer_label=0,901,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Algebra I,Regular 9–12,dqd_rows_with_slicer_label=0,3718,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Algebra I,Higher-Ed,dqd_rows_with_slicer_label=0,3718,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Economics,Higher-Ed,dqd_rows_with_slicer_label=0,2296,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS English I,Regular 9–12,dqd_rows_with_slicer_label=0,2402,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS English II,Regular 9–12,dqd_rows_with_slicer_label=0,775,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS English III,Regular 9–12,dqd_rows_with_slicer_label=0,565,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS English IV,Regular 9–12,dqd_rows_with_slicer_label=0,402,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Geometry,Regular 9–12,dqd_rows_with_slicer_label=0,2013,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Honors Algebra II,Higher-Ed,dqd_rows_with_slicer_label=0,161,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Honors English II,Higher-Ed,dqd_rows_with_slicer_label=0,588,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Honors English III,Higher-Ed,dqd_rows_with_slicer_label=0,309,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Honors English IV,Higher-Ed,dqd_rows_with_slicer_label=0,630,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS Physics,Higher-Ed,dqd_rows_with_slicer_label=0,3772,""
F1_ytd_subject_label_gap,Central Florida Preparatory School,HS World History,Higher-Ed,dqd_rows_with_slicer_label=0,2290,""
