assessment_group,item_id,item_name,section_name,subject_id,subject,grade,session,distinct_students,course_nid
A1: Chapter 11 Multiply Fractions (G4 Math),8206618250,Chapter 11 Test: Multiply Fractions and Whole Numbers,Section A,2e228f32f387c99d9de3db8c928e6fbda61b16273cb7ff7e3fdf8d48a8ea5b76,Math,Grade 4,2025-26,15,7554585993
A1: Chapter 11 Multiply Fractions (G4 Math),8206619117,Chapter 11 Multiply Fractions and Whole Numbers,Section B,aa6b150f7eb3197464f0d9a40428203d026d1126830cb375fac44c0425f66093,Math,Grade 4,2025-26,15,7554585993
A2: Chapter 11 Test Money (G2 Math),8230928452,Chapter 11 Test: Money,Section A,215a0557a9c261d4c058d3f83ab84ad8669a9d817479e5008de6569cedf82ce8,Math,Grade 2,2025-26,17,7696815268
A2: Chapter 11 Test Money (G2 Math),7928772123,Chapter 11 Test: Money (overriding),Section B,010f997ec3ec19ad6663444f2a9adf9dfc51df23a8c730773ab68b4e86cc3cf2,Math,Grade 2,2025-26,15,7696815268
A3: Module Assessment Happy Healthy Me (GK Reading),8226436104,Module 4 Assessment: Happy Healthy Me,Section A,e02f98640b645311610c3c9c0c67be48c30d78abf5b8804b954fc5a16982cfd2,Reading,Grade K,2025-26,13,7554586107
A3: Module Assessment Happy Healthy Me (GK Reading),8226436129,Module Assessment: Happy Healthy Me,Section B,9d78df651c631948e7f8f1aeaa613cbe9fd2e205bb01d180d9be5ec0abc187f3,Reading,Grade K,2025-26,12,7554586107
A3: Module Assessment Happy Healthy Me (GK Reading),8226431238,Module Assessment: Happy Healthy Me,Section C,9d78df651c631948e7f8f1aeaa613cbe9fd2e205bb01d180d9be5ec0abc187f3,Reading,Grade K,2025-26,14,7554586107
A4: Module Assessment I Can Do It (GK Reading),8261135064,Module 5 Assessment: I Can Do It!,Section A,db212e92caa4410da09db108bf75c6f365ff9e461ddeb117361c387dc2ea9274,Reading,Grade K,2025-26,13,7554586107
A4: Module Assessment I Can Do It (GK Reading),8261137849,Module Assessment: I Can Do It!,Section B,5e1f91e6000025fed1c2dba853e99b9172e5ca52600a1817df7d9c539756507b,Reading,Grade K,2025-26,10,7554586107
A4: Module Assessment I Can Do It (GK Reading),8261130285,Module Assessment: I Can Do It!,Section C,5e1f91e6000025fed1c2dba853e99b9172e5ca52600a1817df7d9c539756507b,Reading,Grade K,2025-26,14,7554586107
