school,user_uid,item_id,item_name,submission,n_attempts,rowsum_recv,rowsum_poss,submission_grade,classification,flag
Athenian Academy of Technology and the Arts,73961516,7628347421,HW 12/10 Spiral Review,3,7,0.00,3.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961516,7628347421,HW 12/10 Spiral Review,1,7,0.00,6.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961516,7628347421,HW 12/10 Spiral Review,4,7,1.00,5.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961516,7628347421,HW 12/10 Spiral Review,2,7,0.00,3.00,5.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961516,7628347421,HW 12/10 Spiral Review,5,7,2.00,3.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961516,7628347421,HW 12/10 Spiral Review,6,7,3.00,4.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85055385,7628347421,HW 12/10 Spiral Review,2,6,0.00,7.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,85055385,7628347421,HW 12/10 Spiral Review,5,6,2.00,7.00,4.00,matches_neither,""
Athenian Academy of Technology and the Arts,85055385,7628347421,HW 12/10 Spiral Review,1,6,0.00,6.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,85055385,7628347421,HW 12/10 Spiral Review,4,6,1.00,6.00,4.00,matches_neither,""
Athenian Academy of Technology and the Arts,85055385,7628347421,HW 12/10 Spiral Review,3,6,0.00,6.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939036,7626416439,HW 12/9 Spiral Review,4,5,2.00,4.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939036,7626416439,HW 12/9 Spiral Review,3,5,4.00,6.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939036,7626416439,HW 12/9 Spiral Review,1,5,0.00,3.00,5.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939036,7626416439,HW 12/9 Spiral Review,2,5,1.00,4.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939036,7628391502,HW 12/10 Spiral Review,2,4,2.33,7.00,8.33,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85652751,7628347421,HW 12/10 Spiral Review,3,4,3.00,4.00,8.00,matches_neither,sg_exceeds_row_possible
